rank,category,name,price,product_id,baby_product_link,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,attribute_list,recommends_list
121,503219,"히키스 접이식 독서대 침대 다용도 베드트레이 테이블 E6 E6S, E6 (기본형)",36000,5513381164,https://www.coupang.com/vp/products/5513381164?itemId=8601718035&vendorItemId=75888967700&sourceType=CATEGORY&categoryId=503119,false,0,,,False,,"3,000",['쿠팡상품번호: 5513381164 - 8601718035'],[]
122,503219,"접이식책상 노트북 침대 테이블 책상 BTB (상사맨), 내추럴우드 (BTB-004)",6650,5014028512,https://www.coupang.com/vp/products/5014028512?itemId=6715292543&vendorItemId=74008336596&sourceType=CATEGORY&categoryId=503119,false,0,,,False,,"2,500",['쿠팡상품번호: 5014028512 - 6715292543'],[]
123,503219,"그래비즈 각도조절 높이조절 접이식 테이블 침대 노트북 독서 미니 트레이, 각도조절 테이블",19700,5353620013,https://www.coupang.com/vp/products/5353620013?itemId=7880176114&vendorItemId=75169709565&sourceType=CATEGORY&categoryId=503119,false,28,,,False,,"3,000",['쿠팡상품번호: 5353620013 - 7880176114'],[]
124,503219,"침대 다리 접이식 테이블, 화이트",8900,2176438761,https://www.coupang.com/vp/products/2176438761?itemId=3703476814&vendorItemId=71688749415&sourceType=CATEGORY&categoryId=503119,true,0,3.0,5,False,,0,['쿠팡상품번호: 2176438761 - 3703476814'],[]
125,503219,스마트폰 태블릿PC 거치 E0 인체공학 접이식테이블 베드테이블 좌식책상,35000,4683555294,https://www.coupang.com/vp/products/4683555294?itemId=5876050453&vendorItemId=73174242055&sourceType=CATEGORY&categoryId=503119,false,0,,,False,,"3,000",['쿠팡상품번호: 4683555294 - 5876050453'],[]
126,503219,"접이식 침대책상 침대테이블 트레이 노트북 미니 좌식 컵홀더, 카드슬롯형, 블랙우드",10500,5274982370,https://www.coupang.com/vp/products/5274982370?itemId=7528105549&vendorItemId=75613133738&sourceType=CATEGORY&categoryId=503119,false,47,,,False,,0,"['인테리어 컨셉: 모던/심플', '접이 가능여부: 접이식가능', '가로길이: 60cm', '형태: 다각형', '재질: 합성목재', '쿠팡상품번호: 5274982370 - 7528105549']",[]
127,503219,"굿싱에코 실용적인디자인 접이식 숙제를 함 숏 책상테이블 침실 기숙사 컴퓨터 홈실 작은테이블 코너, 진주 화이트 카드 슬롯 컵보관걸이",24000,5310648184,https://www.coupang.com/vp/products/5310648184?itemId=7692972044&vendorItemId=75131613569&sourceType=CATEGORY&categoryId=503119,false,24,,,False,,0,['쿠팡상품번호: 5310648184 - 7692972044'],[]
128,503219,"프리미엄 최상급 원목 접이식 각도 조절 침대 쇼파 노트북 태블릿 테이블 책상 베드 트레이 거치대, 우드 블랙(우드 블랙)",114900,5004180298,https://www.coupang.com/vp/products/5004180298?itemId=6691546161&vendorItemId=74532143397&sourceType=CATEGORY&categoryId=503119,false,50,,,False,,0,['쿠팡상품번호: 5004180298 - 6691546161'],[]
129,503219,"투명유리볼 시리얼볼 SALADBOWL 스파게티볼 폴딩 간이 씨리얼볼 침대 책상 트레이 W6F1C61 접이식 탁자 도자기볼 테이블 스프볼 디자 SALADBOWLS 혁신적 원형볼 볼그릇 그라탕기 안정적 미니멀한디자 요거트그릇 디자이이쁜 손잡이볼 베드 교자상 다용도상, 스마트팜 블랙",24180,4897065679,https://www.coupang.com/vp/products/4897065679?itemId=6385489411&vendorItemId=74537396566&sourceType=CATEGORY&categoryId=503119,false,0,,,False,,0,['쿠팡상품번호: 4897065679 - 6385489411'],[]
130,503219,"톡톡모두팜 미니테이블 혼밥용상 다과상 밥상 공부상 다용도테이블, 아이보리",19800,1351935725,https://www.coupang.com/vp/products/1351935725?itemId=2380498255&vendorItemId=3542294112&sourceType=CATEGORY&categoryId=503119,false,0,5.0,1,False,,0,['쿠팡상품번호: 1351935725 - 2380498255'],[]
