,rank,category,name,price,product_id,baby_product_link,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,attribute_list,recommends_list,count
0,1,503219,"아임홈 MESA 다용도 접이식 미니 테이블, 핑크",10900,150583557,https://www.coupang.com/vp/products/150583557?itemId=434916094&vendorItemId=4074205921&sourceType=CATEGORY&categoryId=503119,True,42,4.5,2547.0,False,,0,"['사이즈: 550 x 355 x 255 mm', '재질: PP', '색상계열: 핑크계열', '형태: 직사각형', '가로길이: 550mm', '쿠팡상품번호: 150583557 - 434916094']",[],873.0
2,3,503219,"탑리빙 USB 노트북테이블 + 선풍기 + 라이트, 블랙",17500,2016636833,https://www.coupang.com/vp/products/2016636833?itemId=3430321935&vendorItemId=71416839304&sourceType=CATEGORY&categoryId=503119,True,12,4.0,637.0,False,,0,['쿠팡상품번호: 2016636833 - 3430321935'],[],637.0
3,4,503219,"다용도 미니 테이블 접이식테이블 공부책상 핸드폰거치대 장착 디자인특허, 네츄럴 월넛",14900,5102647898,https://www.coupang.com/vp/products/5102647898?itemId=6952210345&vendorItemId=74244654640&sourceType=CATEGORY&categoryId=503119,False,44,5.0,20.0,False,,0,['쿠팡상품번호: 5102647898 - 6952210345'],[],20.0
4,5,503219,"센스팟 접이식 다용도 테이블, 블랙우드",9100,2022069224,https://www.coupang.com/vp/products/2022069224?itemId=3439717293&vendorItemId=75125996831&sourceType=CATEGORY&categoryId=503119,False,0,4.0,363.0,False,,0,['쿠팡상품번호: 2022069224 - 3439717293'],[],366.0
5,6,503219,"리빙노크 다용도 접이식 베드트레이, 브라운",15900,1464083772,https://www.coupang.com/vp/products/1464083772?itemId=2518137251&vendorItemId=70511076853&sourceType=CATEGORY&categoryId=503119,False,0,4.5,433.0,False,,0,"['인테리어 컨셉: 키즈/캐릭터', '접이 가능여부: 접이식가능', '가로길이: 60cm', '형태: 직사각형', '색상계열: 브라운계열', '쿠팡상품번호: 1464083772 - 2518137251']",[],419.0
6,7,503219,"오엠티 만능 폴딩 노트북 테이블 OSO-P9, 우드",14050,1702772648,https://www.coupang.com/vp/products/1702772648?itemId=2897785863&vendorItemId=70886772888&sourceType=CATEGORY&categoryId=503119,True,1,4.5,34.0,False,오엠티,0,['쿠팡상품번호: 1702772648 - 2897785863'],[],34.0
8,9,503219,"룸앤홈 스마트 폴딩 테이블, 블랙",14900,179229062,https://www.coupang.com/vp/products/179229062?itemId=531134337&vendorItemId=4383771705&sourceType=CATEGORY&categoryId=503119,True,50,4.0,184.0,False,룸앤홈,0,"['사이즈: 605 x 400 x 250mm', '재질: 합성목재', '색상계열: 화이트계열', '가로길이: 605mm', '접이 가능여부: 접이식가능', '쿠팡상품번호: 179229062 - 531134337']",[],77.0
10,11,503219,"베드테이블 스마트 컵홀더 접이식 미니테이블 베드트레이 책상 밥상 미니책상 노트북테이블 공구책상 생활용품 테블릿거치대 접이식테이블, 우드",9900,4537085236,https://www.coupang.com/vp/products/4537085236?itemId=5486909821&vendorItemId=72786572816&sourceType=CATEGORY&categoryId=503119,False,23,4.0,49.0,False,,0,['쿠팡상품번호: 4537085236 - 5486909821'],[],49.0
11,12,503219,"그뤠잇라이프 다용도 접이식 컵홀더 테이블 베드트레이 60 x 40 cm, 우드",6330,212818333,https://www.coupang.com/vp/products/212818333?itemId=642940886&vendorItemId=4675697067&sourceType=CATEGORY&categoryId=503119,True,20,4.0,133.0,False,,0,['쿠팡상품번호: 212818333 - 642940886'],[],91.0
12,13,503219,히키스 인체공학 높낮이 각도조절 베드트레이 A6L,26130,2010777173,https://www.coupang.com/vp/products/2010777173?itemId=3420765399&vendorItemId=71407327261&sourceType=CATEGORY&categoryId=503119,True,0,4.5,69.0,False,히키스,0,['쿠팡상품번호: 2010777173 - 3420765399'],[],70.0
14,15,503219,"그뤠잇라이프 높이조절 접이식 노트북 베드트레이, 우드",13500,1827150419,https://www.coupang.com/vp/products/1827150419?itemId=3108609103&vendorItemId=75091997735&sourceType=CATEGORY&categoryId=503119,False,0,4.0,70.0,False,,0,['쿠팡상품번호: 1827150419 - 3108609103'],[],70.0
15,16,503219,"따니네 접이식 미니 테이블 ZZ008 60 x 40 x 28 cm, 화이트",12000,1547791319,https://www.coupang.com/vp/products/1547791319?itemId=2649546976&vendorItemId=73125484367&sourceType=CATEGORY&categoryId=503119,False,0,4.0,136.0,False,,0,['쿠팡상품번호: 1547791319 - 2649546976'],[],137.0
16,17,503219,"히키스 스마트폰 태블릿PC거치 인체공학 베드트레이 E6, 혼합 색상",32930,227601377,https://www.coupang.com/vp/products/227601377?itemId=721198240&vendorItemId=75938337103&sourceType=CATEGORY&categoryId=503119,False,26,5.0,755.0,False,히키스,"3,000","['사이즈: 650 x 430 x 300 mm', '재질: AL. ABS. WOOD', '색상계열: 베이지계열', '가로길이: 650mm', '접이 가능여부: 접이식가능', '쿠팡상품번호: 227601377 - 721198240']",[],496.0
17,18,503219,"CareFree 서랍 책받침 노트북 테이블 NT-6100, 상아색",21080,1583395774,https://www.coupang.com/vp/products/1583395774?itemId=2706666812&vendorItemId=70696954868&sourceType=CATEGORY&categoryId=503119,True,5,4.0,56.0,False,,0,['쿠팡상품번호: 1583395774 - 2706666812'],[],56.0
18,19,503219,"피너츠 스누피 노트북 테이블, 네이비",12490,4567910121,https://www.coupang.com/vp/products/4567910121?itemId=5575792918&vendorItemId=72875116861&sourceType=CATEGORY&categoryId=503119,True,1,4.5,21.0,False,,0,['쿠팡상품번호: 4567910121 - 5575792918'],[],21.0
