rank,category,name,price,product_id,baby_product_link,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,attribute_list,recommends_list
961,184634,"리빙스토리 비비체어 식탁의자 인테리어의자, 비비체어_터키블루",29800,246647777,https://www.coupang.com/vp/products/246647777?itemId=781390653&vendorItemId=4978031818&sourceType=CATEGORY&categoryId=184534,false,0,4.0,101,False,,0,"['타입: 입식', '색상계열: 블루계열', '재질: 패브릭', '인테리어 컨셉: 모던/심플', '소파/의자 소재: 패브릭', '쿠팡상품번호: 246647777 - 781390653']",[]
962,184634,"이안에다있다 농사 및 다용도 작업방석, 중",7000,115154590,https://www.coupang.com/vp/products/115154590?itemId=345200558&vendorItemId=3843998109&sourceType=CATEGORY&categoryId=184534,false,0,4.5,24,False,,"3,000",['쿠팡상품번호: 115154590 - 345200558'],[]
963,184634,"나인홈 벤치의자 식탁 1인 2인용 멀바우 빈티지, 1인_멀바우벤치의자(WWC2098-BK)",26900,4759138394,https://www.coupang.com/vp/products/4759138394?itemId=6062324120&vendorItemId=73359241163&sourceType=CATEGORY&categoryId=184534,false,3,5.0,4,False,,착불배송,['쿠팡상품번호: 4759138394 - 6062324120'],[]
964,184634,[베이비캠프]곰돌이 유아용 미니식탁의자,39000,15379305,https://www.coupang.com/vp/products/15379305?itemId=63272458&vendorItemId=5178875217&sourceType=CATEGORY&categoryId=184534,false,22,4.5,144,False,베이비캠프,0,"['제조국: 베트남', '재질: 원목/목재', '접이 가능여부: 접이식가능', '고정벨트 유무: 고정벨트 있음', '중량: 4kg', '쿠팡상품번호: 15379305 - 63272458']",[]
965,184634,"야마토야 아펠 트레이 하이체어, 샤벳핑크",184140,14913080,https://www.coupang.com/vp/products/14913080?itemId=61400534&vendorItemId=3096140097&sourceType=CATEGORY&categoryId=184534,true,40,4.5,77,False,야마토야,0,"['제조국: 인도네시아', '중량: 9kg', '최대무게: 70kg', '높이조절 여부: 높이조절 가능', '놀이대 포함여부: 미포함', '쿠팡상품번호: 14913080 - 61400534']",[]
966,184634,"베스트리빙 제시 3인용 벤치, 월넛",95920,1548542415,https://www.coupang.com/vp/products/1548542415?itemId=2650477561&vendorItemId=70641316035&sourceType=CATEGORY&categoryId=184534,true,16,3.5,24,False,베스트리빙,0,"['책상/PC용 의자종류: 벤치형의자', '소파/의자 소재: 인조/천연가죽', '등받이 유무: 등받이있음', '색상계열: 브라운계열', '인테리어 컨셉: 내추럴', '쿠팡상품번호: 1548542415 - 2650477561']",[]
967,184634,"작업의자 높낮이조절 보조의자 진찰용 병원의자 미용실 실험실의자, 163검정 고정바퀴",19300,5180724579,https://www.coupang.com/vp/products/5180724579?itemId=7168846488&vendorItemId=74460519250&sourceType=CATEGORY&categoryId=184534,false,0,5.0,2,False,,착불배송,['쿠팡상품번호: 5180724579 - 7168846488'],[]
968,184634,"접이식 보조의자 이동식 간이 작은 플라스틱 의자, 상세 참조",9010,5386970554,https://www.coupang.com/vp/products/5386970554?itemId=8021411930&vendorItemId=75310120379&sourceType=CATEGORY&categoryId=184534,false,50,5.0,1,False,,0,['쿠팡상품번호: 5386970554 - 8021411930'],[]
969,184634,"스툴스 간편 접이식 의자 L, 화이트",16250,5278809072,https://www.coupang.com/vp/products/5278809072?itemId=7546222357&vendorItemId=74837254616&sourceType=CATEGORY&categoryId=184534,true,0,,,False,,0,['쿠팡상품번호: 5278809072 - 7546222357'],[]
970,184634,"가구느낌 보조의자 대형, 블랙",14900,1312297732,https://www.coupang.com/vp/products/1312297732?itemId=2329682638&vendorItemId=4573150185&sourceType=CATEGORY&categoryId=184534,false,29,4.5,122,False,가구느낌,0,"['스툴 유무: 스툴있음', '쿠팡상품번호: 1312297732 - 2329682638']",[]
