rank,category,name,price,product_id,baby_product_link,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,attribute_list,recommends_list
241,184589,"따니네 간편옷장 YG001 125C 175 x 125 x 45 cm, 혼합색상",99500,1760604449,https://www.coupang.com/vp/products/1760604449?itemId=2998662897&vendorItemId=70986922514&sourceType=CATEGORY&categoryId=184489,true,0,5.0,2,False,,0,['쿠팡상품번호: 1760604449 - 2998662897'],[]
242,184589,"폴라도레 커버형 비키니옷장 조립식 이불장 드레스룸 행거 옷장 W, 06-6번[폭85cm단층관+천](J-0633-06)",36900,1980644582,https://www.coupang.com/vp/products/1980644582?itemId=3369901466&vendorItemId=71356618294&sourceType=CATEGORY&categoryId=184489,false,0,5.0,8,False,,0,['쿠팡상품번호: 1980644582 - 3369901466'],[]
243,184589,"폰델 3서랍 장롱세트 거울도어형 1000, 무늬목",200100,1863182525,https://www.coupang.com/vp/products/1863182525?itemId=3167059274&vendorItemId=71154591943&sourceType=CATEGORY&categoryId=184489,false,10,5.0,2,False,,착불배송,['쿠팡상품번호: 1863182525 - 3167059274'],[]
244,184589,"동서가구 다이노 800 옷장, 화이트_이불장[옷봉＋선반]",129000,111509126,https://www.coupang.com/vp/products/111509126?itemId=335807753&vendorItemId=3823937041&sourceType=CATEGORY&categoryId=184489,false,28,4.5,34,False,동서가구,0,"['인테리어 컨셉: 내추럴', '쿠팡상품번호: 111509126 - 335807753']",[]
245,184589,"라자가구 오브 1600 거울 슬라이딩 옷장 BK8839, 화이트",399000,1973130738,https://www.coupang.com/vp/products/1973130738?itemId=3356129403&vendorItemId=71342886599&sourceType=CATEGORY&categoryId=184489,false,40,5.0,1,False,라자가구,0,['쿠팡상품번호: 1973130738 - 3356129403'],[]
246,184589,"대도갤러리 이느낌 400 틈새 수납장, 화이트",54900,7253367,https://www.coupang.com/vp/products/7253367?itemId=32054345&vendorItemId=70316481445&sourceType=CATEGORY&categoryId=184489,false,8,4.5,21,False,대도갤러리,착불배송,"['가구 재질: PB + MDF', '사이즈: W406×H1880×D580(mm)', '높이: 1880mm', '서랍 개수: 0', '옷봉 개수: 1개', '쿠팡상품번호: 7253367 - 32054345']",[]
247,184589,"파미가구 포인트 사물함 공간박스 개인락카 수납보관함 다용도수납장, 300소",25900,229446258,https://www.coupang.com/vp/products/229446258?itemId=727547292&vendorItemId=3072599491&sourceType=CATEGORY&categoryId=184489,false,13,4.5,22,False,,착불배송,"['재질: 합성목재', '형태: 여닫이형', '쿠팡상품번호: 229446258 - 727547292']",[]
248,184589,"라자가구 위드 베이 3단 서랍 옷장 hn010, 화이트",95900,148020047,https://www.coupang.com/vp/products/148020047?itemId=428032969&vendorItemId=4716726765&sourceType=CATEGORY&categoryId=184489,false,46,4.5,5,False,라자가구,착불배송,"['가로길이: 80cm', '높이: 186cm', '쿠팡상품번호: 148020047 - 428032969']",[]
249,184589,"[삼익가구]원더 초대형 키큰 옷장 1000(행거형B타입), 화이트",149000,4581493993,https://www.coupang.com/vp/products/4581493993?itemId=5615912683&vendorItemId=72915101790&sourceType=CATEGORY&categoryId=184489,false,50,3.5,6,False,삼익가구,착불배송,['쿠팡상품번호: 4581493993 - 5615912683'],[]
250,184589,"솜씨방가구 비올라1600옷장세트 긴문장1+투서랍장1, 화이트(물결) 거울형 이단봉장1+투서랍장1",178000,209894026,https://www.coupang.com/vp/products/209894026?itemId=7377405499&vendorItemId=74668482258&sourceType=CATEGORY&categoryId=184489,false,40,5.0,70,False,솜씨방가구,착불배송,"['가로길이: 1620mm', '형태: 여닫이형', '색상계열: 화이트계열', '높이: 1870mm', '서랍 개수: 2', '쿠팡상품번호: 209894026 - 7377405499']",[]
251,184589,"케이컴퍼니 이음400도어선반장 장롱옷장, 화이트",62000,87837331,https://www.coupang.com/vp/products/87837331?itemId=275405768&vendorItemId=3667190153&sourceType=CATEGORY&categoryId=184489,false,43,5.0,24,False,,착불배송,"['가구자재등급: E1', '인테리어 컨셉: 모던/심플', '쿠팡상품번호: 87837331 - 275405768']",[]
252,184589,"동서가구 이즈 클래스 1200 옷장세트, 화이트",149000,1826397767,https://www.coupang.com/vp/products/1826397767?itemId=3107449935&vendorItemId=71095207418&sourceType=CATEGORY&categoryId=184489,false,44,,,False,동서가구,착불배송,['쿠팡상품번호: 1826397767 - 3107449935'],[]
253,184589,"진하다 조립식 지퍼형 비키니이불장 비키니옷장 150cm x 45cm 170cm 부직포 커버 작은방 코너 가벽 간이옷장 긴옷 시스템행거 베란다 원룸 오픈형 블라인드옷장 - 2 Color, L (150cm x 45cm x 170cm) - 그레이",57800,1838374958,https://www.coupang.com/vp/products/1838374958?itemId=3125559220&vendorItemId=71113221833&sourceType=CATEGORY&categoryId=184489,false,41,4.0,7,False,,"3,000","['옷봉 개수: 2개', '선반개수: 4개', '서랍 개수: 4개', '높이: 170cm', '가로길이: 150cm', '쿠팡상품번호: 1838374958 - 3125559220']",[]
254,184589,"모던하임 시스템행거 드레스룸 2800, 아카시아_CO",236900,1370948690,https://www.coupang.com/vp/products/1370948690?itemId=2403553110&vendorItemId=70398367073&sourceType=CATEGORY&categoryId=184489,false,55,3.5,21,False,상도가구,착불배송,['쿠팡상품번호: 1370948690 - 2403553110'],[]
255,184589,"가이온 리온 2400 서랍형 드레스룸 세트 옷장, 멀바우",275700,67890281,https://www.coupang.com/vp/products/67890281?itemId=226778446&vendorItemId=3551677275&sourceType=CATEGORY&categoryId=184489,false,50,4.5,126,False,가이온,착불배송,"['재질: 철제', '사이즈: 2400x400x2000', '가로길이: 2400mm', '형태: 도어없음', '색상계열: 브라운계열', '쿠팡상품번호: 67890281 - 226778446']",[]
256,184589,"에이치앤아이 조립식 큐브옷장 수납정리함 비키니옷장, 12칸(C-D12WH)",48900,324146904,https://www.coupang.com/vp/products/324146904?itemId=1037886900&vendorItemId=5492971025&sourceType=CATEGORY&categoryId=184489,false,0,3.5,23,False,에이치앤아이,0,['쿠팡상품번호: 324146904 - 1037886900'],[]
257,184589,"[삼익가구]NEW폰드 드레스룸 코너형, 그레이",89000,1551067333,https://www.coupang.com/vp/products/1551067333?itemId=2654008164&vendorItemId=70644758878&sourceType=CATEGORY&categoryId=184489,false,55,5.0,8,False,삼익가구,착불배송,['쿠팡상품번호: 1551067333 - 2654008164'],[]
258,184589,"깔끔대장 무타공 일자 선반, 화이트",6900,4970683651,https://www.coupang.com/vp/products/4970683651?itemId=6598748474&vendorItemId=73892685006&sourceType=CATEGORY&categoryId=184489,false,0,5.0,1,False,,0,['쿠팡상품번호: 4970683651 - 6598748474'],[]
259,184589,"엠에프매직하우스 윈도우 커버옷장 행거 비키니옷장, 08_2단더블_그레이",41400,1079874425,https://www.coupang.com/vp/products/1079874425?itemId=2031780871&vendorItemId=70031243122&sourceType=CATEGORY&categoryId=184489,false,0,4.0,50,False,엠에프매직하우스,0,"['재질: 패브릭', '옷봉 개수: 2개', '사이즈: 105 x 50 x 190 cm', '가로길이: 105cm', '잠금/고정방식: 지퍼형', '쿠팡상품번호: 1079874425 - 2031780871']",[]
