,rank,category,name,price,product_id,baby_product_link,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,attribute_list,recommends_list,count
0,1,184589,"엠에프매직하우스 윈도우 커버 이불장 + 고무망치, 라이트그레이",35800,1297841897,https://www.coupang.com/vp/products/1297841897?itemId=2310876152&vendorItemId=70307670621&sourceType=CATEGORY&categoryId=184489,True,1,4.5,731.0,False,엠에프매직하우스,0,['쿠팡상품번호: 1297841897 - 2310876152'],[],674.0
1,2,184589,"엔조이리빙 비키니옷장 75싱글, 그레이",24800,1196685804,https://www.coupang.com/vp/products/1196685804?itemId=2180213944&vendorItemId=75032741981&sourceType=CATEGORY&categoryId=184489,False,30,4.5,316.0,False,,0,"['사이즈: 75 x 45 x 175 cm', '재질: 패브릭', '색상계열: 그레이계열', '잠금/고정방식: 지퍼형', '가로길이: 75cm', '쿠팡상품번호: 1196685804 - 2180213944']",[],204.0
2,3,184589,"엔조이리빙 비키니옷장 150 프리미엄, 라이트그레이",110000,290778322,https://www.coupang.com/vp/products/290778322?itemId=920063096&vendorItemId=75881336593&sourceType=CATEGORY&categoryId=184489,False,0,4.0,233.0,False,,0,['쿠팡상품번호: 290778322 - 920063096'],[],159.0
3,4,184589,"엠에프매직하우스 윈도우 커버옷장 190 싱글 + 고무망치, 라이트그레이",35900,1349698949,https://www.coupang.com/vp/products/1349698949?itemId=2377774068&vendorItemId=74244717212&sourceType=CATEGORY&categoryId=184489,False,0,4.5,285.0,False,엠에프매직하우스,0,['쿠팡상품번호: 1349698949 - 2377774068'],[],274.0
4,5,184589,"엔조이리빙 비키니옷장 112 트리플, 라이트그레이",44900,290777557,https://www.coupang.com/vp/products/290777557?itemId=920061039&vendorItemId=70132979172&sourceType=CATEGORY&categoryId=184489,False,0,4.0,136.0,False,텐바이텐,0,['쿠팡상품번호: 290777557 - 920061039'],[],101.0
5,6,184589,"엔조이리빙 프리미엄 비키니옷장 150, 그레이",39900,208504201,https://www.coupang.com/vp/products/208504201?itemId=618762861&vendorItemId=74708210226&sourceType=CATEGORY&categoryId=184489,False,20,4.0,216.0,False,,0,['쿠팡상품번호: 208504201 - 618762861'],[],172.0
6,7,184589,"솜씨방가구 라온1600옷장세트 긴문장+투서랍장, 거울 이불장1+투서랍장1_화이트",170000,1282566197,https://www.coupang.com/vp/products/1282566197?itemId=2291603924&vendorItemId=70288624039&sourceType=CATEGORY&categoryId=184489,False,28,4.5,148.0,False,솜씨방가구,착불배송,"['인테리어 컨셉: 모던/심플', '옷봉 개수: 3개', '선반개수: 1개', '서랍 개수: 2개', '높이: 1900mm', '쿠팡상품번호: 1282566197 - 2291603924']",[],146.0
7,8,184589,"엔조이리빙 비키니옷장 90 더블, 라이트그레이",26500,290778682,https://www.coupang.com/vp/products/290778682?itemId=920064144&vendorItemId=74708179868&sourceType=CATEGORY&categoryId=184489,False,33,4.0,313.0,False,텐바이텐,0,"['사이즈: 90 x 45 x 175cm', '재질: 철제', '색상계열: 그레이계열', '잠금/고정방식: 지퍼형', '가로길이: 90cm', '쿠팡상품번호: 290778682 - 920064144']",[],196.0
8,9,184589,"엠에프매직하우스 윈도우 커버 2단행거 더블 + 고무망치, 그레이",37740,1297841964,https://www.coupang.com/vp/products/1297841964?itemId=2310876271&vendorItemId=70307670672&sourceType=CATEGORY&categoryId=184489,True,4,4.5,161.0,False,엠에프매직하우스,0,['쿠팡상품번호: 1297841964 - 2310876271'],[],154.0
10,11,184589,"가구의가치 분리형 개인 락카장 캐비넷 락커 사무실 미용실 옷장, 상부장, 무광LPM화이트",33000,5302206218,https://www.coupang.com/vp/products/5302206218?itemId=7657069307&vendorItemId=74947470800&sourceType=CATEGORY&categoryId=184489,False,0,4.5,6.0,False,,0,['쿠팡상품번호: 5302206218 - 7657069307'],[],6.0
11,12,184589,"엔조이리빙 비키니옷장 185 프리미엄, 그레이",48900,290778342,https://www.coupang.com/vp/products/290778342?itemId=920063143&vendorItemId=74708083053&sourceType=CATEGORY&categoryId=184489,False,38,4.0,592.0,False,,0,['쿠팡상품번호: 290778342 - 920063143'],[],344.0
12,13,184589,"케이컴퍼니 이음1600장롱세트CD(3서랍옷장+긴문장) 장롱세트, 화이트-3서랍옷장+옷장",150000,88907019,https://www.coupang.com/vp/products/88907019?itemId=277933076&vendorItemId=3675400801&sourceType=CATEGORY&categoryId=184489,False,39,4.0,241.0,False,,착불배송,"['가구자재등급: E1', '인테리어 컨셉: 모던/심플', '쿠팡상품번호: 88907019 - 277933076']",[],139.0
13,14,184589,"유니크가구 600 다용도수납장 일반형, 화이트",27900,892865,https://www.coupang.com/vp/products/892865?itemId=3596965&vendorItemId=3004259692&sourceType=CATEGORY&categoryId=184489,False,0,4.0,338.0,False,,"5,000","['형태: 여닫이', '색상계열: 화이트계열', '재질: 합성목재', '인테리어 컨셉: 내추럴', '쿠팡상품번호: 892865 - 3596965']",[],188.0
14,15,184589,"솜씨방가구 라온 800 이불장, 화이트",70000,2214353,https://www.coupang.com/vp/products/2214353?itemId=10102937&vendorItemId=3014805241&sourceType=CATEGORY&categoryId=184489,False,22,4.5,422.0,False,솜씨방가구,착불배송,"['사이즈: 810 x 590 x 1900mm', '가구 재질: PB + MDF', '구성품: 이불장단품', '높이: 1900mm', '옷봉 개수: 1개', '쿠팡상품번호: 2214353 - 10102937']",[],186.0
15,16,184589,"엠에프매직하우스 윈도우 커버옷장 190 트리플 + 고무망치, 라이트그레이",47900,1349698953,https://www.coupang.com/vp/products/1349698953?itemId=2377774070&vendorItemId=70373326012&sourceType=CATEGORY&categoryId=184489,True,0,4.5,158.0,False,엠에프매직하우스,0,['쿠팡상품번호: 1349698953 - 2377774070'],[],153.0
16,17,184589,"인홈즈 모던 드레스룸 시스템행거 옷장, C형(직접조립)",89900,2197800670,https://www.coupang.com/vp/products/2197800670?itemId=3739362965&vendorItemId=71724530656&sourceType=CATEGORY&categoryId=184489,False,25,4.5,99.0,False,,0,['쿠팡상품번호: 2197800670 - 3739362965'],[],99.0
17,18,184589,"동서가구 비쥬얼 4도어 3단서랍 1600 이불 옷장 YS211, 웜그레이",199000,1395474859,https://www.coupang.com/vp/products/1395474859?itemId=2430796205&vendorItemId=70424748642&sourceType=CATEGORY&categoryId=184489,False,52,4.5,11.0,False,동서가구,착불배송,['쿠팡상품번호: 1395474859 - 2430796205'],[],11.0
18,19,184589,"제이트레이드컴퍼니 조립식 비키니옷장 수납공간활용 수납이좋은 조립식행거 행거커버, 그레이L(180)",48900,1767299859,https://www.coupang.com/vp/products/1767299859?itemId=3009330108&vendorItemId=75310467846&sourceType=CATEGORY&categoryId=184489,False,18,4.0,91.0,False,,0,['쿠팡상품번호: 1767299859 - 3009330108'],[],91.0
19,20,184589,"대도갤러리 이느낌 800 투서랍 장롱, 워시화이트",79900,3834523,https://www.coupang.com/vp/products/3834523?itemId=18849716&vendorItemId=70316415910&sourceType=CATEGORY&categoryId=184489,False,0,4.0,315.0,False,대도갤러리,착불배송,"['가구 재질: PB + MDF', '사이즈: W810 x D580 x H1880', '높이: 1880mm', '서랍 개수: 2개', '가로길이: 810mm', '쿠팡상품번호: 3834523 - 18849716']",[],10.0
20,21,184589,"휴센 골드 2000 드레스룸 옷장 + 서랍, 크림화이트",169900,28889929,https://www.coupang.com/vp/products/28889929?itemId=110682398&vendorItemId=3024678359&sourceType=CATEGORY&categoryId=184489,False,31,4.5,213.0,False,휴센,0,"['재질: 철제', '사이즈: 2100 X 350 X 2100mm', '형태: 도어없음', '색상계열: 화이트계열', '인테리어 컨셉: 모던/심플', '쿠팡상품번호: 28889929 - 110682398']",[],37.0
21,22,184589,"주식회사 와이디 철제캐비넷(대), 철제캐비넷(대)_그레이(YWD8008-GR)",126900,17647890,https://www.coupang.com/vp/products/17647890?itemId=70722313&vendorItemId=3114412692&sourceType=CATEGORY&categoryId=184489,False,0,4.0,31.0,False,,착불배송,"['재질: 철제', '가로길이: 850mm', '형태: 여닫이형', '색상계열: 그레이계열', '높이: 1800mm', '쿠팡상품번호: 17647890 - 70722313']",[],13.0
22,23,184589,"솜씨방가구 비올라장롱 투서랍장, 화이트(물결)",89000,209843064,https://www.coupang.com/vp/products/209843064?itemId=624290336&vendorItemId=4639480739&sourceType=CATEGORY&categoryId=184489,False,38,4.5,98.0,False,솜씨방가구,착불배송,"['재질: MDF, PB, 데코시트 외', '사이즈: W810 X D570 X H1860(mm)', '가로길이: 810mm', '형태: 여닫이형', '색상계열: 화이트계열', '쿠팡상품번호: 209843064 - 624290336']",[],97.0
23,24,184589,"미노네 가벽 비키니 이불장 조립식 옷장 튼튼한 행거 이불 수납 프린팅 간이옷장, 노란소녀 2단",29900,2006208906,https://www.coupang.com/vp/products/2006208906?itemId=3413192382&vendorItemId=71399779336&sourceType=CATEGORY&categoryId=184489,False,21,4.5,4.0,False,,"3,000","['서랍 개수: 2개', '쿠팡상품번호: 2006208906 - 3413192382']",[],4.0
24,25,184589,"대도갤러리 이느낌 800 긴문장 장롱, 화이트",64900,6543880,https://www.coupang.com/vp/products/6543880?itemId=29052603&vendorItemId=70316438273&sourceType=CATEGORY&categoryId=184489,False,7,4.0,131.0,False,대도갤러리,착불배송,"['재질: 합성목재', '색상계열: 화이트계열', '형태: 여닫이형', '가로길이: 810mm', '높이: 1880mm', '쿠팡상품번호: 6543880 - 29052603']","['87593141', '3834523', '88506240', '218969564', '218954934', '2214353', '209838066', '313616251', '1297841897', '209843064', '2086047629', '94814539', '88254024', '95362664', '5026292838']",33.0
25,26,184589,"이안비즈 비키니옷장 서랍2형, 베이지",26560,145599870,https://www.coupang.com/vp/products/145599870?itemId=422006549&vendorItemId=4038516792&sourceType=CATEGORY&categoryId=184489,True,7,4.0,204.0,False,이안비즈,0,"['사이즈: 75 x 50 x 160 cm', '재질: 패브릭', '색상계열: 베이지계열', '잠금/고정방식: 지퍼형', '가로길이: 75cm', '쿠팡상품번호: 145599870 - 422006549']",[],53.0
26,27,184589,"MAME 조립식 비키니 옷장 L, 블랙(M0036)",49900,5345926708,https://www.coupang.com/vp/products/5345926708?itemId=7850943002&vendorItemId=76021853322&sourceType=CATEGORY&categoryId=184489,False,28,5.0,2.0,False,,0,"['사이즈: L', '쿠팡상품번호: 5345926708 - 7850943002']",[],2.0
27,28,184589,"이안비즈 비키니옷장 심플B형 기본형 폭 75cm, 그레이",17860,145599848,https://www.coupang.com/vp/products/145599848?itemId=422006521&vendorItemId=4038516726&sourceType=CATEGORY&categoryId=184489,True,5,3.5,82.0,False,이안비즈,0,['쿠팡상품번호: 145599848 - 422006521'],[],26.0
28,29,184589,"[삼익가구]원더 3단 서랍형 키큰 옷장 800, 화이트",159000,4581493680,https://www.coupang.com/vp/products/4581493680?itemId=5615911919&vendorItemId=72915100718&sourceType=CATEGORY&categoryId=184489,False,46,5.0,7.0,False,삼익가구,착불배송,['쿠팡상품번호: 4581493680 - 5615911919'],[],7.0
