product_id,ratings,reg_date,article_headline,article_content,help_count,is_photo_review
1509871,1,2021.05.09,,"원래 이런거 안 올리는데 몸체를 조립후 바구니를 보니 안쪽에 넣는거에 전부 곰팡이가 ㅡ.ㅡ

이거 안쪽에 종이 재질 들어가 있는거 일텐데 빨아서 쓸수도 없고

엥간한건 그냥 쓰는 편인데 교환신청 함...",1,False
1509871,1,2021.05.08,,"사이즈랑 색상은 이쁘나..
서랍 바닥 지지하는판이
곰팡이가 있는 상태로 배송
배송전 검수작업없이
그냥 보내시나봐요",0,False
1509871,1,2021.04.27,,"상판 왼쪽 부분에 나사를 넣는데 계속 헛돕니다.
추천은 별로 하고 싶지 않네요.",0,False
1509871,1,2021.04.19,,"수납칸 받침대 원래 이런패턴이 있나요? 제생각엔 베이지색인데 이거저거 묻혀서 오염된거같거든요
처음봤을땐 어 이거 받침대에 꽃무늬같은게 있네? 싶었는데 빛비춰보니까 때탄거같이보여요 냄새도 친가 보일러실 들어갔을때 나는 냄새 나구요 제대로된거 맞나요?",0,False
1509871,1,2021.04.14,브라운색상 주문했는데 베이지가 왔네요,설치해놓고보니 생각이 났네요,0,False
1509871,1,2021.03.07,,뒷부분 엑스자로 잡아주는 부품이 없어요,0,False
1509871,1,2021.02.23,진짜 별로입니다.서비스도 별로구..상품도 별로임,저기요...저희가 서랍장이랑 옆에 프레임의 사이즈가 안맞아서 교환신청을하고 오늘에 상품을 받았는데ㅡㅡ 또 사이즈가 안맞는걸로 보내주셨네요ㅡㅡ참 뭐라해야할지 모르겠습니다ㅡㅡ...진짜 별점 1점을 주는가도 아까울정도 입니다.아예 사용을 할수가 없네요ㅡㅡ,0,False
1509871,1,2021.02.23,까사마루 제품은 안쓰는걸로,"까사마루 행거와 같이 자취방아이템으로 구입했다.
제품규격은 제각각이라 수평도 맞지 않고 x자 지지대는 나사를 약하게 조이던 강하게 조이던 조립순서를 x지지대를 먼저 조립하던 상황없이 규격이 맞지않아 전동 드라이버로 구멍을 양쪽에 새로 뚫어서 조립했다.

까사마루 행거의 경우 육각랜치가 나사 규격과 상이하여 나사가 손상되었다. (수납장 조립용 육각랜치는 괜찮았다.)

천으로 된 수납칸의 손잡이는 얼마 안가 떨어질 것 같은 약한 제봉으로 되어있다. 손잡이를 잡기위한 그립공간 역시 타이트하게 되어 있어서 안그래도 약해보이는 손잡이의 수명이 더 단축될 것 같다.

천으로 된 수납칸은 좁은 자취공간에 화학냄새가 진동하게 만들었고 멀미가 나서 하루동안 밖에 내다놓을 생각이다.

저렴한 가격이라 좋을 거라는 기대는 하지않았으나 정말 2만원가격값도 못하는 물건.",2,False
1509871,1,2021.02.22,,"솔직히 진짜 상품 리뷰를 안쓰는편인데...그냥 이쁘고 가격도 싸서 하나를 샀는데..이건 좀 아닌거 같아요..

조립하는데 조립도 사이즈 안맞어서 몇개 포기하고 그냥 쓸려고했는데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 고정도 안됩니다 ㅡㅡ
확인을 안하고 보내주시나봐요 ;;;",2,False
1509871,1,2020.12.23,,부실해요ㅠㅠ 원단도 잘찢어지고ㅠ,1,False
1509871,1,2020.12.09,개 쓰레기,개^^ㅣ발 철제 밑부분이 길이가 쳐달라서 수납장 넣어도 쳐떨어지고 개병신같은 다이소께 훨신좋겠다 개^^ㅣ발진짜 별하나도 아깝다,0,False
1509871,1,2020.12.02,불량품을 두번이나보내는 검수 안되는 상품,"진짜 최악임

절대 사지마세요

두번이나 조립하고 분해하고 다시 포장하고 염병떨었음.

그시간에 노동을했으면 돈이라도벌지. 쉬지도못하고 이난리를 몇번이나.

불량으로 교환신청을했으면 검수를하고 보내주는게 상식에 맞는거 아님?

내가 이틀동안이나 집에서 혼자 끙끙대면서 이걸 풀렀다 조였다 하 진짜

퇴근하고 집에오면 뭐해요 이거때문에 쉬지도못함. 진짜짜증나네요 ^^

다시 교환신청하면 또 불량보내주실까봐 걍 반품신청했습니다~ ^^ 검수좀 똑바로하세요 사람 엿맥이는것도아니고",2,False
1509871,1,2020.11.29,사이즈가 아예다름,도대체 어떻게 쓰는건가요 교환하겠습니다,0,False
1509871,1,2020.11.29,,다리도 안맞고 에효 이런거구매하지마세여,0,False
1509871,1,2020.11.28,아니 하단길이가 46cm이 뭡니까 조립이안되잖아요,"아니 하단길이가 46cm이 뭡니까 조립이안되잖아요44짜리로바꿔줘요
교환신청합니다",0,False
1509871,1,2020.11.28,,서랍장 꼭대기 선반부분 나사 조이는 4개중 2개가 자꾸 헛도는거 보니 접합부 자체가 문제가 있는거 같아요 불량인데 환불신청 하긴 귀찮고 시간도 좀 지난거라 그냥 후기만 남깁니다,0,False
1509871,1,2020.11.13,,,0,False
1509871,1,2020.11.12,,"너무 약하고 서랍이 깊이가 작아서 자주 빠지네요.
별로입니다.",0,False
1509871,1,2020.10.25,,별로입니다,0,False
1509871,1,2020.10.12,제발 검수좀 하세요 새제품을 판매하셔야죠 꼭 중고같아요,"금일 받자마자쓰는 평입니다.
제품을 뜯을때부터 거뭇거뭇한게 포장에 묻어잇엇고요.....나무프레임은 어디서 사용하던걸 주신걸까요.....이미조립해서쓰는데;; 나무판은 교환요청해야할거같아요. 새건데 4모서리가 왜 다 벗겨져있는지 이해불가입니다.",0,False
1509871,1,2020.10.03,물품의 초기 상태는 꼭 확인해보세요~,"교환 또는 반품된 상품을 받은 느낌이 드네요.

1. 설명서 상태
(고의로 한것이 아니라. 사진과 동일하게 박스 개봉 시 그대로 꺼내놓은거임)

2. 덮개 상태
얼룩이 많이 보이고... 교환이 맞아보이나 귀찮아서 패스

3. 합판 상태
끝 부분에 까임이 있으며 그 외에 지저분한 편

4. 냄새
냄새는 많이 납니다. 꼭 실내 환기시켜 충분히 냄새 제거 후 사용하시길 바랍니다.


물품 검수가 잘 됐으면 좋겠어요.
귀찮아서 그냥 넘어 갑니다.
구매자분들께서는 참고만 하세요.",0,False
1509871,1,2020.09.19,"진짜 별로,,,비추",칸마다 이상한? 냄새나서 다른거 사서 바꿈.... ㅡㅡ,0,False
1509871,1,2020.08.27,,"물건 확인안하고 보내시는건가요??
내부가 녹슬정도면 말 다한거아닌가요.
여기는 문의 올렸는데 확인도 안하네요?",0,False
1509871,1,2020.08.24,ㅠㅠ,"너무너무 역한 화공약품 냄새가 빠지지
않고 있습니다
미리 알았더라면..아쉽네요
일이만원 아끼려던게 참 한심합니다",0,False
1509871,1,2020.05.24,,"서랍 바느질 문제있지만, 메덴차이나 낮은 기대치로 대충 쓸 만, 특유의 냄새 약간 있음, 가격대비 품질은 낮음.",0,False
1509871,1,2020.05.16,,"구매한지 2년 정도 됐네요
신혼집 입주 해서 구매 했었는데 가벼운거 넣어두려구 ㅎㅎ
온지 3일째부터 찢어짐이 발생하더니
한달만에 이상태 된거 거의 안열고 그대로 쓰다가 이사 가면서 버리고 갑니다^^",3,False
