,rank,category,name,price,product_id,baby_product_link,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,attribute_list,recommends_list,count
0,1,184613,"코멧 5단 라탄 서랍장, 화이트",29090,2374667819,https://www.coupang.com/vp/products/2374667819?itemId=4136523948&vendorItemId=72120436423&sourceType=CATEGORY&categoryId=184513,True,31,4.5,2190.0,False,코멧,0,['쿠팡상품번호: 2374667819 - 4136523948'],[],2208.0
2,3,184613,"소프시스 철제 5단 서랍, 화이트",69900,3439001,https://www.coupang.com/vp/products/3439001?itemId=16181470&vendorItemId=76126537794&sourceType=CATEGORY&categoryId=184513,False,0,4.0,4146.0,False,소프시스,0,"['사이즈: 280 x 410 x 690 mm', '재질: 철제', '색상계열: 화이트계열', '가로길이: 280mm', '단 수: 5단', '쿠팡상품번호: 3439001 - 16181470']",[],513.0
4,5,184613,"아임홈리빙 LINE 클래식 5단 서랍장, 네이비",48720,2197274458,https://www.coupang.com/vp/products/2197274458?itemId=3738672088&vendorItemId=71723847488&sourceType=CATEGORY&categoryId=184513,True,0,4.5,423.0,False,아임홈리빙,0,['쿠팡상품번호: 2197274458 - 3738672088'],[],425.0
5,6,184613,"제이디퍼니처 로미 4단 서랍장, 백화이트",28900,24070995,https://www.coupang.com/vp/products/24070995?itemId=93723578&vendorItemId=3165658367&sourceType=CATEGORY&categoryId=184513,True,0,4.0,3093.0,False,제이디퍼니처,0,"['사이즈: 400 x 370 x 589 mm', '재질: MDF + PB', '색상계열: 화이트계열', '가로길이: 400mm', '단 수: 4단', '쿠팡상품번호: 24070995 - 93723578']",[],1092.0
6,7,184613,"제이디퍼니처 로미 3단 서랍장, 백화이트",22900,24070993,https://www.coupang.com/vp/products/24070993?itemId=93723572&vendorItemId=3165658357&sourceType=CATEGORY&categoryId=184513,True,0,4.0,2441.0,False,제이디퍼니처,0,"['사이즈: 400 x 370 x 445 mm', '재질: MDF + PB', '색상계열: 화이트계열', '가로길이: 400mm', '단 수: 3단', '쿠팡상품번호: 24070993 - 93723572']",[],749.0
7,8,184613,"할메이드 라탄 플라스틱 서랍장 3단 4단 5단 대형 수납정리함, 3단 아이보리",33900,1095936134,https://www.coupang.com/vp/products/1095936134?itemId=2053554035&vendorItemId=70052857947&sourceType=CATEGORY&categoryId=184513,False,0,4.5,361.0,False,할메이드,0,['쿠팡상품번호: 1095936134 - 2053554035'],[],345.0
8,9,184613,"홈앤미 다용도 3단 7문 서랍장, 혼합 색상",62130,1218318510,https://www.coupang.com/vp/products/1218318510?itemId=2208502607&vendorItemId=70206319977&sourceType=CATEGORY&categoryId=184513,True,14,4.5,375.0,False,홈앤미,0,['쿠팡상품번호: 1218318510 - 2208502607'],[],355.0
9,10,184613,"블루밍홈 3단 패브릭 서랍장, 화이트 + 그레이",44400,122785302,https://www.coupang.com/vp/products/122785302?itemId=364196350&vendorItemId=3884639697&sourceType=CATEGORY&categoryId=184513,True,50,4.0,1024.0,False,블루밍홈,0,"['사이즈: 60 x 29.5 x 73.5 cm', '재질: 합성목재', '색상계열: 베이지계열', '가로길이: 60cm', '단 수: 3단', '쿠팡상품번호: 122785302 - 364196350']",[],374.0
12,13,184613,"까사마루 4단 서랍장, 베이지",24090,1509871,https://www.coupang.com/vp/products/1509871?itemId=6576928&vendorItemId=3018111426&sourceType=CATEGORY&categoryId=184513,True,49,4.5,2839.0,False,까사마루,0,"['사이즈: 440 x 300 x 915 mm', '재질: 패브릭', '색상계열: 베이지계열', '가로길이: 440mm', '단 수: 4단', '쿠팡상품번호: 1509871 - 6576928']",[],334.0
13,14,184613,"플러스 와이드 4단 5문 서랍장, 혼합 색상",52340,1218318569,https://www.coupang.com/vp/products/1218318569?itemId=2208502668&vendorItemId=70206320045&sourceType=CATEGORY&categoryId=184513,True,18,4.5,231.0,False,홈앤미,0,['쿠팡상품번호: 1218318569 - 2208502668'],[],206.0
14,15,184613,"까사마루 4단 슬림 서랍장, 그레이",23900,47423587,https://www.coupang.com/vp/products/47423587?itemId=167780259&vendorItemId=3399443752&sourceType=CATEGORY&categoryId=184513,True,33,4.0,1474.0,False,까사마루,0,"['사이즈: 22 x 48 x 73 cm', '재질: 패브릭', '색상계열: 그레이계열', '가로길이: 22cm', '단 수: 4단', '쿠팡상품번호: 47423587 - 167780259']",[],110.0
15,16,184613,"샤바스 어셈블 컬러 스토리 서랍장 400 3단, 화이트",36700,205101306,https://www.coupang.com/vp/products/205101306?itemId=2684066656&vendorItemId=70674567905&sourceType=CATEGORY&categoryId=184513,True,8,4.5,311.0,False,샤바스,0,['쿠팡상품번호: 205101306 - 2684066656'],[],256.0
