rank,category,name,price,product_id,baby_product_link,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,attribute_list,recommends_list
481,184600,"부메랑 회전형 폴행거 WPR 3801, 메탈릭 와인",20070,4918782012,https://www.coupang.com/vp/products/4918782012?itemId=6441783794&vendorItemId=73736286459&sourceType=CATEGORY&categoryId=184500,true,2,4.0,1,False,,0,"['행거 종류: 폴/기둥식', '높이조절 여부: 높이조절 가능', '쿠팡상품번호: 4918782012 - 6441783794']",[]
482,184600,"왕자행거 네오스페이스 어바웃드레스룸 2P 커튼형행거, 화이트",66310,113855246,https://www.coupang.com/vp/products/113855246?itemId=341828125&vendorItemId=3837478144&sourceType=CATEGORY&categoryId=184500,false,0,4.5,152,False,왕자행거,0,['쿠팡상품번호: 113855246 - 341828125'],[]
483,184600,"지엔디스플레이 옷가게 튼튼한 이동식 옷걸이 행거, 10. 조절 라운드 행거 브론즈",44500,201232588,https://www.coupang.com/vp/products/201232588?itemId=586228692&vendorItemId=4534652440&sourceType=CATEGORY&categoryId=184500,false,0,5.0,82,False,,"10,000","['재질: 철제', '사이즈: 높이90cm~155cm X 가로100cm', '거울 유무: 거울 없음', '바퀴 유무: 바퀴있음', '색상계열: 브론즈', '쿠팡상품번호: 201232588 - 586228692']",[]
484,184600,"매장용 행거 1200/튼튼한 1단 옷행거 옷가게 헹거, 없음",39690,1251301898,https://www.coupang.com/vp/products/1251301898?itemId=2250633447&vendorItemId=70248014180&sourceType=CATEGORY&categoryId=184500,false,11,4.0,1,False,,0,['쿠팡상품번호: 1251301898 - 2250633447'],[]
485,184600,"지엔디스플레이 옷가게 튼튼한 이동식 옷걸이 행거, 8. 조립식 강철 일자 행거 실버",48000,201232588,https://www.coupang.com/vp/products/201232588?itemId=586228659&vendorItemId=4534652112&sourceType=CATEGORY&categoryId=184500,false,0,5.0,82,False,,"10,000","['재질: 철제', '사이즈: 높이100cm~165cm X 가로115cm~165cm', '거울 유무: 거울 없음', '바퀴 유무: 바퀴있음', '색상계열: 실버계열', '쿠팡상품번호: 201232588 - 586228659']",[]
486,184600,오에이데스크 사각 멀티 원목 행거,46900,51410076,https://www.coupang.com/vp/products/51410076?itemId=181967191&vendorItemId=3433393885&sourceType=CATEGORY&categoryId=184500,true,47,3.5,185,False,,0,"['사이즈: 90 x 30 x 145 cm', '재질: 원목', '색상계열: 브라운계열', '행거타입: 일반행거', '단 수: 5단', '쿠팡상품번호: 51410076 - 181967191']",[]
487,184600,"리빙스타 이동식 드레스룸 행거, 화이트",46900,111312764,https://www.coupang.com/vp/products/111312764?itemId=335305783&vendorItemId=3822652428&sourceType=CATEGORY&categoryId=184500,true,57,4.5,51,False,리빙스타,0,"['가로 길이(최소): 63cm', '행거 종류: 스탠드/이동식', '바퀴 유무: 바퀴있음', '선반/서랍 여부: 선반/서랍 있음', '쿠팡상품번호: 111312764 - 335305783']",[]
488,184600,"[왕자행거] 왕자 뉴컬러폴행거(색상선택형), 색상:화이트",22890,99463829,https://www.coupang.com/vp/products/99463829?itemId=304322747&vendorItemId=3837477987&sourceType=CATEGORY&categoryId=184500,false,0,4.5,213,False,왕자행거,0,"['인테리어 컨셉: 모던/심플', '행거 종류: 폴/기둥식', '높이조절 여부: 높이조절 가능', '쿠팡상품번호: 99463829 - 304322747']",[]
489,184600,"우리행거 클래식 3단 고정 행거 25mm WCL2503, 아이보리 함마톤 분체도장",22780,1730972307,https://www.coupang.com/vp/products/1730972307?itemId=2946495364&vendorItemId=70935073037&sourceType=CATEGORY&categoryId=184500,true,8,4.5,20,False,,0,"['가로 길이(최대): 320cm', '가로 길이(최소): 190cm', '행거 종류: 설치형', '높이조절 여부: 높이조절 가능', '쿠팡상품번호: 1730972307 - 2946495364']",[]
490,184600,"[유캐슬] 마호가니 엔틱 원목 양복걸이, 상세 설명 참조",75900,168957014,https://www.coupang.com/vp/products/168957014?itemId=483689286&vendorItemId=4217322235&sourceType=CATEGORY&categoryId=184500,false,0,4.5,6,False,유캐슬,착불배송,['쿠팡상품번호: 168957014 - 483689286'],[]
491,184600,"가팡 원목 사다리꼴 옷걸이 행거 70, 플레인",48650,1713153727,https://www.coupang.com/vp/products/1713153727?itemId=2915476588&vendorItemId=70904151373&sourceType=CATEGORY&categoryId=184500,true,0,2.5,7,False,가팡,0,['쿠팡상품번호: 1713153727 - 2915476588'],[]
492,184600,"가쯔 네이쳐 스탠드 옷걸이, 나뭇잎블랙",9900,1836470010,https://www.coupang.com/vp/products/1836470010?itemId=3122670918&vendorItemId=71110367810&sourceType=CATEGORY&categoryId=184500,false,0,4.5,3,False,,0,['쿠팡상품번호: 1836470010 - 3122670918'],[]
493,184600,트레벨 25파이 3단 행거,22100,202870911,https://www.coupang.com/vp/products/202870911?itemId=3256377&vendorItemId=3003750499&sourceType=CATEGORY&categoryId=184500,true,2,3.5,348,False,트레벨,0,"['색상계열: 화이트계열', '행거타입: 일반행거', '재질: 철제', '단 수: 3단', '폴 개수: 6개', '쿠팡상품번호: 202870911 - 3256377']",[]
494,184600,"가쯔 네이쳐 스탠드 별 옷걸이, 화이트",8270,2587277,https://www.coupang.com/vp/products/2587277?itemId=11949753&vendorItemId=3018200637&sourceType=CATEGORY&categoryId=184500,true,7,4.0,752,False,가쯔,0,"['사이즈: 35.6 x 177.3 cm', '재질: 스테인리스', '색상계열: 화이트계열', '높이: 177.3cm', '인테리어 컨셉: 모던/심플', '쿠팡상품번호: 2587277 - 11949753']",[]
495,184600,"넘버원 5단 행거 2단 선반, 블랙",47400,22082500,https://www.coupang.com/vp/products/22082500?itemId=85981839&vendorItemId=3146251084&sourceType=CATEGORY&categoryId=184500,true,36,4.0,762,False,,0,"['사이즈: 240~320 x 210~260 cm', '재질: 철제', '색상계열: 화이트계열', '행거타입: 일반행거', '단 수: 2단', '쿠팡상품번호: 22082500 - 85981839']",[]
496,184600,"골드 블랙 코트랙 대리석 철재 행거 미니 옷가게 헹거 옷걸이, 골드거치대 (받침대 : 화이트) 높이 170cm",55300,4773325526,https://www.coupang.com/vp/products/4773325526?itemId=6095781191&vendorItemId=73392177665&sourceType=CATEGORY&categoryId=184500,false,51,,,False,,0,['쿠팡상품번호: 4773325526 - 6095781191'],[]
497,184600,"리우리빙 스크류 행거 5단 38mm 블랙/블랙앤화이트, 리우리빙 스크류행거 블랙",69900,2091297997,https://www.coupang.com/vp/products/2091297997?itemId=3552265326&vendorItemId=71538177021&sourceType=CATEGORY&categoryId=184500,false,12,3.5,6,False,리우리빙,0,['쿠팡상품번호: 2091297997 - 3552265326'],[]
498,184600,"아이코닉하우스 오카소 블렌드 스탠드 행거, 블랙",23000,1606761076,https://www.coupang.com/vp/products/1606761076?itemId=2744280593&vendorItemId=70734291077&sourceType=CATEGORY&categoryId=184500,true,0,4.5,24,False,,0,['쿠팡상품번호: 1606761076 - 2744280593'],[]
499,184600,"블루밍홈 니트 행거 일반형, 화이트",49900,81568329,https://www.coupang.com/vp/products/81568329?itemId=259924480&vendorItemId=3631505183&sourceType=CATEGORY&categoryId=184500,true,16,4.5,344,False,블루밍홈,0,"['재질: 철제', '색상계열: 화이트계열', '행거타입: 일반행거', '가로 길이(최소): 60cm', '행거 종류: 스탠드/이동식', '쿠팡상품번호: 81568329 - 259924480']",[]
500,184600,"멀티원 다용도 일자 행거 벽면 베란다 옷장 틈새 원룸 폴행거 간이옷장, 다용도압축봉M(80~135cm)",12500,1592702231,https://www.coupang.com/vp/products/1592702231?itemId=2721258512&vendorItemId=70711491921&sourceType=CATEGORY&categoryId=184500,false,0,4.5,11,False,,0,"['가로 길이(최대): 135cm', '가로 길이(최소): 80cm', '가로폭 조절 여부: 가로폭 조절가능', '쿠팡상품번호: 1592702231 - 2721258512']",[]
