,rank,category,name,price,product_id,baby_product_link,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,attribute_list,recommends_list,count
0,1,184600,"영일에이치비 넘버원 선반형 이동식 행거, 블랙+화이트",19800,5257527,https://www.coupang.com/vp/products/5257527?itemId=23831452&vendorItemId=3012791113&sourceType=CATEGORY&categoryId=184500,True,41,4.5,8212.0,False,,0.0,"['사이즈: 95 x 44 x 100~160 cm', '재질: 철제', '색상계열: 화이트계열', '행거타입: 일반행거', '단 수: 1단', '쿠팡상품번호: 5257527 - 23831452']",[],1643.0
1,2,184600,"올리빙 나무 스탠드 옷걸이, 나무 화이트",10500,112040,https://www.coupang.com/vp/products/112040?itemId=238463&vendorItemId=3000728439&sourceType=CATEGORY&categoryId=184500,True,56,4.0,10686.0,False,올리빙,0.0,"['사이즈: 170 x 35 cm', '재질: 철제', '색상계열: 화이트계열', '높이: 170cm', '인테리어 컨셉: 모던/심플', '쿠팡상품번호: 112040 - 238463']",[],2513.0
2,3,184600,"트레벨 그란데 더블스탠드 행거, 블랙",23600,261421309,https://www.coupang.com/vp/products/261421309?itemId=817429026&vendorItemId=5079378033&sourceType=CATEGORY&categoryId=184500,True,8,4.5,2474.0,False,트레벨,0.0,"['사이즈: 140 x 57 x 150cm', '재질: 철제', '색상계열: 블랙계열', '행거타입: 일반행거', '단 수: 2단', '쿠팡상품번호: 261421309 - 817429026']",[],1568.0
3,4,184600,"코멧 홈 베이직 스탠드행거, 블랙",12220,1676362802,https://www.coupang.com/vp/products/1676362802?itemId=2856014459&vendorItemId=70845325826&sourceType=CATEGORY&categoryId=184500,True,27,4.5,2263.0,False,코멧,0.0,"['사이즈: 105 x 37 x 155 cm', '색상계열: 블랙계열', '인테리어 컨셉: 모던/심플', '가로 길이(최소): 105cm', '행거 종류: 스탠드/이동식', '쿠팡상품번호: 1676362802 - 2856014459']",[],2266.0
4,5,184600,"가화홈시스 기본형 3단 수납바구니 옷걸이 행거 N3LB3302, 기둥(아이보리) + 부품(검정)",37370,205424051,https://www.coupang.com/vp/products/205424051?itemId=605085882&vendorItemId=4586165754&sourceType=CATEGORY&categoryId=184500,True,0,4.5,808.0,False,가화홈시스,0.0,"['지역 구분: 대구/경북 소상공인', '가로 길이(최대): 205cm', '가로 길이(최소): 160cm', '행거 종류: 설치형', '선반/서랍 여부: 선반/서랍 있음', '쿠팡상품번호: 205424051 - 605085882']",[],709.0
5,6,184600,"실속형 튼튼 2단 행거, 블랙",14710,4698413208,https://www.coupang.com/vp/products/4698413208?itemId=5914492546&vendorItemId=73212553689&sourceType=CATEGORY&categoryId=184500,True,11,4.0,146.0,False,,0.0,['쿠팡상품번호: 4698413208 - 5914492546'],[],146.0
6,7,184600,"트레벨 수납 1단 사다리 고정행거 9009, 블랙",12900,13294220,https://www.coupang.com/vp/products/13294220?itemId=55539441&vendorItemId=3087127702&sourceType=CATEGORY&categoryId=184500,True,4,4.0,9116.0,False,트레벨,0.0,"['사이즈: 66 x 38 x 120 cm', '재질: 철제', '색상계열: 블랙계열', '행거타입: 일반행거', '단 수: 1단', '쿠팡상품번호: 13294220 - 55539441']",[],1824.0
8,9,184600,"넘버원 와이드 2단 행거, 블랙",36800,1421638352,https://www.coupang.com/vp/products/1421638352?itemId=2460242637&vendorItemId=70453761052&sourceType=CATEGORY&categoryId=184500,True,0,4.5,883.0,False,,0.0,"['가로 길이(최대): 190cm', '가로 길이(최소): 105cm', '행거 종류: 설치형', '가로폭 조절 여부: 가로폭 조절가능', '높이조절 여부: 높이조절 가능', '쿠팡상품번호: 1421638352 - 2460242637']",[],877.0
9,10,184600,"가화홈시스 기본형 5단 수납바구니 옷걸이 행거 N3LB4502, 기둥(아이보리) + 부품(검정)",46870,205424035,https://www.coupang.com/vp/products/205424035?itemId=605085784&vendorItemId=4586165638&sourceType=CATEGORY&categoryId=184500,True,3,4.5,874.0,False,가화홈시스,0.0,"['지역 구분: 대구/경북 소상공인', '가로 길이(최대): 325cm', '가로 길이(최소): 235cm', '행거 종류: 설치형', '선반/서랍 여부: 선반/서랍 있음', '쿠팡상품번호: 205424035 - 605085784']",[],703.0
10,11,184600,"프라임행거 엘스옷걸이 TC-286, 화이트",27420,2114769,https://www.coupang.com/vp/products/2114769?itemId=9572153&vendorItemId=3013870849&sourceType=CATEGORY&categoryId=184500,True,14,4.5,2485.0,False,,0.0,"['사이즈: 높이 175cm x 너비 45cm', '재질: 철제', '색상계열: 화이트계열', '높이: 175cm', '인테리어 컨셉: 모던/심플', '쿠팡상품번호: 2114769 - 9572153']",[],767.0
11,12,184600,"코멧 싱글 레일 높이조절 이동식 행거, 화이트",13900,1960906253,https://www.coupang.com/vp/products/1960906253?itemId=3332685900&vendorItemId=71319501956&sourceType=CATEGORY&categoryId=184500,True,48,4.0,504.0,False,코멧,0.0,"['재질: 스테인리스', '바퀴 유무: 바퀴있음', '인테리어 컨셉: 모던/심플', '가로 길이(최대): 140cm', '가로 길이(최소): 85cm', '쿠팡상품번호: 1960906253 - 3332685900']",[],504.0
12,13,184600,"프라임행거 심플 2단 조절행거 28mm, 아이보리함마분체도장, 기타(블랙)",26640,175224832,https://www.coupang.com/vp/products/175224832?itemId=500722529&vendorItemId=4277035079&sourceType=CATEGORY&categoryId=184500,True,13,4.0,908.0,False,,0.0,"['사이즈: 75~130 x 170~280 cm', '재질: 철제', '색상계열: 화이트계열', '행거타입: 일반행거', '단 수: 2단', '쿠팡상품번호: 175224832 - 500722529']",[],471.0
13,14,184600,"넘버원 폴 행거, 화이트",17800,1204547413,https://www.coupang.com/vp/products/1204547413?itemId=2190347764&vendorItemId=70188319872&sourceType=CATEGORY&categoryId=184500,True,0,4.5,820.0,False,,0.0,"['형태: 공간활용형', '쿠팡상품번호: 1204547413 - 2190347764']",[],775.0
14,15,184600,트레벨 38파이 2단 행거,27100,350833,https://www.coupang.com/vp/products/350833?itemId=861646&vendorItemId=3003750503&sourceType=CATEGORY&categoryId=184500,True,2,4.5,1134.0,False,트레벨,0.0,"['사이즈: 120 x 260 cm', '재질: 철제', '색상계열: 화이트계열', '행거타입: 일반행거', '단 수: 2단', '쿠팡상품번호: 350833 - 861646']",[],503.0
15,16,184600,"정리인행거 심플리프 스탠드 행거 105, White",17310,224459998,https://www.coupang.com/vp/products/224459998?itemId=707835898&vendorItemId=70681526824&sourceType=CATEGORY&categoryId=184500,True,4,4.5,539.0,False,,0.0,"['가로 길이(최소): 105cm', '행거 종류: 스탠드/이동식', '선반/서랍 여부: 선반/서랍 있음', '쿠팡상품번호: 224459998 - 707835898']",[],539.0
16,17,184600,"룸인하우스 32mm 2단 행거, 화이트",17300,167220612,https://www.coupang.com/vp/products/167220612?itemId=478840732&vendorItemId=4201586745&sourceType=CATEGORY&categoryId=184500,True,23,4.5,1341.0,False,텐바이텐,0.0,"['사이즈: 180~245 x 75~135 cm', '재질: 철제', '색상계열: 화이트계열', '행거타입: 일반행거', '단 수: 2단', '쿠팡상품번호: 167220612 - 478840732']",[],826.0
