rank,category,name,price,product_id,baby_product_link,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,attribute_list,recommends_list
121,434951,"네이쳐리빙 논슬립 코팅 1단 바지걸이, 화이트, 30개입",16180,505336,https://www.coupang.com/vp/products/505336?itemId=5944408202&vendorItemId=73242370047&sourceType=CATEGORY&categoryId=434851,true,7,4.5,21713,False,,0,"['논슬립여부: 논슬립', '묶음 수량: 30개', '색상계열: 화이트계열', '종류: 바지/치마', '형태: 옷걸이형', '쿠팡상품번호: 505336 - 5944408202']",[]
122,434951,"클린라이프 고급 집게형 바지걸이, 블랙, 10개",11900,1761112043,https://www.coupang.com/vp/products/1761112043?itemId=2999486266&vendorItemId=70987741053&sourceType=CATEGORY&categoryId=434851,true,0,5.0,308,False,,0,"['색상계열: 블랙계열', '종류: 바지/치마', '재질: 플라스틱', '옷고리 회전여부: 옷고리 회전가능', '형태: 집게형', '쿠팡상품번호: 1761112043 - 2999486266']",[]
123,434951,"컬러 자석 고리후크 16mm, 블랙, 10개",6400,2129979682,https://www.coupang.com/vp/products/2129979682?itemId=3615070033&vendorItemId=74720116592&sourceType=CATEGORY&categoryId=434851,false,31,5.0,293,False,,0,['쿠팡상품번호: 2129979682 - 3615070033'],[]
124,434951,"주연화학 코모드 매직행거 회전형 옷걸이, 블랙+오렌지, 50개입",74770,1737338,https://www.coupang.com/vp/products/1737338?itemId=7579483&vendorItemId=75024754912&sourceType=CATEGORY&categoryId=434851,false,0,4.5,5914,False,,0,"['논슬립여부: 논슬립', '묶음 수량: 50개', '재질: 폴리프로필렌(PP)', '목늘어남 방지기능: 목늘어남 방지', '나시끈걸이 포함여부: 나시끈걸이 포함', '쿠팡상품번호: 1737338 - 7579483']",[]
125,434951,"네이쳐리빙 논슬립 코팅 1단 바지걸이, 네이비, 10개입",5900,505336,https://www.coupang.com/vp/products/505336?itemId=1492058&vendorItemId=3001601843&sourceType=CATEGORY&categoryId=434851,true,18,4.5,21713,False,네이쳐리빙,0,"['논슬립여부: 논슬립', '묶음 수량: 10개', '재질: PVC', '타이/목도리걸이 포함여부: 타이/목도리걸이 포함', '색상계열: 네이비계열', '쿠팡상품번호: 505336 - 1492058']",[]
126,434951,"데코즈인 하트논슬립 어린이옷걸이, 핑크, 30개",7150,185390834,https://www.coupang.com/vp/products/185390834?itemId=5878206&vendorItemId=3007534536&sourceType=CATEGORY&categoryId=434851,true,6,4.5,3926,False,,0,"['걸이 개수: 2개', '재질: 폴리프로필렌(PP)', '종류: 유아동의류', '논슬립여부: 논슬립', '색상계열: 핑크계열', '쿠팡상품번호: 185390834 - 5878206']",[]
127,434951,"톨스토이 베이비후드 유아 옷걸이, 블루, 10개",8280,105242202,https://www.coupang.com/vp/products/105242202?itemId=319014828&vendorItemId=3782628908&sourceType=CATEGORY&categoryId=434851,true,46,5.0,783,False,톨스토이,0,"['논슬립여부: 논슬립', '묶음 수량: 10개', '재질: 폴리프로필렌(PP)', '나시끈걸이 포함여부: 나시끈걸이 포함', '옷고리 회전여부: 옷고리 회전가능', '쿠팡상품번호: 105242202 - 319014828']",[]
128,434951,초강력 자석후크 10개 (현관마스크 냉장고 주방용품 등 다양하게 활용)(수입원 : 파머스드림),4540,2124258194,https://www.coupang.com/vp/products/2124258194?itemId=3604595512&vendorItemId=75252479250&sourceType=CATEGORY&categoryId=434851,false,0,4.5,278,False,,0,"['걸이 개수: 10', '형태: U자형', '재질: 강철/철제', '쿠팡상품번호: 2124258194 - 3604595512']",[]
129,434951,"TREE 프롬 모자걸이, 블랙, 1개",5850,288722872,https://www.coupang.com/vp/products/288722872?itemId=914276944&vendorItemId=5283307688&sourceType=CATEGORY&categoryId=434851,true,7,4.5,279,False,,0,['쿠팡상품번호: 288722872 - 914276944'],[]
130,434951,"네이쳐리빙 논슬립 코팅 1단 바지걸이, 그레이, 40개입",21570,505336,https://www.coupang.com/vp/products/505336?itemId=235447974&vendorItemId=3577024222&sourceType=CATEGORY&categoryId=434851,true,17,4.5,21713,False
