,from selenium import webdriver ,rank,category,name,price,product_id,baby_product_link,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,attribute_list,recommends_list,count
0,from selenium.webdriver.common.desired_capabilities import DesiredCapabilities,,,,,,,,,,,,,,,,
65,,1.0,434951.0,"코멧 코팅 논슬립 옷걸이, 그레이, 20개",9110.0,256738242.0,https://www.coupang.com/vp/products/256738242?itemId=806357796&vendorItemId=5049005600&sourceType=CATEGORY&categoryId=434851,True,0.0,5.0,6865.0,False,코멧,0.0,"['논슬립여부: 논슬립', '묶음 수량: 20개', '재질: PVC', '나시끈걸이 포함여부: 나시끈걸이 포함', '타이/목도리걸이 포함여부: 타이/목도리걸이 포함', '쿠팡상품번호: 256738242 - 806357796']",[],5045.0
66,,2.0,434951.0,"데코즈인 하트 논슬립 옷걸이, 그린, 오렌지, 100개",15890.0,143548748.0,https://www.coupang.com/vp/products/143548748?itemId=416910660&vendorItemId=3006849915&sourceType=CATEGORY&categoryId=434851,True,9.0,4.5,21536.0,False,,0.0,"['논슬립여부: 논슬립', '묶음 수량: 100개', '재질: 폴리프로필렌(PP)', '목늘어남 방지기능: 목늘어남 방지', '나시끈걸이 포함여부: 나시끈걸이 포함', '쿠팡상품번호: 143548748 - 416910660']",[],3868.0
67,,3.0,434951.0,"코멧 홈 논슬립 코팅 회전형 치마바지걸이, 20개입",12930.0,1500049935.0,https://www.coupang.com/vp/products/1500049935?itemId=2575884019&vendorItemId=70568169106&sourceType=CATEGORY&categoryId=434851,True,32.0,4.5,2128.0,False,코멧,0.0,"['논슬립여부: 논슬립', '묶음 수량: 20개', '재질: PVC', '옷고리 회전여부: 옷고리 회전가능', '색상계열: 실버계열', '쿠팡상품번호: 1500049935 - 2575884019']",[],2078.0
68,,4.0,434951.0,"네이쳐리빙 논슬립 코팅 1단 바지걸이, 네이비, 40개입",21570.0,505336.0,https://www.coupang.com/vp/products/505336?itemId=235447967&vendorItemId=3577024220&sourceType=CATEGORY&categoryId=434851,True,17.0,4.5,21713.0,False,네이쳐리빙,0.0,"['논슬립여부: 논슬립', '묶음 수량: 40개', '재질: PVC', '타이/목도리걸이 포함여부: 타이/목도리걸이 포함', '색상계열: 네이비계열', '쿠팡상품번호: 505336 - 235447967']",[],6308.0
69,,5.0,434951.0,"고리회전 논슬립 옷걸이, 화이트, 30개",7340.0,1444900970.0,https://www.coupang.com/vp/products/1444900970?itemId=2490045253&vendorItemId=70483261987&sourceType=CATEGORY&categoryId=434851,True,17.0,4.5,2585.0,False,,0.0,"['논슬립여부: 논슬립', '색상계열: 화이트계열', '종류: 셔츠/상의', '옷고리 회전여부: 옷고리 회전가능', '나시끈걸이 포함여부: 나시끈걸이 포함', '쿠팡상품번호: 1444900970 - 2490045253']",[],2537.0
70,,6.0,434951.0,"코멧 논슬립 바지걸이, 그레이, 40개입",18990.0,194490262.0,https://www.coupang.com/vp/products/194490262?itemId=557886053&vendorItemId=4465550438&sourceType=CATEGORY&categoryId=434851,True,26.0,5.0,2126.0,False,코멧,0.0,"['논슬립여부: 논슬립', '재질: PVC', '색상계열: 그레이계열', '종류: 바지/치마', '타이/목도리걸이 포함여부: 타이/목도리걸이 포함', '쿠팡상품번호: 194490262 - 557886053']",[],1586.0
71,,7.0,434951.0,"코멧 홈 벨벳 논슬립 옷걸이, 그레이, 50개입",14240.0,175597353.0,https://www.coupang.com/vp/products/175597353?itemId=502160302&vendorItemId=4281694688&sourceType=CATEGORY&categoryId=434851,True,35.0,4.5,2911.0,False,코멧,0.0,"['논슬립여부: 논슬립', '묶음 수량: 50개', '재질: 벨벳', '나시끈걸이 포함여부: 나시끈걸이 포함', '타이/목도리걸이 포함여부: 타이/목도리걸이 포함', '쿠팡상품번호: 175597353 - 502160302']",[],1388.0
72,,8.0,434951.0,"아임홈 리빙 논슬립 회전형 지니 옷걸이, 그레이, 50개입",19900.0,201024286.0,https://www.coupang.com/vp/products/201024286?itemId=585485546&vendorItemId=71681019729&sourceType=CATEGORY&categoryId=434851,False,0.0,4.5,2544.0,False,,0.0,"['논슬립여부: 논슬립', '묶음 수량: 50개', '재질: 플라스틱', '나시끈걸이 포함여부: 나시끈걸이 포함', '타이/목도리걸이 포함여부: 타이/목도리걸이 포함', '쿠팡상품번호: 201024286 - 585485546']",[],1983.0
74,,10.0,434951.0,"몬스터클리어후크 마스크 액자 모자 벽 후크, 5개",8730.0,2196705493.0,https://www.coupang.com/vp/products/2196705493?itemId=3737855609&vendorItemId=71723036014&sourceType=CATEGORY&categoryId=434851,True,0.0,5.0,238.0,False,,0.0,['쿠팡상품번호: 2196705493 - 3737855609'],[],241.0
