rank,category,name,price,product_id,baby_product_link,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,attribute_list,recommends_list
841,434945,"제이앤씨 지퍼형 수납박스 소, 그레이, 1개",10000,239144135,https://www.coupang.com/vp/products/239144135?itemId=760169176&vendorItemId=4917788475&sourceType=CATEGORY&categoryId=434845,true,0,4.5,18,False,제이앤씨,0,['쿠팡상품번호: 239144135 - 760169176'],[]
842,434945,"(2P세트)플라스틱 슬라이딩 리빙박스 수납정리함, 특대형2P, 슬라이딩_반투명",23900,1772560377,https://www.coupang.com/vp/products/1772560377?itemId=3018164471&vendorItemId=71006327517&sourceType=CATEGORY&categoryId=434845,false,8,5.0,5,False,이즈리빙,0,"['투명창여부: 옵션선택', '접이 가능여부: 적층보관 가능', '개폐방식: 뚜껑형', '재질: 플라스틱', '정리함 형태: 박스형', '쿠팡상품번호: 1772560377 - 3018164471']",[]
843,434945,"가쯔 큐브 공간박스 2p + 뚜껑 2p, 아이보리, 1세트",7850,22437200,https://www.coupang.com/vp/products/22437200?itemId=87107899&vendorItemId=3148460019&sourceType=CATEGORY&categoryId=434845,true,0,4.0,374,False,가쯔,0,"['개폐방식: 뚜껑식', '접이 가능여부: 접이식가능', '바퀴 유무: 바퀴없음', '재질: 부직포', '단 수: 1단', '쿠팡상품번호: 22437200 - 87107899']",[]
844,434945,"베이직 마이닝 리빙박스 120L, 베이지, 4개",44340,1774995585,https://www.coupang.com/vp/products/1774995585?itemId=3022483868&vendorItemId=71010629691&sourceType=CATEGORY&categoryId=434845,true,10,5.0,27,False,마이닝,0,"['개당 용량: 120L', '정리함 형태: 박스형', '개폐방식: 지퍼형', '투명 여부: 투명', '바퀴 유무: 바퀴없음', '쿠팡상품번호: 1774995585 - 3022483868']",[]
845,434945,"굿아이템 폴딩 리빙박스 65L 로우커버, 1개, 그레이옐로우",21900,1925127825,https://www.coupang.com/vp/products/1925127825?itemId=2462131389&vendorItemId=70918375146&sourceType=CATEGORY&categoryId=434845,true,0,4.5,56,False,,0,"['개당 용량: 65L', '접이 가능여부: 접이식가능', '쿠팡상품번호: 1925127825 - 2462131389']",[]
846,434945,"리벤스 접이식 슬라이딩 리빙 수납박스 대형, 아이보리, 2개",17900,1861708144,https://www.coupang.com/vp/products/1861708144?itemId=3164723762&vendorItemId=71086757874&sourceType=CATEGORY&categoryId=434845,false,0,4.5,34,False,리벤스,0,"['접이 가능여부: 접이식가능', '정리함 형태: 박스형', '개폐방식: 슬라이딩형', '투명 여부: 불투명', '바퀴 유무: 바퀴없음', '쿠팡상품번호: 1861708144 - 3164723762']",[]
847,434945,"창신리빙 내츄럴 화이트 스텝 수납박스 36cm 2호, 1개",39800,934742,https://www.coupang.com/vp/products/934742?itemId=3841077&vendorItemId=75476779078&sourceType=CATEGORY&categoryId=434845,false,0,4.0,24,False,창신리빙,0,"['바퀴 유무: 무', '가구 재질: 플라스틱', '용량: 36 x 45 x 25cm', '재질: 폴리프로필렌(PP)', '쿠팡상품번호: 934742 - 3841077']",[]
848,434945,"트리 칸칸 수납함 멀티 박스, 혼합 색상, 1개",3900,71383758,https://www.coupang.com/vp/products/71383758?itemId=238205209&vendorItemId=3585517275&sourceType=CATEGORY&categoryId=434845,true,58,4.5,8,False,,0,"['재질: 폴리프로필렌(PP)', '바퀴 유무: 바퀴없음', '쿠팡상품번호: 71383758 - 238205209']",[]
849,434945,"[바보사랑]위즈홈 옷정리 트레이 옷접는폴더 포함, 옷정리트레이20P(높은형)+옷접는폴더1P",26510,169479749,https://www.coupang.com/vp/products/169479749?itemId=484968866&vendorItemId=73231463733&sourceType=CATEGORY&categoryId=434845,false,0,4.0,15,False,바보사랑,0,"['접이 가능여부: 접이식가능', '쿠팡상품번호: 169479749 - 484968866']",[]
850,434945,"네이쳐리빙 모던데일 대용량 슬라이딩 리빙박스 46L, 베이지, 2개",18900,4976360676,https://www.coupang.com/vp/products/4976360676?itemId=6616545760&vendorItemId=73910441458&sourceType=CATEGORY&categoryId=434845,true,0,4.0,24,False,,0,"['개당 용량: 46000ml', '쿠팡상품번호: 4976360676 - 6616545760']",[]
