,rank,category,name,price,product_id,baby_product_link,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,attribute_list,recommends_list,count
0,1,434945,"코멧 홈 대용량 베이직 모던 옥스퍼드 리빙박스 100L, 그레이, 2개",17730,1201955371,https://www.coupang.com/vp/products/1201955371?itemId=2187129867&vendorItemId=70185128304&sourceType=CATEGORY&categoryId=434845,True,40,4.5,1510.0,False,코멧,0,"['개당 용량: 100L', '재질: 패브릭', '개폐방식: 지퍼식', '투명 여부: 투명', '접이 가능여부: 접이식가능', '쿠팡상품번호: 1201955371 - 2187129867']",[],1277.0
1,2,434945,"리벤스 대용량 베이직 리빙박스 100L, 그레이, 4개",34810,159760717,https://www.coupang.com/vp/products/159760717?itemId=770192534&vendorItemId=4944738930&sourceType=CATEGORY&categoryId=434845,True,28,4.5,3415.0,False,리벤스,0,"['개당 용량: 100L', '투명 여부: 투명', '접이 가능여부: 접이식가능', '바퀴 유무: 바퀴없음', '손잡이 여부: 손잡이 포함 (주키형)', '쿠팡상품번호: 159760717 - 770192534']",[],1476.0
2,3,434945,"코멧 홈 대용량 프리미엄 와이어 리빙박스 그레이, 100L, 2개입",20080,267023248,https://www.coupang.com/vp/products/267023248?itemId=836945907&vendorItemId=5130750964&sourceType=CATEGORY&categoryId=434845,True,38,5.0,1562.0,False,코멧,0,"['재질: 패브릭', '색상: 그레이', '개폐방식: 지퍼식', '투명 여부: 투명', '접이 가능여부: 접이식가능', '쿠팡상품번호: 267023248 - 836945907']",[],938.0
3,4,434945,"가쯔 마카롱리빙박스 72L, 라이트그레이, 2개입",17020,115609633,https://www.coupang.com/vp/products/115609633?itemId=346377980&vendorItemId=3846420127&sourceType=CATEGORY&categoryId=434845,True,1,4.5,3438.0,False,가쯔,0,"['개당 용량: 72L', '개폐방식: 뚜껑식', '투명 여부: 불투명', '바퀴 유무: 바퀴없음', '손잡이 여부: 미포함', '쿠팡상품번호: 115609633 - 346377980']",[],1598.0
4,5,434945,"보노하우스 모던 초대형 해피박스, 그레이, 2개입",12830,20929101,https://www.coupang.com/vp/products/20929101?itemId=81682842&vendorItemId=3139016447&sourceType=CATEGORY&categoryId=434845,True,50,4.5,2143.0,False,보노하우스,0,"['개폐방식: 뚜껑식', '바퀴 유무: 바퀴없음', '재질: 폴리프로필렌(PP)', '단 수: 1단', '손잡이 여부: 손잡이 포함 (주키형)', '쿠팡상품번호: 20929101 - 81682842']",[],888.0
5,6,434945,"조은리빙 프리미엄 디자인 패브릭 리빙박스 66L, 그레이, 2개",11900,1630360211,https://www.coupang.com/vp/products/1630360211?itemId=2780998946&vendorItemId=70770758645&sourceType=CATEGORY&categoryId=434845,True,48,4.5,695.0,False,조은리빙,0,"['개당 용량: 66L', '정리함 형태: 박스형', '개폐방식: 지퍼형', '투명 여부: 투명', '바퀴 유무: 바퀴없음', '쿠팡상품번호: 1630360211 - 2780998946']",[],699.0
6,7,434945,"코멕스 정리의 신 네오박스 60 6L, 혼합 색상, 2개입",9390,151494838,https://www.coupang.com/vp/products/151494838?itemId=437305854&vendorItemId=4080918125&sourceType=CATEGORY&categoryId=434845,True,46,4.5,1367.0,False,코멕스,0,"['개당 용량: 6L', '재질: 폴리프로필렌(PP)', '개폐방식: 뚜껑식', '투명 여부: 반투명', '투명창여부: 투명창', '쿠팡상품번호: 151494838 - 437305854']",[],595.0
7,8,434945,"코멧 홈 패브릭 리빙박스 66L, 그레이, 2개",11890,5151672730,https://www.coupang.com/vp/products/5151672730?itemId=7079465969&vendorItemId=74371460163&sourceType=CATEGORY&categoryId=434845,True,14,4.5,78.0,False,코멧,0,"['개당 용량: 66000ml', '재질: 패브릭', '쿠팡상품번호: 5151672730 - 7079465969']",[],78.0
8,9,434945,"코멕스 정리의 신 네오박스 80 8L, 혼합 색상, 2개입",11410,151495615,https://www.coupang.com/vp/products/151495615?itemId=437308268&vendorItemId=4080924826&sourceType=CATEGORY&categoryId=434845,True,37,4.5,1176.0,False,코멕스,0,"['개당 용량: 8L', '재질: 폴리프로필렌(PP)', '개폐방식: 뚜껑식', '투명 여부: 반투명', '접이 가능여부: 무', '쿠팡상품번호: 151495615 - 437308268']",[],614.0
9,10,434945,"조은리빙 이불정리함 리빙박스 112L + 이불압축팩 투명 대형, 네이비, 2세트",21900,66710105,https://www.coupang.com/vp/products/66710105?itemId=223999804&vendorItemId=3544139609&sourceType=CATEGORY&categoryId=434845,True,26,4.5,2548.0,False,조은리빙,0,"['정리함 형태: 박스형', '개폐방식: 지퍼형', '투명 여부: 투명', '바퀴 유무: 바퀴없음', '재질: 폴리에스터(PE)', '쿠팡상품번호: 66710105 - 223999804']",[],1094.0
