,rank,category,name,price,product_id,baby_product_link,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,attribute_list,recommends_list,count
0,1,184625,"오에이데스크 사각 테이블 소, 블랙",19410,51410182,https://www.coupang.com/vp/products/51410182?itemId=181967339&vendorItemId=3433393948&sourceType=CATEGORY&categoryId=184525,True,23,4.5,2314.0,False,,0,"['사이즈: 60 x 40 x 71 cm', '재질: 합성목재', '색상계열: 블랙계열', '가로길이: 60cm', '형태: 직사각형', '쿠팡상품번호: 51410182 - 181967339']",[],1142.0
1,2,184625,올리빙 원목 다용도 협탁 미니 테이블,17900,1704138952,https://www.coupang.com/vp/products/1704138952?itemId=2900029067&vendorItemId=70888992041&sourceType=CATEGORY&categoryId=184525,True,0,4.0,728.0,False,올리빙,0,['쿠팡상품번호: 1704138952 - 2900029067'],[],729.0
2,3,184625,"픽차 다용도 접이식 테이블, 블랙",37400,1321996501,https://www.coupang.com/vp/products/1321996501?itemId=2343330218&vendorItemId=70339896515&sourceType=CATEGORY&categoryId=184525,True,14,4.5,273.0,False,,0,['쿠팡상품번호: 1321996501 - 2343330218'],[],230.0
3,4,184625,"오에이데스크 소프트 테이블, 블랙",12090,51410172,https://www.coupang.com/vp/products/51410172?itemId=181967315&vendorItemId=3433393932&sourceType=CATEGORY&categoryId=184525,True,49,4.5,582.0,False,,0,"['사이즈: 52 x 37.5 x 66 cm', '재질: PVC', '색상계열: 블랙계열', '가로길이: 52cm', '형태: 직사각형', '쿠팡상품번호: 51410172 - 181967315']",[],330.0
4,5,184625,오에이데스크 접이식 사각 테이블 대 우드,18850,51410197,https://www.coupang.com/vp/products/51410197?itemId=181967355&vendorItemId=3433393955&sourceType=CATEGORY&categoryId=184525,True,45,4.5,2248.0,False,,0,"['사이즈: 80 x 50 x 71.5 cm', '재질: 합성목재', '색상계열: 베이지계열', '가로길이: 80cm', '형태: 직사각형', '쿠팡상품번호: 51410197 - 181967355']",[],1038.0
5,6,184625,"리빙힙 팬지 선반 테이블, 화이트",48200,180956877,https://www.coupang.com/vp/products/180956877?itemId=517961547&vendorItemId=4337168151&sourceType=CATEGORY&categoryId=184525,True,33,4.5,1195.0,False,리빙힙,0,"['사이즈: 90cm x 53cm x 32cm', '재질: 합성목재', '색상계열: 화이트계열', '가로길이: 90cm', '형태: 타원형', '쿠팡상품번호: 180956877 - 517961547']",[],402.0
6,7,184625,"오에이데스크 이동식 사이드테이블 소 OT211, 화이트우드",16970,88514401,https://www.coupang.com/vp/products/88514401?itemId=276968220&vendorItemId=3672256415&sourceType=CATEGORY&categoryId=184525,True,40,3.5,862.0,False,몽돌,0,"['사이즈: 60 x 40 x 68~94 cm', '재질: MDF', '색상계열: 베이지계열', '가로길이: 60cm', '형태: 직사각형', '쿠팡상품번호: 88514401 - 276968220']",[],463.0
7,8,184625,"샤바스 스칸디나 좌식 테이블 1200, 블랙프레임",32900,2166607826,https://www.coupang.com/vp/products/2166607826?itemId=3683571128&vendorItemId=71668906011&sourceType=CATEGORY&categoryId=184525,True,28,4.5,396.0,False,샤바스,0,['쿠팡상품번호: 2166607826 - 3683571128'],[],396.0
8,9,184625,"원목 강화유리 협탁, 내츄럴",21000,1357025287,https://www.coupang.com/vp/products/1357025287?itemId=2387627793&vendorItemId=70261020163&sourceType=CATEGORY&categoryId=184525,False,0,4.5,127.0,False,제이픽스,0,['쿠팡상품번호: 1357025287 - 2387627793'],[],128.0
10,11,184625,"IYES 이동식 원목 사이드 테이블 IY-306, 블랙",20150,1179844013,https://www.coupang.com/vp/products/1179844013?itemId=2159586274&vendorItemId=70157799793&sourceType=CATEGORY&categoryId=184525,True,0,4.5,281.0,False,,0,"['바퀴 유무: 바퀴있음', '쿠팡상품번호: 1179844013 - 2159586274']",[],270.0
