rank,category,name,price,product_id,baby_product_link,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,attribute_list,recommends_list
361,184577,"매직베드 5단 접이식 매트리스 침대 소파베드 두께8cm, 체크그레이",69900,4712711057,https://www.coupang.com/vp/products/4712711057?itemId=5948135892&vendorItemId=73246081509&sourceType=CATEGORY&categoryId=184477,false,0,4.0,11,False,,0,"['사이즈: 싱글', '쿠팡상품번호: 4712711057 - 5948135892']",[]
362,184577,센스맘 에어매트리스 투사이드 12cm 슈퍼싱글+바디,189000,5150546854,https://www.coupang.com/vp/products/5150546854?itemId=7077054528&vendorItemId=74634854452&sourceType=CATEGORY&categoryId=184477,false,0,5.0,1,False,,0,"['사이즈: 슈퍼싱글', '쿠팡상품번호: 5150546854 - 7077054528']",[]
363,184577,"바디럽 마약매트리스 바닥타입 + 겉커버, 아이보리",109000,266119046,https://www.coupang.com/vp/products/266119046?itemId=834166881&vendorItemId=5123726322&sourceType=CATEGORY&categoryId=184477,true,0,4.0,1004,False,바디럽,0,"['사이즈: 100 x 200 x 11 cm', '색상계열: 화이트계열', '두께: 11cm', '매트/토퍼 구성: 일체형 토퍼', '쿠팡상품번호: 266119046 - 834166881']",[]
364,184577,"쉬즈홈 플루 시어서커 토퍼, 그린",25220,107437737,https://www.coupang.com/vp/products/107437737?itemId=329597732&vendorItemId=3808425069&sourceType=CATEGORY&categoryId=184477,true,2,4.5,36,False,쉬즈홈,0,"['패턴/프린트: 플라워(꽃무늬)', '쿠팡상품번호: 107437737 - 329597732']",[]
365,184577,"[삼익가구]패스 접이식 토퍼 마약 매트리스 수면매트(슈퍼싱글), 그레이",52900,1331245066,https://www.coupang.com/vp/products/1331245066?itemId=2355659987&vendorItemId=70352124692&sourceType=CATEGORY&categoryId=184477,false,64,5.0,3,False,삼익가구,0,['쿠팡상품번호: 1331245066 - 2355659987'],[]
366,184577,"아지오텍스 몸이편한 메모리폼 토퍼 매트리스 7.5cm, 라벤더바이올렛",82070,2154387429,https://www.coupang.com/vp/products/2154387429?itemId=3659173265&vendorItemId=71644610270&sourceType=CATEGORY&categoryId=184477,true,0,4.5,6,False,,0,['쿠팡상품번호: 2154387429 - 3659173265'],[]
367,184577,뻬이보릿 떡실신 무중력 마약 매트리스,45900,4597244377,https://www.coupang.com/vp/products/4597244377?itemId=5665320538&vendorItemId=72964253711&sourceType=CATEGORY&categoryId=184477,false,0,4.5,11,False,,0,"['재질: 스펀지', '두께: 7cm', '색상계열: 블랙계열', '사이즈: 싱글', '매트/토퍼 구성: 분리형 토퍼', '쿠팡상품번호: 4597244377 - 5665320538']",[]
368,184577,"아토앤알로 뉴라인 항균 알러지케어 토퍼 겸 요, 그레이",47900,1955150315,https://www.coupang.com/vp/products/1955150315?itemId=3322303658&vendorItemId=71309167838&sourceType=CATEGORY&categoryId=184477,true,0,5.0,7,False,아토앤알로,0,"['특수기능: 항균기능', '쿠팡상품번호: 1955150315 - 3322303658']",[]
369,184577,"슬릭스 3단 메모리폼 접이식 매트리스 8cm, 스크래치블루",126900,4611640816,https://www.coupang.com/vp/products/4611640816?itemId=5701243355&vendorItemId=72978228885&sourceType=CATEGORY&categoryId=184477,true,0,4.5,33,False,슬릭스,0,"['사이즈: 싱글', '사이즈: 198*100*8', '커버/덮개: 커버/덮개 포함', '두께: 8cm', '색상계열: 블루계열', '쿠팡상품번호: 4611640816 - 5701243355']",[]
370,184577,"""한정"" 물세탁이필요없는 3단 P.U. 접이식 매트리스, 블루",32900,5117963310,https://www.coupang.com/vp/products/5117963310?itemId=6991635542&vendorItemId=74283926245&sourceType=CATEGORY&categoryId=184477,false,28,4.5,10,False,,0,['쿠팡상품번호: 5117963310 - 6991635542'],[]
371,184577,"이블랑 클라우드 워싱 토퍼, 아이보리",29940,1203789672,https://www.coupang.com/vp/products/1203789672?itemId=2189365955&vendorItemId=73428898100&sourceType=CATEGORY&categoryId=184477,true,8,4.0,9,False,이블랑,0,"['세탁방법: 세탁기사용가능', '두께: 5cm', '충전재: 폴리에스테르', '겉감재질: 폴리에스테르', '사이즈: 슈퍼싱글', '쿠팡상품번호: 1203789672 - 2189365955']",[]
