,rank,category,name,price,product_id,baby_product_link,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,attribute_list,recommends_list,count
0,1,184577,"더릭스홈 9존 마약매트리스 침대형 8cm + 폴리겉커버, 아이보리",64900,1441220196,https://www.coupang.com/vp/products/1441220196?itemId=2485135833&vendorItemId=70478395166&sourceType=CATEGORY&categoryId=184477,True,0,4.5,774.0,False,더릭스홈,0,"['커버/덮개: 커버 포함', '충전재: 폴리우레탄', '쿠팡상품번호: 1441220196 - 2485135833']",[],773.0
1,2,184577,미성침대 시그니처 본넬 스프링 침대 매트리스 싱글 슈퍼싱글 퀸,84000,1491130212,https://www.coupang.com/vp/products/1491130212?itemId=2559790951&vendorItemId=70552284904&sourceType=CATEGORY&categoryId=184477,False,53,4.5,813.0,False,,착불배송,"['두께: 23cm', '사이즈: 970*2000*230±20', '색상계열: 그레이계열', '경도: 미디엄', '쿠팡상품번호: 1491130212 - 2559790951']",[],793.0
2,3,184577,"더릭스홈 9존 마약매트리스 바닥형 12cm + 폴리겉커버, 차콜",86130,1441220273,https://www.coupang.com/vp/products/1441220273?itemId=2485135911&vendorItemId=70478395199&sourceType=CATEGORY&categoryId=184477,True,0,4.5,1153.0,False,더릭스홈,0,"['커버/덮개: 커버 포함', '충전재: 폴리우레탄', '쿠팡상품번호: 1441220273 - 2485135911']",[],1153.0
3,4,184577,"라뽐므 노르빅 토퍼 매트리스, 애쉬그레이",39800,2175044453,https://www.coupang.com/vp/products/2175044453?itemId=2459992967&vendorItemId=70453504788&sourceType=CATEGORY&categoryId=184477,True,0,4.5,1673.0,False,라뽐므,0,"['방수 여부: 미끄럼방지원단', '두께: 7cm', '세탁방법: 세탁기사용가능', '충전재: 폴리에스테르', '겉감재질: 폴리에스테르', '쿠팡상품번호: 2175044453 - 2459992967']",[],1650.0
4,5,184577,"코멧홈 워싱 플란넬 토퍼, 차콜그레이",30220,4739220211,https://www.coupang.com/vp/products/4739220211?itemId=6019836740&vendorItemId=73317507399&sourceType=CATEGORY&categoryId=184477,True,36,4.5,195.0,False,코멧,0,"['사이즈: 슈퍼싱글', '두께: 7cm', '겉감재질: 폴리에스테르', '충전재: 폴리에스테르', '모서리밴딩 여부: 모서리밴딩 포함', '쿠팡상품번호: 4739220211 - 6019836740']",[],195.0
5,6,184577,"타카타카 울트라파인화이바 더클라우딩 밴딩형토퍼, 네이비",29900,169683104,https://www.coupang.com/vp/products/169683104?itemId=484296306&vendorItemId=4219606776&sourceType=CATEGORY&categoryId=184477,True,11,4.5,1730.0,False,타카타카,0,"['패턴/프린트: 단색(무지)', '사이즈: 슈퍼싱글', '겉감재질: 폴리에스테르', '충전재: 폴리에스테르', '두께: 5cm', '쿠팡상품번호: 169683104 - 484296306']",[],1217.0
6,7,184577,"구르미 9존 프레쉬폼 접이식 매트리스, 그레이",38900,158048450,https://www.coupang.com/vp/products/158048450?itemId=454790724&vendorItemId=4126600970&sourceType=CATEGORY&categoryId=184477,False,41,4.5,1171.0,False,,0,"['두께: 8cm', '사이즈: 75x200x8cm', '색상계열: 그레이계열', '커버/덮개: 커버/덮개 포함', '매트/토퍼 구성: 분리형 토퍼', '쿠팡상품번호: 158048450 - 454790724']",[],698.0
7,8,184577,"리브맘 세븐존 매트리스 + 매트커버, 차콜",49800,21558624,https://www.coupang.com/vp/products/21558624?itemId=228640952&vendorItemId=3558596654&sourceType=CATEGORY&categoryId=184477,True,1,4.0,6148.0,False,리브맘,0,"['두께: 7cm', '사이즈: 슈퍼싱글(100 x 200 x 7 cm)', '겉감재질: 폴리에스테르', '충전재: 폴리우레탄', '쿠팡상품번호: 21558624 - 228640952']",[],1747.0
9,10,184577,R-2 텐셀 참숯 독립스프링매트리스,118000,102336253,https://www.coupang.com/vp/products/102336253?itemId=278037054&vendorItemId=3087740374&sourceType=CATEGORY&categoryId=184477,False,0,4.5,6860.0,False,,착불배송,"['사이즈: 970*2000', '두께: 210mm', '발통 포함여부: 발통미포함', '색상계열: 화이트/블루', '매트/토퍼 구성: 미포함', '쿠팡상품번호: 102336253 - 278037054']",[],1183.0
10,11,184577,"아임리빙 바이알러지 토퍼, 다크그레이",17900,230214564,https://www.coupang.com/vp/products/230214564?itemId=730092874&vendorItemId=4846276662&sourceType=CATEGORY&categoryId=184477,True,0,4.0,866.0,False,아임리빙,0,"['패턴/프린트: 단색(무지)', '사이즈: 슈퍼싱글', '두께: 5cm', '겉감재질: 폴리에스테르', '충전재: 폴리에스테르', '쿠팡상품번호: 230214564 - 730092874']",[],703.0
11,12,184577,베스트리빙 본넬스프링 롤팩매트리스,67000,29584661,https://www.coupang.com/vp/products/29584661?itemId=113173220&vendorItemId=3223113263&sourceType=CATEGORY&categoryId=184477,True,0,4.0,2146.0,False,베스트리빙,0,"['사이즈: 900 x 1900 mm', '두께: 135mm', '색상계열: 화이트계열', '매트/토퍼 구성: 미포함', '쿠팡상품번호: 29584661 - 113173220']",[],559.0
12,13,184577,"퀵슬립 V3메모리폼 슬림 매트리스 토퍼, 아이보리",113520,293171078,https://www.coupang.com/vp/products/293171078?itemId=925837392&vendorItemId=5301270790&sourceType=CATEGORY&categoryId=184477,True,54,5.0,1070.0,False,퀵슬립,0,"['두께: 10cm', '사이즈: 100 x 200 x 10 cm', '색상계열: 화이트계열', '커버/덮개: 커버/덮개 일체형', '매트/토퍼 구성: 분리형 토퍼', '쿠팡상품번호: 293171078 - 925837392']",[],921.0
13,14,184577,삼익가구 로얄 익스클루시브 유로탑 매트리스 방문설치,272590,1829494046,https://www.coupang.com/vp/products/1829494046?itemId=3112224362&vendorItemId=71099969717&sourceType=CATEGORY&categoryId=184477,True,8,4.5,334.0,False,삼익가구,0,"['설치지원방식: 방문설치', '두께: 300mm', '매트/토퍼 구성: 일체형 토퍼', '쿠팡상품번호: 1829494046 - 3112224362']",[],334.0
14,15,184577,"로미홈 9존 마약매트리스 바닥형 12cm, 멜란지차콜",59800,1777183939,https://www.coupang.com/vp/products/1777183939?itemId=3026251939&vendorItemId=71014362669&sourceType=CATEGORY&categoryId=184477,True,20,4.5,228.0,False,로미홈,0,"['두께: 12cm', '사이즈: 멀티싱글(75x200x12)', '색상계열: 그레이계열', '커버/덮개: 커버/덮개 포함', '겉감재질: 폴리에스테르', '쿠팡상품번호: 1777183939 - 3026251939']",[],149.0
16,17,184577,블루밍홈 스탠다드 롤링매트리스,69900,29824343,https://www.coupang.com/vp/products/29824343?itemId=70929591&vendorItemId=4026574795&sourceType=CATEGORY&categoryId=184477,True,10,4.5,1580.0,False,블루밍홈,0,"['사이즈: 90 x 190 x 15 cm', '두께: 15cm', '발통 포함여부: 발통미포함', '색상계열: 화이트계열', '매트/토퍼 구성: 미포함', '쿠팡상품번호: 29824343 - 70929591']",[],499.0
17,18,184577,"자몬스 마약 매트리스 매트릭스 토퍼 접이식 바닥, 싱글 침대형(7cm)+분홍색겉커버+방수속커버",89000,1458940666,https://www.coupang.com/vp/products/1458940666?itemId=2510573218&vendorItemId=74468281067&sourceType=CATEGORY&categoryId=184477,False,31,4.0,895.0,False,,0,"['두께: 7cm', '사이즈: 100 x 200', '색상계열: 분홍색', '사이즈: 싱글', '매트/토퍼 구성: 분리형 토퍼', '쿠팡상품번호: 1458940666 - 2510573218']",[],651.0
18,19,184577,"완소간소 기절 마약매트리스 바닥 토퍼 수면매트 침대 매트리스, 그레이",39900,190450038,https://www.coupang.com/vp/products/190450038?itemId=544350320&vendorItemId=4425651369&sourceType=CATEGORY&categoryId=184477,False,0,4.5,254.0,False,,0,"['재질: 스펀지', '사이즈: 75 x 200 x 6(cm)', '색상계열: 그레이계열', '두께: 6cm', '접이 가능여부: 접이식가능', '쿠팡상품번호: 190450038 - 544350320']",[],133.0
20,21,184577,지누스 클래식라인 메모리폼 매트리스 20cm,179000,1096195659,https://www.coupang.com/vp/products/1096195659?itemId=2151875148&vendorItemId=70150170726&sourceType=CATEGORY&categoryId=184477,True,20,4.5,403.0,False,지누스,0,"['두께: 20cm', '매트/토퍼 구성: 일체형 토퍼', '쿠팡상품번호: 1096195659 - 2151875148']",[],341.0
21,22,184577,"[무료배송][2개입] 토퍼 매트리스 요가 매트 보관 버클 스트랩, 투톤그레이, 1.5미터",8900,4971268827,https://www.coupang.com/vp/products/4971268827?itemId=6600335661&vendorItemId=71579411898&sourceType=CATEGORY&categoryId=184477,False,31,5.0,99.0,False,,0,['쿠팡상품번호: 4971268827 - 6600335661'],[],99.0
22,23,184577,블루밍홈 프리미엄 롤링매트리스,99900,29824344,https://www.coupang.com/vp/products/29824344?itemId=114004246&vendorItemId=3225985484&sourceType=CATEGORY&categoryId=184477,True,3,4.5,878.0,False,블루밍홈,0,"['사이즈: 90 x 190 x 23 cm', '두께: 23cm', '발통 포함여부: 발통미포함', '색상계열: 화이트계열', '매트/토퍼 구성: 미포함', '쿠팡상품번호: 29824344 - 114004246']",[],267.0
25,26,184577,"에코스마트 벨라 메모리폼 토퍼, 키네틱 블루",38700,1471389199,https://www.coupang.com/vp/products/1471389199?itemId=2529379944&vendorItemId=70522164729&sourceType=CATEGORY&categoryId=184477,True,0,4.5,128.0,False,,0,"['겉감재질: 폴리에스테르', '충전재: 폴리우레탄', '쿠팡상품번호: 1471389199 - 2529379944']",[],127.0
26,27,184577,"[쿠팡 직수입] 그랜레스트 발칸 3단 접이식 메모리폼 토퍼 10cm, 화이트",139000,5275321421,https://www.coupang.com/vp/products/5275321421?itemId=7530101769&vendorItemId=74821642881&sourceType=CATEGORY&categoryId=184477,True,14,5.0,48.0,False,,0,"['설치지원방식: 자가설치', '두께: 100mm', '접이 가능여부: 접이식가능', '쿠팡상품번호: 5275321421 - 7530101769']",[],48.0
