,rank,category,name,price,product_id,baby_product_link,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,attribute_list,recommends_list,count
0,1,184780,"지퍼니처 사각 플라스틱 간이의자, 그레이, 1p",2590,4238882,https://www.coupang.com/vp/products/4238882?itemId=20358063&vendorItemId=3029778415&sourceType=CATEGORY&categoryId=184680,False,0,4.5,1719.0,False,지퍼니처,"2,500","['재질: 플라스틱', '색상계열: 그레이계열', '바퀴 유무: 바퀴없음', '소파/의자 소재: 플라스틱', '등받이 유무: 등받이없음', '쿠팡상품번호: 4238882 - 20358063']",[],492.0
1,2,184780,"까사마루 자작나무 우든 롤 테이블 대형, 오크",66360,4758531543,https://www.coupang.com/vp/products/4758531543?itemId=6061274772&vendorItemId=73358214134&sourceType=CATEGORY&categoryId=184680,True,13,4.0,69.0,False,까사마루,0,['쿠팡상품번호: 4758531543 - 6061274772'],[],69.0
2,3,184780,"지오리빙 플라스틱 라탄 의자, 사각(브라운)",4590,236997139,https://www.coupang.com/vp/products/236997139?itemId=751294883&vendorItemId=4897525235&sourceType=CATEGORY&categoryId=184680,False,0,4.5,428.0,False,,0,"['책상/PC용 의자종류: 야외/캠핑용의자', '소파/의자 소재: 플라스틱', '등받이 유무: 등받이없음', '의자접이식여부: 비접이식', '색상계열: 브라운계열', '쿠팡상품번호: 236997139 - 751294883']",[],302.0
3,4,184780,"상도가구 아웃인 접이식 브로몰딩 야외 테이블 1500, 우드브라운",47770,68522331,https://www.coupang.com/vp/products/68522331?itemId=228687912&vendorItemId=3558718589&sourceType=CATEGORY&categoryId=184680,True,28,4.5,173.0,False,상도가구,0,"['접이 가능여부: 접이식가능', '쿠팡상품번호: 68522331 - 228687912']",[],100.0
4,5,184780,"투에이산업 수정 사각의자, 블루",7260,77719712,https://www.coupang.com/vp/products/77719712?itemId=251258128&vendorItemId=3612326066&sourceType=CATEGORY&categoryId=184680,True,0,4.5,621.0,False,,0,"['소파/의자 소재: 플라스틱', '등받이 유무: 등받이없음', '의자접이식여부: 비접이식', '색상계열: 블루계열', '팔걸이 유무: 팔걸이없음', '쿠팡상품번호: 77719712 - 251258128']",[],213.0
5,6,184780,"투에이산업 수정 회전의자, 레드",7700,77719726,https://www.coupang.com/vp/products/77719726?itemId=251258146&vendorItemId=3612326077&sourceType=CATEGORY&categoryId=184680,True,0,4.5,244.0,False,,0,"['회전가능여부: 회전가능', '소파/의자 소재: 플라스틱', '등받이 유무: 등받이없음', '의자접이식여부: 비접이식', '색상계열: 레드계열', '쿠팡상품번호: 77719726 - 251258146']",[],89.0
6,7,184780,"피크닉 폴딩 테이블, 베이지",15000,2079892397,https://www.coupang.com/vp/products/2079892397?itemId=3533390384&vendorItemId=71519412089&sourceType=CATEGORY&categoryId=184680,True,16,4.5,13.0,False,,0,"['접이 가능여부: 접이식가능', '쿠팡상품번호: 2079892397 - 3533390384']",[],13.0
7,8,184780,"엉클트리 야외 테이블 야외용 탁자 세트 정원 마당 파라솔 별매, 일체형 야외테이블 4인용 무도색",130000,1872510719,https://www.coupang.com/vp/products/1872510719?itemId=3182477529&vendorItemId=71169932279&sourceType=CATEGORY&categoryId=184680,False,0,4.0,54.0,False,,착불배송,['쿠팡상품번호: 1872510719 - 3182477529'],[],54.0
8,9,184780,"오에이데스크 프리미엄 브로몰딩 테이블 1800 접이식, 브라운",56000,51410409,https://www.coupang.com/vp/products/51410409?itemId=181967810&vendorItemId=3433394050&sourceType=CATEGORY&categoryId=184680,True,40,4.5,287.0,False,,0,"['구성품: 본품', '사이즈: 180 x 76 x 74 cm', '재질: 플라스틱', '색상계열: 브라운계열', '가로길이: 180cm', '쿠팡상품번호: 51410409 - 181967810']",[],119.0
9,10,184780,"지퍼니처 접이식 플라스틱 테이블, 사각(그레이)",26900,18613163,https://www.coupang.com/vp/products/18613163?itemId=74751011&vendorItemId=5372590027&sourceType=CATEGORY&categoryId=184680,False,0,4.5,239.0,False,지퍼니처,0,"['재질: 플라스틱+철제', '사이즈: 74 x 74 x 71cm', '접이 가능여부: 접이식가능', '색상계열: 그레이계열', '사용인원: 4인용', '쿠팡상품번호: 18613163 - 74751011']",[],88.0
