rank,category,name,price,product_id,baby_product_link,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,attribute_list,recommends_list
961,184670,[자체제작] 신사임당 초충도 8폭 미니병풍 (소) #외국인 선물,28640,4919544967,https://www.coupang.com/vp/products/4919544967?itemId=6444171129&vendorItemId=73738474358&sourceType=CATEGORY&categoryId=184570,false,0,,,False,,0,['쿠팡상품번호: 4919544967 - 6444171129'],[]
962,184670,"레트로하우스 틴우드 유리 철제파티션 600 (스탠드), 블랙",74000,298365461,https://www.coupang.com/vp/products/298365461?itemId=939550651&vendorItemId=5324864785&sourceType=CATEGORY&categoryId=184570,false,47,5.0,7,False,레트로하우스,착불배송,['쿠팡상품번호: 298365461 - 939550651'],[]
963,184670,"철재이동형병원칸막이 업소용파티션 1단 철재이동형병원칸막이, 연청",118800,166494380,https://www.coupang.com/vp/products/166494380?itemId=476898024&vendorItemId=4350948402&sourceType=CATEGORY&categoryId=184570,false,0,5.0,1,False,,0,['쿠팡상품번호: 166494380 - 476898024'],[]
964,184670,"디모토 웨인스 미니 3단 원목 파티션 칸막이 인테리어 (스카이그레이), 스카이그레이",95000,1063547009,https://www.coupang.com/vp/products/1063547009?itemId=2009236109&vendorItemId=70009072409&sourceType=CATEGORY&categoryId=184570,false,0,5.0,1,False,,"10,000",['쿠팡상품번호: 1063547009 - 2009236109'],[]
965,184670,"리빙텍스 홀딩도어 자바라 D타입, 17.홀딩 D-이중 대나무, 개폐방식-1.편개",1050,9550366,https://www.coupang.com/vp/products/9550366?itemId=42036470&vendorItemId=3064950004&sourceType=CATEGORY&categoryId=184570,false,0,4.5,70,False,리빙텍스,0,"['사이즈: 맞춤제작', '재질: PVC플라스틱', '폭수: 맞춤제작', '쿠팡상품번호: 9550366 - 42036470']",[]
966,184670,"카페 인테리어 일러스트 미니멀 고양이 북유럽 패브릭 침실 파티션 패브릭 이동식 가벽 셀프 원룸 공간분리 파티션, 핑크 80*180",60800,5069128858,https://www.coupang.com/vp/products/5069128858?itemId=6857038848&vendorItemId=75559980774&sourceType=CATEGORY&categoryId=184570,false,0,,,False,,0,['쿠팡상품번호: 5069128858 - 6857038848'],[]
967,184670,"DGM * DGM!가림막 디귿자 아크릴 칸막이 1인용oh35120 DO77_33, 1인용 디귿자",49230,4866764221,https://www.coupang.com/vp/products/4866764221?itemId=6318469370&vendorItemId=73613928166&sourceType=CATEGORY&categoryId=184570,false,0,,,False,,0,['쿠팡상품번호: 4866764221 - 6318469370'],[]
968,184670,"세광 우브 6단 파티션 가벽 26종 (양면 디자인), AS-9",159000,1930079817,https://www.coupang.com/vp/products/1930079817?itemId=3276606600&vendorItemId=71263602999&sourceType=CATEGORY&categoryId=184570,false,66,5.0,1,False,우브,"19,000",['쿠팡상품번호: 1930079817 - 3276606600'],[]
969,184670,"에스엔케이/45T/PVC/사무실파티션/콤비 파티션 H1200, W900XH1200/PN727",55000,1220426288,https://www.coupang.com/vp/products/1220426288?itemId=2211119769&vendorItemId=70208917716&sourceType=CATEGORY&categoryId=184570,false,0,,,False,,0,['쿠팡상품번호: 1220426288 - 2211119769'],[]
970,184670,"우드레이 가벽인테리어 현관 셀프 파티션 간격좁음, 블랙/화이트/메이플/브라운 292mm",99900,1234488661,https://www.coupang.com/vp/products/1234488661?itemId=2228755112&vendorItemId=70226382976&sourceType=CATEGORY&categoryId=184570,false,0,4.5,16,False,우드레이,0,['쿠팡상품번호: 1234488661 - 2228755112'],[]
971,184670,"철제 나무 파티션 낮은 수납장 카페 미용실 셀프인테리어 가벽 사무실 원룸공간분리 만들기, 길이 60 폭 25 높이 80의 3 층",81200,2076424041,https://www.coupang.com/vp/products/2076424041?itemId=3527993737&vendorItemId=71514044704&sourceType=CATEGORY&categoryId=184570,false,62,,,False,,0,['쿠팡상품번호: 2076424041 - 3527993737'],[]
972,184670,아크릴 가림막 식당 학교 관공서 칸막이 400x400 3T,13500,5190000361,https://www.coupang.com/vp/products/5190000361?itemId=7203197536&vendorItemId=74494829862&sourceType=CATEGORY&categoryId=184570,false,0,,,False,,"4,000",['쿠팡상품번호: 5190000361 - 7203197536'],[]
973,184670,"레트로하우스 틴우드 타공판 철제파티션 1200 (하프), 블랙",74000,298365483,https://www.coupang.com/vp/products/298365483?itemId=939550882&vendorItemId=5324864874&sourceType=CATEGORY&categoryId=184570,false,58,4.0,4,False,레트로하우스,착불배송,['쿠팡상품번호: 298365483 - 939550882'],[]
974,184670,"아이베란다 라취 원목파티션, 900x1800mm(지지대별도)",116700,101379366,https://www.coupang.com/vp/products/101379366?itemId=309073334&vendorItemId=3761425121&sourceType=CATEGORY&categoryId=184570,false,0,5.0,2,False,,"6,000",['쿠팡상품번호: 101379366 - 309073334'],[]
