rank,category,name,price,product_id,baby_product_link,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,attribute_list,recommends_list
721,184624,"작은거실꾸미기 가죽 소파 왼쪽 및 오른쪽 기능 단일 의자 현대 미니멀 가죽 예술 22, 개인, 길조 블루 M5554 전기",700300,5353756962,https://www.coupang.com/vp/products/5353756962?itemId=7880700513&vendorItemId=75170227848&sourceType=CATEGORY&categoryId=184524,false,56,,,False,,0,['쿠팡상품번호: 5353756962 - 7880700513'],[]
722,184624,"하다맘 마사지 접이식 신기 가정용 가능 꺾다 H 겹치다 비닐 플라스틱 추가, 블루 접이식",43000,5512774308,https://www.coupang.com/vp/products/5512774308?itemId=8598331903&vendorItemId=75885582318&sourceType=CATEGORY&categoryId=184524,false,44,,,False,,0,['쿠팡상품번호: 5512774308 - 8598331903'],[]
723,184624,"캠핑 좌식 의자 쇼파 리클라이너 허리의자 방석, O48-8단빅사이즈삼베공작그린",45400,5221872630,https://www.coupang.com/vp/products/5221872630?itemId=7328883973&vendorItemId=74620146536&sourceType=CATEGORY&categoryId=184524,false,45,,,False,,0,['쿠팡상품번호: 5221872630 - 7328883973'],[]
724,184624,"리클라이너의자 휴대용의자 기모바지 두께접이식 심플 휴대 플라스틱 의자 높은의자 가정용접이식 스툴 작은원형 작은의자, T10-겹쳐서보관가능 둥근의자 컬러 구매 메모",37500,5522571577,https://www.coupang.com/vp/products/5522571577?itemId=8642326960&vendorItemId=75929548402&sourceType=CATEGORY&categoryId=184524,false,0,,,False,,"7,000",['쿠팡상품번호: 5522571577 - 8642326960'],[]
725,184624,"1인용 리클라이너 접이식 쇼파 다이닝 디자인 패브릭 베드 소파, P",207800,4926221135,https://www.coupang.com/vp/products/4926221135?itemId=6465104678&vendorItemId=73759537499&sourceType=CATEGORY&categoryId=184524,false,36,,,False,,0,['쿠팡상품번호: 4926221135 - 6465104678'],[]
726,184624,"접이식 1인용 리클라이너 카우치 등받이 푹신한 좌식 안락 의자 원룸 숙소 쇼파 소파, U",44200,5044038343,https://www.coupang.com/vp/products/5044038343?itemId=6792958174&vendorItemId=74085672164&sourceType=CATEGORY&categoryId=184524,false,59,,,False,,0,['쿠팡상품번호: 5044038343 - 6792958174'],[]
727,184624,"1인용리클라이너 소파 1인의자 소형 평형 침실 및 지급식 모래 주머니의 날 자취생 자 개, 25 플래그+카키",94700,5526025526,https://www.coupang.com/vp/products/5526025526?itemId=8657400538&vendorItemId=75944585716&sourceType=CATEGORY&categoryId=184524,false,0,,,False,,0,['쿠팡상품번호: 5526025526 - 8657400538'],[]
728,184624,"리클라이너의자 여름 접이식 레저 대나무의자 비치 등받이 실외 야외의자 노인 가정용 브레이크타임 낮잠 베란다 등나무의자, T28-두께강화(럭셔리타입)밀보리",55000,5485853672,https://www.coupang.com/vp/products/5485853672?itemId=8477988161&vendorItemId=75765525797&sourceType=CATEGORY&categoryId=184524,false,0,,,False,,"7,000",['쿠팡상품번호: 5485853672 - 8477988161'],[]
729,184624,"리클라이너의자 접이식침대 싱글 낮잠 사무실 누울수있는의자 의자가정용 성인 심플 간편한휴대 행군침대 사계절, T14-178그레이(업그레이드 힘든 옥스포드)사은품+온",68700,5522785597,https://www.coupang.com/vp/products/5522785597?itemId=8643551444&vendorItemId=75930770455&sourceType=CATEGORY&categoryId=184524,false,0,,,False,,"7,000",['쿠팡상품번호: 5522785597 - 8643551444'],[]
730,184624,"카푸 낚시 캠핑에 좋은 무중력의자 시리즈 접이식의자, 1개",59900,28623193,https://www.coupang.com/vp/products/28623193?itemId=109844585&vendorItemId=3214198437&sourceType=CATEGORY&categoryId=184524,false,0,4.5,2,False,카푸,0,"['주간/야간: 주간용', '쿠팡상품번호: 28623193 - 109844585']",[]
731,184624,"리클라이너쇼파 1인용쇼파 2인용쇼파 맞춤 제작하다 풋치료 소파 전동 족욕 벤치 풋요법, 05 커피색(수동형) 벨보아 원단",493000,5581232151,https://www.coupang.com/vp/products/5581232151?itemId=8919956130&vendorItemId=76206543616&sourceType=CATEGORY&categoryId=184524,false,0,,,False,,0,['쿠팡상품번호: 5581232151 - 8919956130'],[]
732,184624,"1인 소파 리클라이너 릴렉스 체어 흔들 무중력 의자, 다크 그린",187000,4622877209,https://www.coupang.com/vp/products/4622877209?itemId=5732488682&vendorItemId=73031210588&sourceType=CATEGORY&categoryId=184524,false,0,,,False,,0,['쿠팡상품번호: 4622877209 - 5732488682'],[]
733,184624,"리클라이너의자 h캐주얼 누울수있는의자 침대위 등받이의자 대학생 기숙사 침실 컴퓨터의자 접이식의자 휴식의자 기대기 j, T08-각관 에메랄드 코튼펄 매트",72600,1974837343,https://www.coupang.com/vp/products/1974837343?itemId=3358863907&vendorItemId=71345611026&sourceType=CATEGORY&categoryId=184524,false,0,,,False,,0,['쿠팡상품번호: 1974837343 - 3358863907'],[]
734,184624,"리클라이너의자 공장 도매 누울수있는의자 접이식 브레이크타임 대나무의자 베란다 가정용 레저 노인 낮잠 매직기기 휴대용 편리한, T17-보강한 하드락 의자(방석)",137300,5522899517,https://www.coupang.com/vp/products/5522899517?itemId=8644167423&vendorItemId=75931386197&sourceType=CATEGORY&categoryId=184524,false,0,,,False,,"7,000",['쿠팡상품번호: 5522899517 - 8644167423'],[]
735,184624,"1인용 수동리클라이너 모듈형 스윙쇼파 전문매장 달팽이 의자 거실 북유럽 가정용 침대 간, 01 주황색 가죽[금색 받침대]",991100,4826934831,https://www.coupang.com/vp/products/4826934831?itemId=6224405177&vendorItemId=73827941404&sourceType=CATEGORY&categoryId=184524,false,0,,,False,,0,['쿠팡상품번호: 4826934831 - 6224405177'],[]
736,184624,"접이식 리클라이너 라꾸라꾸 나혼자산다 심플 간편 편안한 폴딩 의자 오늘의집 영화 조절가능, I 접이식리클라이너 + 쿠션",120900,5329074360,https://www.coupang.com/vp/products/5329074360?itemId=7773153198&vendorItemId=75063205048&sourceType=CATEGORY&categoryId=184524,false,44,,,False,,0,['쿠팡상품번호: 5329074360 - 7773153198'],[]
737,184624,"리클라이너의자 다용도 브레이크타임 접이식침대 싱글 가정용 사무실 심플 휴대용 낮잠 성인 간호 행군침대 누울수있는의자, T07-지존 맞춤제작타입(블랙레드 개+네이비체크 두꺼운",165500,5576573732,https://www.coupang.com/vp/products/5576573732?itemId=8899900671&vendorItemId=76186529688&sourceType=CATEGORY&categoryId=184524,false,0,,,False,,"7,000",['쿠팡상품번호: 5576573732 - 8899900671'],[]
738,184624,"흔들의자 1인용리클라이너 발코니에서 낮잠 접고 캐주얼 의자 메쉬 슬립온 스캐너 성인용 눕, 20 비취그린+그레이면매트",341050,4680457079,https://www.coupang.com/vp/products/4680457079?itemId=5865243987&vendorItemId=73163456348&sourceType=CATEGORY&categoryId=184524,false,0,,,False,,0,['쿠팡상품번호: 4680457079 - 5865243987'],[]
739,184624,"푹신한리클라이너소파 페브릭 가죽 눕체 독신 1인 싱글 리클라이너의자 110, 두꺼운 사각 관 4 단 조절 카키 수납 봉투 포함",174700,5369175593,https://www.coupang.com/vp/products/5369175593?itemId=7942856339&vendorItemId=75232014178&sourceType=CATEGORY&categoryId=184524,false,43,,,False,,0,['쿠팡상품번호: 5369175593 - 7942856339'],[]
740,184624,"리클라이너 의자 1인용 소파베드 1인리클라이너 사무용 침대 1인용 침대 접이식 의자 사무용 간이 의자 등받이 점심 휴식 성인 침대 다공, 옵션08",111280,4527612448,https://www.coupang.com/vp/products/4527612448?itemId=5465741110&vendorItemId=72765511106&sourceType=CATEGORY&categoryId=184524,false,0,,,False,,0,['쿠팡상품번호: 4527612448 - 5465741110'],[]
741,184624,"퍼터 T전용 족욕 전동 모터 승강 원격조종 핸들스틱 침대 콘솔모니터 전기, 다섯 바늘 핸들스틱",26700,5444464725,https://www.coupang.com/vp/products/5444464725?itemId=8286466980&vendorItemId=75574380109&sourceType=CATEGORY&categoryId=184524,false,37,,,False,,0,['쿠팡상품번호: 5444464725 - 8286466980'],[]
742,184624,"로로스키니 1인용 리클라이너 의자 좁은 거실 침실 호텔 소파 패브릭 쇼파 북유럽 럭셔리 체어 모유 수유 임산부 릴렉스 안락 회전의자, 라이트그레이",178000,1625694414,https://www.coupang.com/vp/products/1625694414?itemId=2773477850&vendorItemId=70763292307&sourceType=CATEGORY&categoryId=184524,false,22,2.0,2,False,로로스키니,0,['쿠팡상품번호: 1625694414 - 2773477850'],[]
743,184624,"흔들 소파 의자 1인 리클라이너 쇼파 가죽 이카보온 흔들의자 성인 낮잠자는 이의자 실목, 31 오리지널 호두 테키니사 블루",449500,5381442456,https://www.coupang.com/vp/products/5381442456?itemId=7995235513&vendorItemId=75284068495&sourceType=CATEGORY&categoryId=184524,false,0,,,False,,0,['쿠팡상품번호: 5381442456 - 7995235513'],[]
744,184624,"야근 간병인 리클라이너 침대 발코니 가정용 캐주얼 선탠 백사장의자 접이식 낮잠자리 슬립온, 03 컴포트 버전 [포장은 사계절 모두 좋아",177800,4625926249,https://www.coupang.com/vp/products/4625926249?itemId=5738809614&vendorItemId=73037495714&sourceType=CATEGORY&categoryId=184524,false,0,,,False,,0,['쿠팡상품번호: 4625926249 - 5738809614'],[]
745,184624,"네일아트 발마사지 소파 싱글 발을담그다 잠을 자다 페디큐어 갑만들다 발미세탁 발의자 족욕, 레드 핑크 수동 모델이다 직 손잡이",201400,4514542278,https://www.coupang.com/vp/products/4514542278?itemId=5435442134&vendorItemId=72735316197&sourceType=CATEGORY&categoryId=184524,false,37,,,False,,0,['쿠팡상품번호: 4514542278 - 5435442134'],[]
746,184624,"인테의자 접이식 소파 등받이 1인용 의자 발코니 레저 윈도우 의자, 08 코튼 마 소파 베이지(밴드 받침대)",274800,5574886462,https://www.coupang.com/vp/products/5574886462?itemId=8891148090&vendorItemId=76177793055&sourceType=CATEGORY&categoryId=184524,false,0,,,False,,"9,800",['쿠팡상품번호: 5574886462 - 8891148090'],[]
747,184624,"소파 의자 리클라이너 1인 가죽 윙체어 쇼파 랜디 러너 침실 숙소 1인용 대학생 집서 책, 07 멜란지 그레이",188740,4647391089,https://www.coupang.com/vp/products/4647391089?itemId=5789280328&vendorItemId=75284917857&sourceType=CATEGORY&categoryId=184524,false,0,,,False,,0,['쿠팡상품번호: 4647391089 - 5789280328'],[]
748,184624,"등받이 접이식 1인용 좌식 의자 리클라이너 소파베드 패브릭 쇼파, 딥 커피 + 페달",142000,4733270484,https://www.coupang.com/vp/products/4733270484?itemId=6003012582&vendorItemId=75520309848&sourceType=CATEGORY&categoryId=184524,false,5,,,False,,0,['쿠팡상품번호: 4733270484 - 6003012582'],[]
749,184624,"1인용 리클라이너 쇼파 휴식의자 사무실 가정용 레저 베란다 태양의자 게으른 사람 등받이의, 17 일반 그레이",137500,5064357238,https://www.coupang.com/vp/products/5064357238?itemId=6843130284&vendorItemId=74136959903&sourceType=CATEGORY&categoryId=184524,false,0,,,False,,0,['쿠팡상품번호: 5064357238 - 6843130284'],[]
750,184624,"1인용리클라이너 소파 1인의자 자취생 다다미 침실 1인용 의자 침대 등받이 발코니로 캐주, 27 실버",69800,5526021151,https://www.coupang.com/vp/products/5526021151?itemId=8657380204&vendorItemId=75944565637&sourceType=CATEGORY&categoryId=184524,false,0,,,False,,0,['쿠팡상품번호: 5526021151 - 8657380204'],[]
751,184624,"1인 꿀잠의자 전동 리클라이너 소파 원룸꾸미기 발 마사지 침대 네일샵 발치료 i 욕실 누, 15 퍼플 수동형",1504800,4771459670,https://www.coupang.com/vp/products/4771459670?itemId=6090818322&vendorItemId=73482461752&sourceType=CATEGORY&categoryId=184524,false,0,,,False,,0,['쿠팡상품번호: 4771459670 - 6090818322'],[]
752,184624,"리클라이너의자 심플 이동 변기 좌변 임산부 화장실 접이식 변기의자 스툴의자 노인 의자, T01-무늬색상 28cm무늬색상 접이식",38100,4385015186,https://www.coupang.com/vp/products/4385015186?itemId=5190387955&vendorItemId=75925310967&sourceType=CATEGORY&categoryId=184524,false,0,,,False,,"7,000",['쿠팡상품번호: 4385015186 - 5190387955'],[]
753,184624,"1인용 리클라이너 각도조절 탈부착 인테리어 소파 다다미 1인 소형 침실, 01 햇빛이 누렇다",398800,5297770897,https://www.coupang.com/vp/products/5297770897?itemId=7639013412&vendorItemId=74929450731&sourceType=CATEGORY&categoryId=184524,false,0,,,False,,0,['쿠팡상품번호: 5297770897 - 7639013412'],[]
754,184624,"안락한 컴퓨터 소파의자 릴렉스 수유 1인용리클라이너 허리디스크 맞춤 제작하다, 19 감색",259500,4550305005,https://www.coupang.com/vp/products/4550305005?itemId=5522570807&vendorItemId=72969076719&sourceType=CATEGORY&categoryId=184524,false,0,,,False,,0,['쿠팡상품번호: 4550305005 - 5522570807'],[]
755,184624,"1인용 리클라이너 쇼파 생활가 접이식 눕방 사무실 점심 의자 _35, 10 겨울 스타일의 중국 빨간색.",114500,5069623383,https://www.coupang.com/vp/products/5069623383?itemId=6858215808&vendorItemId=74150859829&sourceType=CATEGORY&categoryId=184524,false,0,,,False,,0,['쿠팡상품번호: 5069623383 - 6858215808'],[]
