,rank,category,name,price,product_id,baby_product_link,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,attribute_list,recommends_list,count
0,1,184616,"아이이피 디지털 미니금고 i3000, BLACK",21510,274178565,https://www.coupang.com/vp/products/274178565?itemId=865038423&vendorItemId=70800416153&sourceType=CATEGORY&categoryId=184516,True,1,4.5,711.0,False,아이이피,0,['쿠팡상품번호: 274178565 - 865038423'],[],502.0
1,2,184616,"디지털 안전 금고 17, 블랙",20070,51410419,https://www.coupang.com/vp/products/51410419?itemId=181967822&vendorItemId=3433394056&sourceType=CATEGORY&categoryId=184516,True,41,4.5,817.0,False,,0,"['사이즈: 17 x 23 x 17 cm', '중량: 2.7kg', '금고잠금방식: 디지털+아날로그', '색상계열: 블랙계열', '경보기 유무: 경보기있음', '쿠팡상품번호: 51410419 - 181967822']",[],346.0
2,3,184616,귀여운 도둑고양이 저금통,14000,231643117,https://www.coupang.com/vp/products/231643117?itemId=734827965&vendorItemId=70718865429&sourceType=CATEGORY&categoryId=184516,False,0,4.0,666.0,False,,0,['쿠팡상품번호: 231643117 - 734827965'],[],102.0
3,4,184616,"엘르시 푸쉬타입 카운터 금고 CS-300E, 블랙",33080,1639401542,https://www.coupang.com/vp/products/1639401542?itemId=2795713461&vendorItemId=70850906576&sourceType=CATEGORY&categoryId=184516,True,5,4.5,89.0,False,,0,['쿠팡상품번호: 1639401542 - 2795713461'],[],89.0
5,6,184616,"오에이데스크 디지털 충격 감지 안전 금고 50, 블랙",91500,51410456,https://www.coupang.com/vp/products/51410456?itemId=181967872&vendorItemId=3433394085&sourceType=CATEGORY&categoryId=184516,True,37,4.0,318.0,False,,0,"['사이즈: 35 x 30 x 50 cm', '중량: 14.8kg', '금고잠금방식: 디지털+아날로그', '색상계열: 블랙계열', '경보기 유무: 경보기있음', '쿠팡상품번호: 51410456 - 181967872']",[],112.0
7,8,184616,"아리코 비밀 책 딕셔너리열쇠형 금고, 블랙",9380,2352634,https://www.coupang.com/vp/products/2352634?itemId=10813730&vendorItemId=3016184235&sourceType=CATEGORY&categoryId=184516,True,54,4.0,244.0,False,아리코,0,"['금고잠금방식: 열쇠/자물쇠', '색상계열: 블랙계열', '쿠팡상품번호: 2352634 - 10813730']",[],123.0
8,9,184616,"디프로매트 콤비 가정용 미니 금고 Combi5, 티타늄블랙",147790,295988579,https://www.coupang.com/vp/products/295988579?itemId=952815920&vendorItemId=70211448205&sourceType=CATEGORY&categoryId=184516,False,8,4.5,41.0,False,디프로매트,0,"['블랙박스 포함여부: 블랙박스미포함', '지문인식가능: 불가', '경보기 유무: 경보기없음', '색상계열: 블랙계열', '금고잠금방식: 디지털방식', '쿠팡상품번호: 295988579 - 952815920']",[],38.0
9,10,184616,범일금고 슬라이딩형 C-305,46100,524121,https://www.coupang.com/vp/products/524121?itemId=1578389&vendorItemId=3051066183&sourceType=CATEGORY&categoryId=184516,False,0,4.5,240.0,False,범일금고,0,"['사이즈: 330 x 400 x 160mm', '금고잠금방식: 다이얼방식', '색상계열: 그레이계열', '형태: 미닫이형', '쿠팡상품번호: 524121 - 1578389']",[],39.0
10,11,184616,"선일금고 디지털 내화금고 ESV200 63kg, 레드",267800,11673651,https://www.coupang.com/vp/products/11673651?itemId=8680324&vendorItemId=70800146870&sourceType=CATEGORY&categoryId=184516,False,16,4.5,490.0,False,선일금고,0,"['내화금고무게: 63kg', '사이즈: 536x410x445mm', '색상계열: 레드계열', '중량: 63kg', '금고잠금방식: 디지털방식', '쿠팡상품번호: 11673651 - 8680324']",[],164.0
11,12,184616,"민스리빙 책금고 미니금고 소형 비밀금고 휴대용 금고, 책금고(대형:암호형)네이비",11490,132692268,https://www.coupang.com/vp/products/132692268?itemId=390209634&vendorItemId=70791688609&sourceType=CATEGORY&categoryId=184516,False,0,4.5,195.0,False,민스리빙,0,"['금고잠금방식: 다이얼방식', '사이즈: 대형 26.5 X 20 X 6.5 약990g', '인테리어 컨셉: 모던/심플', '쿠팡상품번호: 132692268 - 390209634']",[],109.0
12,13,184616,"아이이피 지문인식 소형 미니금고 i3500FP, 블랙",79800,2310857745,https://www.coupang.com/vp/products/2310857745?itemId=3985438684&vendorItemId=71982331753&sourceType=CATEGORY&categoryId=184516,False,0,4.5,80.0,False,아이이피,0,"['지문인식가능: 지문인식 가능', '쿠팡상품번호: 2310857745 - 3985438684']",[],80.0
13,14,184616,"베스트데코 스틸 미니 열쇠 타입 금고 대, 화이트",16020,1499468283,https://www.coupang.com/vp/products/1499468283?itemId=2574949566&vendorItemId=70567253196&sourceType=CATEGORY&categoryId=184516,True,1,4.5,51.0,False,베스트데코,0,['쿠팡상품번호: 1499468283 - 2574949566'],[],43.0
14,15,184616,"빅드림 북세이프 비밀금고, 랜덤 발송",11010,1689412,https://www.coupang.com/vp/products/1689412?itemId=7357679&vendorItemId=3009909374&sourceType=CATEGORY&categoryId=184516,True,31,4.5,291.0,False,빅드림,0,"['사이즈: 245 x 55 x 155 mm', '단수: 1단', '금고잠금방식: 열쇠/자물쇠', '쿠팡상품번호: 1689412 - 7357679']",[],50.0
15,16,184616,"범일금고 다이얼식 슬라이딩 금고 C-305R, 적색",37700,5341221639,https://www.coupang.com/vp/products/5341221639?itemId=7829523208&vendorItemId=75119357509&sourceType=CATEGORY&categoryId=184516,True,6,4.5,322.0,False,범일금고,0,"['금고잠금방식: 다이얼방식', '설치지원방식: 자가설치', '사이즈: H 150 x W 330 x D 390 cm', '색상계열: 레드계열', '쿠팡상품번호: 5341221639 - 7829523208']",[],62.0
16,17,184616,"아이이피 지문인식 음성지원 스마트금고 i3800FP, 블랙",165540,1246320099,https://www.coupang.com/vp/products/1246320099?itemId=2243760628&vendorItemId=70263739297&sourceType=CATEGORY&categoryId=184516,False,7,4.5,38.0,False,아이이피,0,['쿠팡상품번호: 1246320099 - 2243760628'],[],37.0
17,18,184616,"히든템 비밀 미니 책금고 소, 블랙",5430,4804905023,https://www.coupang.com/vp/products/4804905023?itemId=6173130670&vendorItemId=73469188926&sourceType=CATEGORY&categoryId=184516,True,3,4.5,23.0,False,히든템,0,['쿠팡상품번호: 4804905023 - 6173130670'],[],23.0
18,19,184616,"엘르시 푸쉬타입 카운터 금고 CS-3538E, 아이보리 화이트",36690,1639413498,https://www.coupang.com/vp/products/1639413498?itemId=2795727750&vendorItemId=70850906645&sourceType=CATEGORY&categoryId=184516,True,6,4.0,16.0,False,,0,['쿠팡상품번호: 1639413498 - 2795727750'],[],16.0
19,20,184616,"2단 미니 카운터 금고 CASH-300, 메탈블랙",99000,36233222,https://www.coupang.com/vp/products/36233222?itemId=134201649&vendorItemId=74999712032&sourceType=CATEGORY&categoryId=184516,False,38,4.5,138.0,False,,0,"['인테리어 컨셉: 모던/심플', '쿠팡상품번호: 36233222 - 134201649']",[],39.0
20,21,184616,"예일 미니금고 YSV/170/D, 핑크",59000,53678633,https://www.coupang.com/vp/products/53678633?itemId=188164476&vendorItemId=3447594711&sourceType=CATEGORY&categoryId=184516,True,0,4.5,104.0,False,예일,0,"['사이즈: 170 x 230 x 170 mm', '중량: 4.6kg', '금고잠금방식: 디지털+아날로그', '색상계열: 핑크계열', '경보기 유무: 경보기없음', '쿠팡상품번호: 53678633 - 188164476']",[],56.0
21,22,184616,"(내부설치배송)디프로매트금고 NEW 580AT 아트디자인 터치스크린 디지털 강력 내화금고 가정용금고 사무용금고 내화인증 경보기장착 서랍1 선반1, MD(몬드리안구성)",298000,5347779896,https://www.coupang.com/vp/products/5347779896?itemId=7856968641&vendorItemId=75146627508&sourceType=CATEGORY&categoryId=184516,False,30,5.0,4.0,False,디프로매트,0,"['인테리어 컨셉: 북유럽', '경보기 유무: 경보기있음', '색상계열: 멀티(혼합)컬러', '금고잠금방식: 디지털방식', '중량: 58', '쿠팡상품번호: 5347779896 - 7856968641']",[],4.0
22,23,184616,"오에이데스크 디지털 충격 감지 안전 금고 20, 블랙",34510,51410430,https://www.coupang.com/vp/products/51410430?itemId=181967836&vendorItemId=3433394068&sourceType=CATEGORY&categoryId=184516,True,34,4.0,189.0,False,,0,"['사이즈: 20 x 31 x 20 cm', '중량: 4.4kg', '금고잠금방식: 디지털+아날로그', '색상계열: 블랙계열', '경보기 유무: 경보기있음', '쿠팡상품번호: 51410430 - 181967836']",[],43.0
23,24,184616,"엘르시 터치식 사무용 가정용 금고 ELS-450P, 화이트",144530,2280768442,https://www.coupang.com/vp/products/2280768442?itemId=3916931790&vendorItemId=71901474095&sourceType=CATEGORY&categoryId=184516,True,5,4.0,19.0,False,엘르시,0,"['지문인식가능: 지문인식 불가능', '쿠팡상품번호: 2280768442 - 3916931790']",[],19.0
25,26,184616,"금전함 소형돈통 돈통 포스돈통 카운터금고 개업선물 캐쉬박스 포스돈통 전자금고, 가로33.5CMx세로36.6CMx폭8CM, 블랙",35000,4594867826,https://www.coupang.com/vp/products/4594867826?itemId=5658313613&vendorItemId=72957274188&sourceType=CATEGORY&categoryId=184516,False,0,5.0,6.0,False,,"2,800",['쿠팡상품번호: 4594867826 - 5658313613'],[],6.0
26,27,184616,"오에이데스크 디지털 충격 감지 안전 금고 25, 블랙",34510,51410440,https://www.coupang.com/vp/products/51410440?itemId=181967850&vendorItemId=3433394072&sourceType=CATEGORY&categoryId=184516,True,55,4.0,83.0,False,,0,"['사이즈: 25 x 35 x 25 cm', '중량: 6.7kg', '금고잠금방식: 디지털+아날로그', '색상계열: 블랙계열', '경보기 유무: 경보기있음', '쿠팡상품번호: 51410440 - 181967850']",[],31.0
27,28,184616,"부자오빠 자물쇠 소형금고 미니돈통 수납함, 돈통(소형)_레드",9800,305553091,https://www.coupang.com/vp/products/305553091?itemId=962974953&vendorItemId=5521494602&sourceType=CATEGORY&categoryId=184516,False,0,4.0,16.0,False,부자오빠,0,['쿠팡상품번호: 305553091 - 962974953'],[],6.0
28,29,184616,"빅드림 북세이프 휴대용 책금고 다이얼타입 특대, 에펠탑",11770,2082517609,https://www.coupang.com/vp/products/2082517609?itemId=3537598229&vendorItemId=71523591867&sourceType=CATEGORY&categoryId=184516,True,6,4.5,50.0,False,빅드림,0,['쿠팡상품번호: 2082517609 - 3537598229'],[],45.0
31,32,184616,"엘르시 터치금고 ELS-350H, 블랙",98500,1366126476,https://www.coupang.com/vp/products/1366126476?itemId=2398223873&vendorItemId=70393263482&sourceType=CATEGORY&categoryId=184516,True,0,4.5,48.0,False,엘르시,0,"['지문인식가능: 지문인식 불가능', '쿠팡상품번호: 1366126476 - 2398223873']",[],40.0
32,33,184616,"선일 수제금고 SC-2000 돈통 캐시박스 카운터금고 데스크금고, 골드",55500,205876439,https://www.coupang.com/vp/products/205876439?itemId=606698580&vendorItemId=4592550571&sourceType=CATEGORY&categoryId=184516,False,0,4.5,19.0,False,,"4,000",['쿠팡상품번호: 205876439 - 606698580'],[],14.0
35,36,184616,"디지털 지폐투입구 안전 금고 17D, 블랙",24270,51410424,https://www.coupang.com/vp/products/51410424?itemId=181967830&vendorItemId=3433394066&sourceType=CATEGORY&categoryId=184516,True,37,4.5,601.0,False,,0,"['사이즈: 17 x 23 x 17 cm', '중량: 2.7kg', '금고잠금방식: 디지털+아날로그', '색상계열: 블랙계열', '경보기 유무: 경보기있음', '쿠팡상품번호: 51410424 - 181967830']",[],187.0
36,37,184616,"스토리빙 비밀 책금고 대, 블루",9430,4615886622,https://www.coupang.com/vp/products/4615886622?itemId=5713328815&vendorItemId=73012101837&sourceType=CATEGORY&categoryId=184516,True,0,4.0,21.0,False,,0,['쿠팡상품번호: 4615886622 - 5713328815'],[],21.0
37,38,184616,"선일금고 가정용금고 YES-031D, 블랙",243200,14551323,https://www.coupang.com/vp/products/14551323?itemId=184053163&vendorItemId=73803886487&sourceType=CATEGORY&categoryId=184516,False,15,5.0,254.0,False,선일금고,0,"['사이즈: 536*410*445', '중량: 63kg', '금고잠금방식: 디지털방식', '색상계열: 블랙계열', '경보기 유무: 경보기있음', '쿠팡상품번호: 14551323 - 184053163']",[],189.0
38,39,184616,"디프로매트금고 소형금고 미니금고 가정용금고 사무용금고 개인보관함 비밀금고 개업선물, P101-메탈릭실버",54900,16414829,https://www.coupang.com/vp/products/16414829?itemId=66870279&vendorItemId=73824260337&sourceType=CATEGORY&categoryId=184516,False,19,4.5,96.0,False,,0,"['금고잠금방식: 디지털방식', '사이즈: H200 x W310 x D200mm', '지문인식가능: 지문인식불가', '색상계열: 블랙계열', '중량: 8kg', '쿠팡상품번호: 16414829 - 66870279']",[],24.0
39,40,184616,"유니언잭 북세이프 비밀금고 특대, 혼합 색상, 1개",13150,6617398,https://www.coupang.com/vp/products/6617398?itemId=29368728&vendorItemId=3043648887&sourceType=CATEGORY&categoryId=184516,True,26,4.5,71.0,False,빅드림,0,"['금고잠금방식: 열쇠/자물쇠', '쿠팡상품번호: 6617398 - 29368728']",[],34.0
40,41,184616,"(직접설치배송)디프로매트 가정용 매직터치 개인 내화 강력보안금고 아이스텔라 S500, 2층이상(엘리베이터O), 블랙",395000,5079696226,https://www.coupang.com/vp/products/5079696226?itemId=6889784302&vendorItemId=74182323869&sourceType=CATEGORY&categoryId=184516,False,35,5.0,3.0,False,,0,"['인테리어 컨셉: 모던/심플', '경보기 유무: 있음', '금고잠금방식: 디지털방식', '중량: 60kg', '사이즈: 522 x 404 x 470 (mm)', '쿠팡상품번호: 5079696226 - 6889784302']",[],3.0
41,42,184616,"디프로매트 크리스탈 가정용 내화금고 K400, 다크 그레이",173500,335739623,https://www.coupang.com/vp/products/335739623?itemId=1071275752&vendorItemId=74513092197&sourceType=CATEGORY&categoryId=184516,False,29,5.0,1.0,False,디프로매트,"30,000",['쿠팡상품번호: 335739623 - 1071275752'],[],1.0
42,43,184616,"[BSM BUMIL] 금전통 EC-350/금고/POS포스돈통/전자식, 단품",47900,71692378,https://www.coupang.com/vp/products/71692378?itemId=239054412&vendorItemId=3588627841&sourceType=CATEGORY&categoryId=184516,False,0,4.5,6.0,False,,0,['쿠팡상품번호: 71692378 - 239054412'],[],5.0
43,44,184616,"루셀 터치스크린 내화금고 63kg IS-500 방문설치 + 건전지 6p, 네이비",489990,2070936157,https://www.coupang.com/vp/products/2070936157?itemId=3518708393&vendorItemId=71504810051&sourceType=CATEGORY&categoryId=184516,True,0,4.0,7.0,False,루셀,0,"['설치지원방식: 방문설치', '쿠팡상품번호: 2070936157 - 3518708393']",[],7.0
44,45,184616,"홈트너 누보세이프 소형 미니 스마트 지문 인식 금고, 블랙",173260,1441264126,https://www.coupang.com/vp/products/1441264126?itemId=2485176752&vendorItemId=74278220996&sourceType=CATEGORY&categoryId=184516,False,0,4.5,62.0,False,홈트너,0,"['지문인식가능: 지문인식 가능', '쿠팡상품번호: 1441264126 - 2485176752']",[],52.0
46,47,184616,"비밀 책 금고 비밀번호 대형, 블랙",9430,4590283537,https://www.coupang.com/vp/products/4590283537?itemId=5642722373&vendorItemId=72941736282&sourceType=CATEGORY&categoryId=184516,True,0,4.5,11.0,False,히든템,0,['쿠팡상품번호: 4590283537 - 5642722373'],[],11.0
49,50,184616,"스토리빙 비밀 책금고 중, 블루",7430,4615886898,https://www.coupang.com/vp/products/4615886898?itemId=5713329706&vendorItemId=73012102080&sourceType=CATEGORY&categoryId=184516,True,2,4.0,9.0,False,히든템,0,['쿠팡상품번호: 4615886898 - 5713329706'],[],9.0
51,52,184616,"[K&J 금고] 카운터금고 포스겸용금고 수제금고 모음, C-330 포스겸용_레드",38800,4319762181,https://www.coupang.com/vp/products/4319762181?itemId=5025817023&vendorItemId=71188573597&sourceType=CATEGORY&categoryId=184516,False,28,4.5,15.0,False,,"2,700",['쿠팡상품번호: 4319762181 - 5025817023'],[],12.0
