,rank,category,name,price,product_id,baby_product_link,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,attribute_list,recommends_list,count
0,1,184615,올리빙 원목 다용도 협탁 미니 테이블,17900,1704138952,https://www.coupang.com/vp/products/1704138952?itemId=2900029067&vendorItemId=70888992041&sourceType=CATEGORY&categoryId=184515,True,0,4.0,728.0,False,올리빙,0,['쿠팡상품번호: 1704138952 - 2900029067'],[],729.0
1,2,184615,"원목 강화유리 협탁, 내츄럴",21000,1357025287,https://www.coupang.com/vp/products/1357025287?itemId=2387627793&vendorItemId=70261020163&sourceType=CATEGORY&categoryId=184515,False,0,4.5,127.0,False,제이픽스,0,['쿠팡상품번호: 1357025287 - 2387627793'],[],127.0
2,3,184615,"제이디퍼니처 고급 2단 협탁 서랍형, 메이플화이트",23900,1010910,https://www.coupang.com/vp/products/1010910?itemId=4254080&vendorItemId=3008471627&sourceType=CATEGORY&categoryId=184515,True,0,4.5,2070.0,False,제이디퍼니처,0,"['사이즈: 400 x 370 x 424 mm', '재질: 합성목재', '가구자재등급: E1', '색상계열: 베이지계열', '가로길이: 400mm', '쿠팡상품번호: 1010910 - 4254080']",[],469.0
3,4,184615,원목 협탁 테이블,16900,1744876464,https://www.coupang.com/vp/products/1744876464?itemId=2971039181&vendorItemId=70959453535&sourceType=CATEGORY&categoryId=184515,True,0,4.5,223.0,False,,0,['쿠팡상품번호: 1744876464 - 2971039181'],[],223.0
4,5,184615,"제이디퍼니처 로미 발통형 3단 협탁, 메이플 + 화이트",26000,1486599,https://www.coupang.com/vp/products/1486599?itemId=31611294&vendorItemId=3008471608&sourceType=CATEGORY&categoryId=184515,True,0,4.0,985.0,False,제이디퍼니처,0,"['사이즈: 400 x 370 x 480 mm', '재질: 합성목재', '가구자재등급: E1', '색상계열: 화이트계열', '가로길이: 400mm', '쿠팡상품번호: 1486599 - 31611294']",[],259.0
5,6,184615,"이케아 크나레비크 침대 협탁, 블랙",17500,1847029457,https://www.coupang.com/vp/products/1847029457?itemId=3139790764&vendorItemId=71127427896&sourceType=CATEGORY&categoryId=184515,True,0,4.5,99.0,False,이케아,0,['쿠팡상품번호: 1847029457 - 3139790764'],[],97.0
6,7,184615,"제이디퍼니처 로미 3단 서랍형 협탁, 아카시아화이트",22900,1486595,https://www.coupang.com/vp/products/1486595?itemId=6498577&vendorItemId=3008471583&sourceType=CATEGORY&categoryId=184515,True,0,4.0,3054.0,False,제이디퍼니처,0,"['사이즈: 400 x 370 x 445mm', '재질: 합성목재', '색상계열: 멀티(혼합)컬러', '가로길이: 400mm', '단 수: 3단', '쿠팡상품번호: 1486595 - 6498577']",[],718.0
7,8,184615,"핸즈퍼니쳐 리치 2단 협탁, 화이트",17700,9646663,https://www.coupang.com/vp/products/9646663?itemId=42607785&vendorItemId=3066157939&sourceType=CATEGORY&categoryId=184515,True,0,4.0,768.0,False,핸즈퍼니쳐,0,"['사이즈: 400 x 400 x 300 mm', '재질: 합성목재', '가구자재등급: E1', '색상계열: 화이트계열', '가로길이: 400mm', '쿠팡상품번호: 9646663 - 42607785']",[],296.0
8,9,184615,"비오니 사이드테이블 미니탁자 침대협탁 간이테이블 인테리어 집꾸미기 수납탁자, 화이트",13800,4947567765,https://www.coupang.com/vp/products/4947567765?itemId=6529492017&vendorItemId=73823938029&sourceType=CATEGORY&categoryId=184515,False,1,4.0,23.0,False,,"3,000",['쿠팡상품번호: 4947567765 - 6529492017'],[],23.0
9,10,184615,"코시나 데일리 원목 미니 협탁, 네추럴우드",23900,1795680583,https://www.coupang.com/vp/products/1795680583?itemId=3054907618&vendorItemId=73099184248&sourceType=CATEGORY&categoryId=184515,False,0,4.5,128.0,False,코시나,0,['쿠팡상품번호: 1795680583 - 3054907618'],[],128.0
