rank,category,name,price,product_id,baby_product_link,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,attribute_list,recommends_list
601,184623,"캠핑 휴대용 에어소파 1인용 보관파우치포함빈백 바람의자 캠핑소파 성유리소파 에어쇼파 바람소파, 레드",12100,5527294794,https://www.coupang.com/vp/products/5527294794?itemId=8662506729&vendorItemId=75949686388&sourceType=CATEGORY&categoryId=184523,false,0,,,False,,0,['쿠팡상품번호: 5527294794 - 8662506729'],[]
602,184623,"블루밍홈 제프쇼파 세트 모듈형 1인용~3인용 소파 구성, 02. 센터 퍼플핑크",69000,1150067609,https://www.coupang.com/vp/products/1150067609?itemId=2123891889&vendorItemId=70122472807&sourceType=CATEGORY&categoryId=184523,false,0,5.0,1,False,블루밍홈,"16,000","['인테리어 컨셉: 모던/심플', '사용인원: 3인용', '재질: 패브릭', '쿠팡상품번호: 1150067609 - 2123891889']",[]
603,184623,"앨런빌 브라이언 소파 스툴, 크림베이지",57000,112859221,https://www.coupang.com/vp/products/112859221?itemId=878435310&vendorItemId=5215892428&sourceType=CATEGORY&categoryId=184523,false,35,4.0,48,False,,착불배송,['쿠팡상품번호: 112859221 - 878435310'],[]
604,184623,"밸런스가구 앙팡 카푸치노 3인용 좌식 카우치 쇼파, 앙팡 올리브그린A형",229000,161403192,https://www.coupang.com/vp/products/161403192?itemId=839733434&vendorItemId=5137531718&sourceType=CATEGORY&categoryId=184523,false,0,4.5,3,False,밸런스가구,착불배송,"['스툴 유무: 스툴 없음', '소파 폭(깊이): 900cm', '사용인원: 3인용', '가로길이: 185cm', '색상계열: 그린계열', '쿠팡상품번호: 161403192 - 839733434']",[]
605,184623,"리바트 브루트 4인 가죽소파 헤드틸팅형 (2색 중 택1), 그레이",981840,1652468745,https://www.coupang.com/vp/products/1652468745?itemId=2815469408&vendorItemId=70804990899&sourceType=CATEGORY&categoryId=184523,false,28,,,False,리바트,0,['쿠팡상품번호: 1652468745 - 2815469408'],[]
606,184623,"심플 벨벳 소파 네일샵 헤어샵 대기실 인테리어 거실 쇼파 1인 2인 3인 북유럽, 그레이 + 2인",81300,5197016090,https://www.coupang.com/vp/products/5197016090?itemId=7233443989&vendorItemId=74800550710&sourceType=CATEGORY&categoryId=184523,false,0,,,False,,"50,000",['쿠팡상품번호: 5197016090 - 7233443989'],[]
607,184623,"자코모 로벨 4인 기능성 이태리 통가죽 천연면피 소가죽 소파, 유로그레이",2695000,160507781,https://www.coupang.com/vp/products/160507781?itemId=460831060&vendorItemId=4977166026&sourceType=CATEGORY&categoryId=184523,false,2,,,False,자코모,0,['쿠팡상품번호: 160507781 - 460831060'],[]
608,184623,"아리아퍼니쳐 Nima 2인 인조가죽 소파 그린, 본품",161400,5227676057,https://www.coupang.com/vp/products/5227676057?itemId=7350116478&vendorItemId=74641309514&sourceType=CATEGORY&categoryId=184523,false,44,,,False,,착불배송,['쿠팡상품번호: 5227676057 - 7350116478'],[]
609,184623,"서광퍼니처 블랑 CL라텍스 3인 소파세트, 그레이/왼팔/PVC다리",162750,4961572580,https://www.coupang.com/vp/products/4961572580?itemId=6573100090&vendorItemId=73867126061&sourceType=CATEGORY&categoryId=184523,false,7,1.0,1,False,,0,['쿠팡상품번호: 4961572580 - 6573100090'],[]
610,184623,"[오스본가구] 퓨리 2인용 아쿠아텍스 패브릭소파, 1) 스툴미포함, 아쿠아블루",219000,5238923687,https://www.coupang.com/vp/products/5238923687?itemId=7394249868&vendorItemId=74685290439&sourceType=CATEGORY&categoryId=184523,false,0,,,False,오스본가구,착불배송,"['소파/의자 소재: 패브릭', '스툴 유무: 스툴없음', '쿠팡상품번호: 5238923687 - 7394249868']",[]
611,184623,"에보니아 [에보니아]모네 소파 인조/패브릭 2인 쇼파, PU인조가죽 그레이",75060,2375161180,https://www.coupang.com/vp/products/2375161180?itemId=4137950246&vendorItemId=72121860464&sourceType=CATEGORY&categoryId=184523,false,3,5.0,1,False,에보니아,착불배송,['쿠팡상품번호: 2375161180 - 4137950246'],[]
612,184623,"인텍스 에어소파 1인용소파 발판포함, 01_ 인텍스 에어소파 ( 발판포함 )",28180,5490601296,https://www.coupang.com/vp/products/5490601296?itemId=8498882338&vendorItemId=75786411855&sourceType=CATEGORY&categoryId=184523,false,0,,,False,,"2,500",['쿠팡상품번호: 5490601296 - 8498882338'],[]
613,184623,"마티노가구 로코코 3인용 원목 가죽 소파, 1.로코코 3인 내추럴_블랙",173000,76721723,https://www.coupang.com/vp/products/76721723?itemId=249007479&vendorItemId=3607677894&sourceType=CATEGORY&categoryId=184523,false,24,4.5,98,False,마티노가구,착불배송,"['재질: 인조가죽', '사이즈: 1850x650x780mm', '가로길이: 185cm', '스툴 유무: 스툴 없음', '사용인원: 3인용', '쿠팡상품번호: 76721723 - 249007479']",[]
