,rank,category,name,price,product_id,baby_product_link,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,attribute_list,recommends_list,count
0,1,184614,"하우스레시피 모리노키 뱀부 2단 수납장, 내츄럴",37900,232939267,https://www.coupang.com/vp/products/232939267?itemId=739917876&vendorItemId=4868472825&sourceType=CATEGORY&categoryId=184514,True,11,4.5,434.0,False,하우스레시피,0,"['사이즈: 41.5 x 25 x 74.5 cm', '재질: 원목', '색상계열: 브라운계열', '가로길이: 41.5cm', '단 수: 2단', '쿠팡상품번호: 232939267 - 739917876']",[],349.0
1,2,184614,"아이리스 2단 컬러 책장 수납장 CX-2, 프렌치오크",13900,2110017,https://www.coupang.com/vp/products/2110017?itemId=70622031&vendorItemId=3114220991&sourceType=CATEGORY&categoryId=184514,True,0,4.0,938.0,False,아이리스,0,"['사이즈: 41.5 x 29 x 59.5 cm', '재질: 합성목재', '색상계열: 베이지계열', '가로길이: 41.5cm', '단 수: 2단', '쿠팡상품번호: 2110017 - 70622031']",[],344.0
2,3,184614,"룸앤홈 데일리 책장 2단 4칸, 내추럴",24860,1447586163,https://www.coupang.com/vp/products/1447586163?itemId=2493940496&vendorItemId=70487124596&sourceType=CATEGORY&categoryId=184514,True,13,4.5,59.0,False,룸앤홈,0,['쿠팡상품번호: 1447586163 - 2493940496'],[],55.0
3,4,184614,"[왕자행거] 왕자 더블기둥4단조절선반_조임식_385-1, 상세 설명 참조",57760,322903152,https://www.coupang.com/vp/products/322903152?itemId=1034248508&vendorItemId=70166233348&sourceType=CATEGORY&categoryId=184514,False,6,5.0,126.0,False,왕자행거,0,['쿠팡상품번호: 322903152 - 1034248508'],[],92.0
4,5,184614,"동서가구 애니 800 주방수납장 DF637955, 그레이",59900,77888313,https://www.coupang.com/vp/products/77888313?itemId=251778045&vendorItemId=3613671996&sourceType=CATEGORY&categoryId=184514,False,49,4.5,215.0,False,동서가구,착불배송,"['인테리어 컨셉: 모던/심플', '쿠팡상품번호: 77888313 - 251778045']",[],128.0
5,6,184614,"SK플라스틱 플라스틱바구니 운반상자 모음 다양한 바구니, 36.우유1호 녹색",5500,345241277,https://www.coupang.com/vp/products/345241277?itemId=1096495010&vendorItemId=5623061807&sourceType=CATEGORY&categoryId=184514,False,0,4.0,19.0,False,,착불배송,['쿠팡상품번호: 345241277 - 1096495010'],[],17.0
6,7,184614,"아이리스 3단 책장 수납장 MDB-3K, 화이트",16900,63494375,https://www.coupang.com/vp/products/63494375?itemId=216256550&vendorItemId=3521307939&sourceType=CATEGORY&categoryId=184514,True,10,4.0,269.0,False,아이리스,0,"['사이즈: 36.6 x 29 x 73.2 cm', '재질: 합성목재', '색상계열: 화이트계열', '가로길이: 36.6cm', '단 수: 3단', '쿠팡상품번호: 63494375 - 216256550']",[],106.0
8,9,184614,"유니크가구 600 수납장 다리형, 화이트",29900,78421024,https://www.coupang.com/vp/products/78421024?itemId=253157740&vendorItemId=3616439746&sourceType=CATEGORY&categoryId=184514,False,0,4.0,158.0,False,,"5,000","['인테리어 컨셉: 모던/심플', '쿠팡상품번호: 78421024 - 253157740']",[],94.0
9,10,184614,"홈퍼니 수납박스 확장형, 혼합 색상",45900,110847133,https://www.coupang.com/vp/products/110847133?itemId=334060064&vendorItemId=3819763146&sourceType=CATEGORY&categoryId=184514,True,0,4.0,92.0,False,,0,"['인테리어 컨셉: 내추럴', '쿠팡상품번호: 110847133 - 334060064']",[],58.0
10,11,184614,"제우스가구 심플 미니 수납장, 올화이트",27900,4841483108,https://www.coupang.com/vp/products/4841483108?itemId=6257529622&vendorItemId=73553227374&sourceType=CATEGORY&categoryId=184514,True,0,5.0,1.0,False,,0,"['사이즈: 400 x 340 x 602 mm', '가로길이: 400mm', '쿠팡상품번호: 4841483108 - 6257529622']",[],1.0
11,12,184614,"룸앤홈 데일리 책장 3단, 화이트",21970,1447585591,https://www.coupang.com/vp/products/1447585591?itemId=2493939238&vendorItemId=70487124322&sourceType=CATEGORY&categoryId=184514,True,9,4.0,29.0,False,룸앤홈,0,['쿠팡상품번호: 1447585591 - 2493939238'],[],29.0
12,13,184614,"마켓비 FILMON 미니수납장 4문 4242 NFM4242, 캄포어베니어",43960,1858716706,https://www.coupang.com/vp/products/1858716706?itemId=3159533970&vendorItemId=71147091416&sourceType=CATEGORY&categoryId=184514,True,0,5.0,27.0,False,마켓비,0,['쿠팡상품번호: 1858716706 - 3159533970'],[],27.0
13,14,184614,"동서가구 애니 1200 3도어 주방수납장 DF637952, 그레이",99900,77888751,https://www.coupang.com/vp/products/77888751?itemId=251778931&vendorItemId=3613673322&sourceType=CATEGORY&categoryId=184514,False,47,4.5,122.0,False,동서가구,착불배송,"['인테리어 컨셉: 모던/심플', '쿠팡상품번호: 77888751 - 251778931']",[],54.0
14,15,184614,"[왕자행거] 왕자 130벌고정행거, 상세 설명 참조",40900,163729895,https://www.coupang.com/vp/products/163729895?itemId=469813705&vendorItemId=4173329858&sourceType=CATEGORY&categoryId=184514,False,0,4.5,51.0,False,왕자행거,0,['쿠팡상품번호: 163729895 - 469813705'],[],35.0
16,17,184614,"마켓비 POLABO 미니수납장 넓은 2문 수납장 SHM4262SL, 캄포어베니어",49900,4752701761,https://www.coupang.com/vp/products/4752701761?itemId=6051252707&vendorItemId=73348514790&sourceType=CATEGORY&categoryId=184514,True,7,5.0,7.0,False,마켓비,0,['쿠팡상품번호: 4752701761 - 6051252707'],[],7.0
17,18,184614,"서진퍼니처 1200 800 600미니라떼 다용도 높은 수납장, 1200 화이트그로시",115000,1085374338,https://www.coupang.com/vp/products/1085374338?itemId=2039354066&vendorItemId=70038753128&sourceType=CATEGORY&categoryId=184514,False,31,4.5,36.0,False,,착불배송,['쿠팡상품번호: 1085374338 - 2039354066'],[],34.0
18,19,184614,"룸앤홈 데일리 책장 2단, 화이트",14370,1447588582,https://www.coupang.com/vp/products/1447588582?itemId=2493944498&vendorItemId=70487124547&sourceType=CATEGORY&categoryId=184514,True,12,4.5,31.0,False,룸앤홈,0,['쿠팡상품번호: 1447588582 - 2493944498'],[],29.0
