rank,category,name,price,product_id,baby_product_link,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,attribute_list,recommends_list
361,184674,"가스쇼바 세상(대량주문 및 AS전문) 싱크대 가구 도어용 스텝쇼바, 선택4-2)가스쇼바 삼흥(Sam Heung) L=280mm(7kg)",3000,29968774,https://www.coupang.com/vp/products/29968774?itemId=114459837&vendorItemId=3227987092&sourceType=CATEGORY&categoryId=184574,false,0,4.5,169,False,,0,['쿠팡상품번호: 29968774 - 114459837'],[]
362,184674,"노아가구 티반 정수기다이 하부장, 화이트",39520,177776182,https://www.coupang.com/vp/products/177776182?itemId=508625390&vendorItemId=4304479645&sourceType=CATEGORY&categoryId=184574,true,2,4.0,32,False,노아가구,0,['쿠팡상품번호: 177776182 - 508625390'],[]
363,184674,"스토리퍼니쳐 키높이 레터링테이블 발렌타인 중 720, 블랙",12720,70352602,https://www.coupang.com/vp/products/70352602?itemId=235185736&vendorItemId=3576378294&sourceType=CATEGORY&categoryId=184574,true,49,4.5,309,False,스토리퍼니쳐,0,['쿠팡상품번호: 70352602 - 235185736'],[]
364,184674,"철물프렌드 가구다리 골다리&줄다리, 골다리 100mm용, 1개",2000,14479411,https://www.coupang.com/vp/products/14479411?itemId=59888565&vendorItemId=3093709128&sourceType=CATEGORY&categoryId=184574,false,0,4.5,108,False,,"2,500","['재질: 알루미늄', '색상계열: 실버계열', '쿠팡상품번호: 14479411 - 59888565']",[]
365,184674,서우 애쉬리빙 중교자상,41900,4051319,https://www.coupang.com/vp/products/4051319?itemId=2439369&vendorItemId=3000172205&sourceType=CATEGORY&categoryId=184574,true,8,4.5,470,False,서우,0,"['사이즈: 90 x 75 x 33 cm', '재질: 합성목재', '색상계열: 브라운계열', '형태: 직사각형', '가로길이: 90cm', '쿠팡상품번호: 4051319 - 2439369']",[]
366,184674,"벨라홈 LPM 샤르망 라운드 접이식테이블 1200 x 600 mm, 화이트",39900,100212276,https://www.coupang.com/vp/products/100212276?itemId=314850516&vendorItemId=3773658636&sourceType=CATEGORY&categoryId=184574,true,1,4.5,2046,False,벨라홈,0,['쿠팡상품번호: 100212276 - 314850516'],[]
367,184674,"조은세상 남원 정타원 밥상 600 x 600 mm, 대추색",39900,1639364927,https://www.coupang.com/vp/products/1639364927?itemId=2795644881&vendorItemId=70785290062&sourceType=CATEGORY&categoryId=184574,true,0,5.0,16,False,혼이깃든,0,"['형태: 타원형', '쿠팡상품번호: 1639364927 - 2795644881']",[]
368,184674,"서우 네츄럴 원형상 중 60 x 60 cm, 오크",18900,21744529,https://www.coupang.com/vp/products/21744529?itemId=84928658&vendorItemId=3144420236&sourceType=CATEGORY&categoryId=184574,true,14,4.5,185,False,서우,0,"['사이즈: 중', '재질: 합성목재', '색상계열: 베이지계열', '형태: 원형', '가로길이: 60cm', '쿠팡상품번호: 21744529 - 84928658']",[]
369,184674,"파로마 주방 싱크대 화이트 BEST 특가전, 04_900개수대(좌볼) - 화이트",105000,26829192,https://www.coupang.com/vp/products/26829192?itemId=103774890&vendorItemId=3197800829&sourceType=CATEGORY&categoryId=184574,false,0,3.5,165,False,파로마,착불배송,"['재질: MDF,PB', '사이즈: W900xD550XH870(mm)', '가로길이: 900mm', '바퀴 유무: 바퀴없음', '색상계열: 화이트계열', '쿠팡상품번호: 26829192 - 103774890']",[]
370,184674,"가구로드 루시바텐(회전 높이조절) 클릭바텐(고정) 홈바의자 아일랜드 식탁의자 높은의자 가죽쿠션 바체어, (1+1)루시바텐-화이트",79000,5007540844,https://www.coupang.com/vp/products/5007540844?itemId=6701165954&vendorItemId=71053308678&sourceType=CATEGORY&categoryId=184574,false,19,4.0,87,False,,0,"['높이조절 여부: 높이조절 가능', '재질: 플라스틱', '사이즈: W43*D44*SH60~80*H83~103', '가로길이: 43cm', '등받이 유무: 등받이있음', '쿠팡상품번호: 5007540844 - 6701165954']",[]
371,184674,"지엠퍼니처 에그 골드 벨벳 바체어, 그레이",58900,4924430761,https://www.coupang.com/vp/products/4924430761?itemId=6459015751&vendorItemId=73754165183&sourceType=CATEGORY&categoryId=184574,true,15,4.5,39,False,지엠퍼니처,0,"['주방의자종류: 홈바/아일랜드식탁의자', '팔걸이 유무: 팔걸이없음', '소파/의자 소재: 기타', '등받이 유무: 등받이있음', '의자접이식여부: 비접이식', '쿠팡상품번호: 4924430761 - 6459015751']",[]
372,184674,"솔로리빙 올인원800 수납 렌지대 주방 수납장 전자렌지수납장 주방수납 정리대 밥솥 전자렌지 에어프라이어 다이 주방정리 다용도수납장 렌지장 오븐장, 올화이트(일반형)",69900,1658288433,https://www.coupang.com/vp/products/1658288433?itemId=2825238826&vendorItemId=70814699264&sourceType=CATEGORY&categoryId=184574,false,12,4.0,61,False,,착불배송,['쿠팡상품번호: 1658288433 - 2825238826'],[]
373,184674,"위드퍼니처 멀바우S 600 x 600 사각 2인 식탁 테이블, 멀바우",37000,1688171595,https://www.coupang.com/vp/products/1688171595?itemId=2875193428&vendorItemId=73686790190&sourceType=CATEGORY&categoryId=184574,true,0,5.0,4,False,위드퍼니처,0,['쿠팡상품번호: 1688171595 - 2875193428'],[]
374,184674,"베스트리빙 [수도권 3일이내 배송]앨빈 코코 4인 벤치형식탁세트/의자2개+벤치의자1개, 02.투톤대리석+베이지의자2개+베이지벤치",229000,3785362,https://www.coupang.com/vp/products/3785362?itemId=18621272&vendorItemId=3027300388&sourceType=CATEGORY&categoryId=184574,false,46,5.0,59,False,베스트리빙,착불배송,"['재질: 대리석', '사용인원: 4인용', '식탁유리 유무: 유리 없음', '색상계열: 브라운계열', '상판확장가능 여부: 확장불가', '쿠팡상품번호: 3785362 - 18621272']",[]
375,184674,"룸앤홈 스마트 조립식 렌지대 3단, 실버 화이트",41900,18446749,https://www.coupang.com/vp/products/18446749?itemId=74159293&vendorItemId=3122673432&sourceType=CATEGORY&categoryId=184574,true,2,4.5,1560,False,룸앤홈,0,"['사이즈: 598 x 395 x 960mm', '재질: 합성목재', '색상계열: 화이트계열', '가로길이: 598mm', '높이: 960mm', '쿠팡상품번호: 18446749 - 74159293']",[]
376,184674,"전자레인지 선반 심플, 브라운",16420,1894893228,https://www.coupang.com/vp/products/1894893228?itemId=3219222463&vendorItemId=74943475143&sourceType=CATEGORY&categoryId=184574,false,0,3.5,91,False,,0,"['사이즈: 57 x 38 x 37 cm', '색상계열: 브라운계열', '바퀴 유무: 바퀴없음', '쿠팡상품번호: 1894893228 - 3219222463']",[]
377,184674,"조은세상 LPM 다용도 테이블 800 x 600 mm, 화이트",25900,1708892591,https://www.coupang.com/vp/products/1708892591?itemId=2908209281&vendorItemId=70896951477&sourceType=CATEGORY&categoryId=184574,true,0,4.5,22,False,조은세상,0,['쿠팡상품번호: 1708892591 - 2908209281'],[]
378,184674,"스토리퍼니쳐 키높이 7파이 러블리 테이블, 메이플",20010,1708921246,https://www.coupang.com/vp/products/1708921246?itemId=803190295&vendorItemId=5041273946&sourceType=CATEGORY&categoryId=184574,true,11,5.0,585,False,스토리퍼니쳐,0,['쿠팡상품번호: 1708921246 - 803190295'],[]
379,184674,"아이캔컴퍼니 유러피안 LPM 강낭콩테이블 대 + 보호캡, 블랙",22460,152167523,https://www.coupang.com/vp/products/152167523?itemId=439325247&vendorItemId=4086785246&sourceType=CATEGORY&categoryId=184574,true,7,5.0,596,False,아이캔컴퍼니,0,['쿠팡상품번호: 152167523 - 439325247'],[]
380,184674,"칸토 비앙코카라라 대리석 식탁 세트 1400, 1400식탁+의자4개(색상 배송메세지 기재)",267000,4790724981,https://www.coupang.com/vp/products/4790724981?itemId=6138508060&vendorItemId=70740552960&sourceType=CATEGORY&categoryId=184574,false,40,4.5,73,False,,착불배송,"['등받이 유무: 등받이있음', '의자접이식여부: 비접이식', '주방의자종류: 식탁의자', '소파/의자 소재: 기타', '쿠팡상품번호: 4790724981 - 6138508060']",[]
381,184674,"노아가구 리치블 불판 테이블, 오크",125050,1357535242,https://www.coupang.com/vp/products/1357535242?itemId=2388374499&vendorItemId=70383863715&sourceType=CATEGORY&categoryId=184574,true,6,4.0,548,False,노아가구,0,['쿠팡상품번호: 1357535242 - 2388374499'],[]
382,184674,"합판 MDF 전체코팅 uv방수코팅 양면합판 두께12t 국산합판 목재합판, MDF합판(400*300)12t",3000,169567282,https://www.coupang.com/vp/products/169567282?itemId=485133487&vendorItemId=3244336777&sourceType=CATEGORY&categoryId=184574,false,0,4.0,188,False,,"5,000","['재질: 합성목재', '색상계열: mdf화이트우드', '쿠팡상품번호: 169567282 - 485133487']",[]
383,184674,"헬로키티 공부상, 쿠킹",18900,1535838,https://www.coupang.com/vp/products/1535838?itemId=6699175&vendorItemId=3008188181&sourceType=CATEGORY&categoryId=184574,true,0,4.5,575,False,헬로키티,0,"['사이즈: 600 x 480 x 270 mm', '재질: 합성목재', '색상계열: 핑크계열', '형태: 직사각형', '가로길이: 600mm', '쿠팡상품번호: 1535838 - 6699175']",[]
384,184674,"디스토어 국산 접이식 상다리 1P모음전 밥상다리 상다리부속품 책상다리, 접이식사각다리(다용도)_다크브라운1p",990,1694968648,https://www.coupang.com/vp/products/1694968648?itemId=2885568886&vendorItemId=70874694988&sourceType=CATEGORY&categoryId=184574,false,10,4.5,31,False,,"3,000","['색상계열: 멀티(혼합)컬러', '재질: 플라스틱', '쿠팡상품번호: 1694968648 - 2885568886']",[]
385,184674,"스토리퍼니쳐 LPM 라운드테이블 대 790, 블랙(유광)",19800,70352656,https://www.coupang.com/vp/products/70352656?itemId=235185932&vendorItemId=3576378377&sourceType=CATEGORY&categoryId=184574,true,43,4.5,2492,False,,0,"['사이즈: 790 x 590 x 275mm', '재질: 합성목재', '색상계열: 블랙계열', '형태: 직사각형', '가로길이: 790mm', '쿠팡상품번호: 70352656 - 235185932']",[]
386,184674,"룸앤홈 헬싱키바 테이블, 스톤",99000,161855419,https://www.coupang.com/vp/products/161855419?itemId=464899058&vendorItemId=75738851833&sourceType=CATEGORY&categoryId=184574,false,0,4.0,165,False,룸앤홈,0,"['사이즈: 1200 x 400 x 840 mm', '재질: 강재', '색상계열: 그레이계열', '가로길이: 1200mm', '인테리어 컨셉: 모던/심플', '쿠팡상품번호: 161855419 - 464899058']",[]
387,184674,"서우 월넛 통판 원형상 특대 75, 브라운",40800,237031501,https://www.coupang.com/vp/products/237031501?itemId=751367751&vendorItemId=4897743248&sourceType=CATEGORY&categoryId=184574,true,0,4.5,103,False,서우,0,['쿠팡상품번호: 237031501 - 751367751'],[]
388,184674,"아이베란다 목다보 목심 나무못, 목다보8x30mm(200개)",2600,5035794,https://www.coupang.com/vp/products/5035794?itemId=22985643&vendorItemId=3033639536&sourceType=CATEGORY&categoryId=184574,false,0,4.0,132,False,,0,['쿠팡상품번호: 5035794 - 22985643'],[]
389,184674,"풀씨 루트 다용도 테이블 소, 라인",12040,9076790,https://www.coupang.com/vp/products/9076790?itemId=39813168&vendorItemId=3060031872&sourceType=CATEGORY&categoryId=184574,true,23,4.0,205,False,,0,"['사이즈: 소', '재질: 합성목재', '색상계열: 베이지계열', '형태: 직사각형', '가로길이: 600mm', '쿠팡상품번호: 9076790 - 39813168']",[]
390,184674,"헤븐 1200 2단 전자렌지대 주방 밥솥 밥통 오븐 수납장, 화이트",38900,222549996,https://www.coupang.com/vp/products/222549996?itemId=697760382&vendorItemId=4782201014&sourceType=CATEGORY&categoryId=184574,false,61,4.0,160,False,퍼니하우스,착불배송,['쿠팡상품번호: 222549996 - 697760382'],[]
