,rank,category,name,price,product_id,baby_product_link,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,attribute_list,recommends_list,count
0,1,184674,"아이캔컴퍼니 유러피안 LPM 라운드테이블 대 + 보호캡, 블랙",22460,152167496,https://www.coupang.com/vp/products/152167496?itemId=439325184&vendorItemId=4086784742&sourceType=CATEGORY&categoryId=184574,True,7,4.5,3126.0,False,아이캔컴퍼니,0,"['사이즈: 790 x 590 x 305 mm', '재질: 합성목재', '색상계열: 블랙계열', '형태: 직사각형', '가로길이: 790mm', '쿠팡상품번호: 152167496 - 439325184']",[],1656.0
1,2,184674,"그뤠잇라이프 다용도 접이식 라운딩 테이블 베드트레이, 우드",6000,141135461,https://www.coupang.com/vp/products/141135461?itemId=411011123&vendorItemId=71803521883&sourceType=CATEGORY&categoryId=184574,False,0,4.0,3577.0,False,지음,0,"['접이 가능여부: 접이식가능', '가로길이: 60cm', '형태: 굴곡형/3D입체', '재질: 합성목재', '쿠팡상품번호: 141135461 - 411011123']",[],3102.0
2,3,184674,"아이캔컴퍼니 LPM 4단 높이조절 베이직테이블 900, 마블",25740,152167524,https://www.coupang.com/vp/products/152167524?itemId=1058151963&vendorItemId=5533125860&sourceType=CATEGORY&categoryId=184574,True,7,4.5,2032.0,False,아이캔컴퍼니,0,"['높이조절 여부: 높이조절 가능', '쿠팡상품번호: 152167524 - 1058151963']",[],1229.0
3,4,184674,"서우 네츄럴 다용도상 특대 90 x 60 cm, 오크",18250,2570336,https://www.coupang.com/vp/products/2570336?itemId=5113386&vendorItemId=3006353247&sourceType=CATEGORY&categoryId=184574,True,20,4.5,8508.0,False,서우,0,"['사이즈: 90 x 60 x 27.5 cm', '재질: 합성목재', '색상계열: 브라운계열', '형태: 직사각형', '가로길이: 90cm', '쿠팡상품번호: 2570336 - 5113386']",[],2299.0
5,6,184674,"스토리퍼니쳐 러블리 키높이 LPM 테이블 L 790 x 55 x 300 mm, 화이트",20320,1708921246,https://www.coupang.com/vp/products/1708921246?itemId=2908254593&vendorItemId=70896998244&sourceType=CATEGORY&categoryId=184574,True,10,5.0,585.0,False,,0,['쿠팡상품번호: 1708921246 - 2908254593'],[],588.0
6,7,184674,"룸앤홈 스마트 조립식 렌지대 4단, 오크화이트",51420,18446751,https://www.coupang.com/vp/products/18446751?itemId=2493879849&vendorItemId=70487063667&sourceType=CATEGORY&categoryId=184574,True,2,4.5,2801.0,False,룸앤홈,0,['쿠팡상품번호: 18446751 - 2493879849'],[],1230.0
7,8,184674,"벨라홈 LPM 샤르망 라운드 접이식테이블 1200 x 600 mm, 마블링",39900,100212276,https://www.coupang.com/vp/products/100212276?itemId=306949978&vendorItemId=3757017178&sourceType=CATEGORY&categoryId=184574,True,1,4.5,2046.0,False,벨라홈,0,"['사이즈: 1200 x 600 x 295 mm', '재질: 합성목재', '색상계열: 화이트계열', '형태: 직사각형', '가로길이: 1200mm', '쿠팡상품번호: 100212276 - 306949978']",[],908.0
8,9,184674,"아임홈 MESA 다용도 접이식 미니 테이블, 핑크",10900,150583557,https://www.coupang.com/vp/products/150583557?itemId=434916094&vendorItemId=4074205921&sourceType=CATEGORY&categoryId=184574,True,42,4.5,2547.0,False,,0,"['사이즈: 550 x 355 x 255 mm', '재질: PP', '색상계열: 핑크계열', '형태: 직사각형', '가로길이: 550mm', '쿠팡상품번호: 150583557 - 434916094']",[],873.0
9,10,184674,"서우 네츄럴 다용도상 특대 80 x 60cm, 오크",18250,2570337,https://www.coupang.com/vp/products/2570337?itemId=5113385&vendorItemId=3006353246&sourceType=CATEGORY&categoryId=184574,True,13,4.5,3216.0,False,서우,0,"['사이즈: 80 x 60 x 27.5 cm', '재질: 합성목재', '색상계열: 브라운계열', '형태: 직사각형', '가로길이: 80cm', '쿠팡상품번호: 2570337 - 5113385']",[],1006.0
10,11,184674,"서우 네츄럴 직교자상 120 x 75cm, 오크",29900,2568555,https://www.coupang.com/vp/products/2568555?itemId=5113389&vendorItemId=3006353250&sourceType=CATEGORY&categoryId=184574,True,49,4.5,3846.0,False,서우,0,"['사이즈: 120 x 75 x 29 cm', '재질: 합성목재', '색상계열: 베이지계열', '형태: 직사각형', '가로길이: 120cm', '쿠팡상품번호: 2568555 - 5113389']",[],1247.0
11,12,184674,"코멧 모던스타일 테이블 79*59cm, 블랙",19470,2354065065,https://www.coupang.com/vp/products/2354065065?itemId=4084109222&vendorItemId=72068113567&sourceType=CATEGORY&categoryId=184574,True,25,4.5,80.0,False,코멧,0,['쿠팡상품번호: 2354065065 - 4084109222'],[],80.0
13,14,184674,네츄럴 라인 다용도상 소형,8870,2568423,https://www.coupang.com/vp/products/2568423?itemId=1437730&vendorItemId=3001384557&sourceType=CATEGORY&categoryId=184574,True,55,4.5,1292.0,False,,0,"['사이즈: 600 x 400 x 250 mm', '재질: 합성목재', '색상계열: 베이지계열', '형태: 직사각형', '가로길이: 600mm', '쿠팡상품번호: 2568423 - 1437730']",[],612.0
15,16,184674,"아이캔컴퍼니 황토 다용도 테이블 중, 화이트, 1개",12900,3320781,https://www.coupang.com/vp/products/3320781?itemId=10315702&vendorItemId=3015211720&sourceType=CATEGORY&categoryId=184574,True,0,4.5,11774.0,False,아이캔컴퍼니,0,"['사이즈: 중 (595 x 495 x 260 mm)', '재질: 합성목재', '색상계열: 화이트계열', '형태: 직사각형', '가로길이: 595mm', '쿠팡상품번호: 3320781 - 10315702']",[],875.0
16,17,184674,"레몬트리 LPM 심플 타원형 접이식 테이블, 화이트",24800,1879387784,https://www.coupang.com/vp/products/1879387784?itemId=3193747897&vendorItemId=71181177433&sourceType=CATEGORY&categoryId=184574,True,0,5.0,286.0,False,,0,"['사이즈: 800 x 600 mm', '색상계열: 화이트계열', '형태: 타원형', '접이 가능여부: 접이식가능', '쿠팡상품번호: 1879387784 - 3193747897']",[],287.0
