,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,인테리어,재질,사이즈,설치,색상,매트리스포함,침대 프레임
0,1,184562,"라꾸라꾸 수납침대 4탄 접이식침대 + 세탁전용커버, 스트라이프(블루+그레이+화이트)",149800,10755024,True,0,4.5,1436.0,False,라꾸라꾸,0,402.0,NULL,NULL,싱글,NULL,NULL,NULL,NULL
1,2,184562,북유럽 소나무 침대 받침대 프레임 매트리스 깔판 저상형 슈퍼싱글,39800,4899755280,False,33,4.5,64.0,False,,"15,000",58.0,NULL,NULL,슈퍼싱글,NULL,NULL,NULL,NULL
2,3,184562,"알뜨리 매트리스 받침대 세트 싱글 & 더블 겸용, 베이지",42530,1430679804,True,17,4.5,204.0,False,알뜨리,0,204.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,4,184562,"이투스 플라스틱 일반발통 침대깔판, 검정",25900,37164941,False,0,4.5,1783.0,False,,"8,000",417.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,5,184562,지누스 디럭스 스마트베이스 침대프레임,110000,1096195704,True,20,5.0,331.0,False,지누스,0,277.0,NULL,기타,NULL,NULL,NULL,별도구매,오픈형
5,6,184562,"삼익가구 로이 슈퍼싱글/퀸 LED 침대 + 본넬 매트리스 포함, 내츄럴오크",199900,1141993983,False,47,4.5,513.0,False,삼익가구,착불배송,488.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,7,184562,"가구야 카인 가죽 LED + 220V 평상형 침대 협 + 7존 케미컬 라텍스탑 셀프 포켓 매트리스 세트 방문설치, 화이트",406500,1911251180,True,0,4.5,219.0,False,가구야,0,220.0,NULL,NULL,NULL,방문설치,NULL,매트리스포함,밀폐형
7,8,184562,"라꾸라꾸 18탄 뉴 미니 침대 CBK-018N, 네이비",117000,295552610,True,0,4.5,220.0,False,라꾸라꾸,0,172.0,NULL,NULL,싱글,NULL,NULL,NULL,NULL
8,9,184562,"알뜨리 매트리스 받침대 퀸 킹 겸용, 그레이",78210,1138972742,True,1,4.5,218.0,False,알뜨리,0,165.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,10,184562,"코시나 데일리 원목 침대 베드테이블, 네츄럴 브라운",18900,1791763477,True,0,4.5,152.0,False,코시나,0,152.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,11,184562,"알뜨리 매트리스 받침대 세트 퀸 & 킹 겸용, 베이지",78930,1430679753,True,4,4.5,204.0,False,알뜨리,0,196.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,12,184562,"다퍼남 YATAK 휴대용 접이식 간이 야전 침대, 그레이",34540,1401559740,True,10,4.5,281.0,False,다퍼남,0,278.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,13,184562,"애니키 Noble 베드테이블 RD300, 혼합색상",49000,1925620681,True,0,5.0,245.0,False,애니키,0,245.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,14,184562,"알뜨리 매트리스 받침대 싱글 더블 겸용, 그레이",42530,1138972718,True,18,4.5,267.0,False,알뜨리,0,195.0,NULL,NULL,110 x 200cm,NULL,그레이,NULL,NULL
14,15,184562,"[삼익가구]러버 LED 4단 수납 원목 침대(YS 파워 본넬스프링 매트리스-슈퍼싱글), 내추럴",309000,1315500107,False,50,5.0,479.0,False,삼익가구,착불배송,477.0,NULL,합성목재,NULL,NULL,NULL,매트리스포함,수납형
15,16,184562,"에몬스홈 베스터 서랍형 침대 + 스프링매트리스 방문설치, 오크월넛",367000,2336333658,True,10,5.0,31.0,False,에몬스홈,0,31.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
