,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,색상,형태,인테리어,재질,접이 가능여부
0,1,503219,"아임홈 MESA 다용도 접이식 미니 테이블, 핑크",10900,150583557,True,42,4.5,2547.0,False,,0,873.0,550 x 355 x 255 mm,핑크,직사각형,NULL,PP,NULL
1,3,503219,"탑리빙 USB 노트북테이블 + 선풍기 + 라이트, 블랙",17500,2016636833,True,12,4.0,637.0,False,,0,637.0,NULL,NULL,NULL,NULL,NULL,NULL
2,4,503219,"다용도 미니 테이블 접이식테이블 공부책상 핸드폰거치대 장착 디자인특허, 네츄럴 월넛",14900,5102647898,False,44,5.0,20.0,False,,0,20.0,NULL,NULL,NULL,NULL,NULL,NULL
3,5,503219,"센스팟 접이식 다용도 테이블, 블랙우드",9100,2022069224,False,0,4.0,363.0,False,,0,366.0,NULL,NULL,NULL,NULL,NULL,NULL
4,6,503219,"리빙노크 다용도 접이식 베드트레이, 브라운",15900,1464083772,False,0,4.5,433.0,False,,0,419.0,NULL,브라운,직사각형,키즈/캐릭터,NULL,접이식가능
5,7,503219,"오엠티 만능 폴딩 노트북 테이블 OSO-P9, 우드",14050,1702772648,True,1,4.5,34.0,False,오엠티,0,34.0,NULL,NULL,NULL,NULL,NULL,NULL
6,9,503219,"룸앤홈 스마트 폴딩 테이블, 블랙",14900,179229062,True,50,4.0,184.0,False,룸앤홈,0,77.0,605 x 400 x 250mm,화이트,NULL,NULL,합성목재,접이식가능
7,11,503219,"베드테이블 스마트 컵홀더 접이식 미니테이블 베드트레이 책상 밥상 미니책상 노트북테이블 공구책상 생활용품 테블릿거치대 접이식테이블, 우드",9900,4537085236,False,23,4.0,49.0,False,,0,49.0,NULL,NULL,NULL,NULL,NULL,NULL
8,12,503219,"그뤠잇라이프 다용도 접이식 컵홀더 테이블 베드트레이 60 x 40 cm, 우드",6330,212818333,True,20,4.0,133.0,False,,0,91.0,NULL,NULL,NULL,NULL,NULL,NULL
9,13,503219,히키스 인체공학 높낮이 각도조절 베드트레이 A6L,26130,2010777173,True,0,4.5,69.0,False,히키스,0,70.0,NULL,NULL,NULL,NULL,NULL,NULL
10,15,503219,"그뤠잇라이프 높이조절 접이식 노트북 베드트레이, 우드",13500,1827150419,False,0,4.0,70.0,False,,0,70.0,NULL,NULL,NULL,NULL,NULL,NULL
11,16,503219,"따니네 접이식 미니 테이블 ZZ008 60 x 40 x 28 cm, 화이트",12000,1547791319,False,0,4.0,136.0,False,,0,137.0,NULL,NULL,NULL,NULL,NULL,NULL
12,17,503219,"히키스 스마트폰 태블릿PC거치 인체공학 베드트레이 E6, 혼합 색상",32930,227601377,False,26,5.0,755.0,False,히키스,"3,000",496.0,650 x 430 x 300 mm,베이지,NULL,NULL,AL. ABS. WOOD,접이식가능
13,18,503219,"CareFree 서랍 책받침 노트북 테이블 NT-6100, 상아색",21080,1583395774,True,5,4.0,56.0,False,,0,56.0,NULL,NULL,NULL,NULL,NULL,NULL
14,19,503219,"피너츠 스누피 노트북 테이블, 네이비",12490,4567910121,True,1,4.5,21.0,False,,0,21.0,NULL,NULL,NULL,NULL,NULL,NULL
15,20,503219,"홈앤하우스 너도밤나무 베드트레이, 혼합색상",24900,1002525,False,0,4.0,181.0,False,,0,29.0,NULL,베이지,직사각형,NULL,원목,접이식가능
16,21,503219,우드 침대 접이식 테이블,18000,1593820051,True,0,4.0,13.0,False,,0,13.0,NULL,NULL,NULL,NULL,NULL,NULL
17,22,503219,"접이식 각도조절 베드 트레이 침대 책상 노트북 스마트 테이블 미니 탁자 독서, 베이지우드",17800,4875857631,False,0,4.0,8.0,False,,0,8.0,NULL,NULL,NULL,NULL,NULL,NULL
18,23,503219,"제이에스리빙 사무용책상 높은 원목 미니 노트북 이동식 책상 협탁 접이식 티 식탁 베드 트레이 좌식 간이 보조 높이 각도 조절 거실 튼튼한 사이드 테이블 독서 공부 트레이 G57-8, 토스카 테이블",25600,4382905540,False,0,3.5,9.0,False,,0,9.0,NULL,NULL,NULL,NULL,NULL,NULL
19,25,503219,다세코 원목 피크닉 접이식테이블 캠핑 미니 좌식 테이블 노트북 테이블 우드 학생책상,13900,4864979686,False,0,5.0,8.0,False,,0,8.0,NULL,NULL,NULL,NULL,NULL,NULL
20,26,503219,"에코디아이와이 원목 베드 트레이, 고무나무 원목 내추럴 색상",17440,1756629,True,27,4.5,556.0,False,,0,100.0,510 x 330 x 235mm,베이지,직사각형,NULL,원목,NULL
21,27,503219,[코지카니] 바른자세를 위한 100% 천연 대나무 와이드 좌식 노트북 책상 접이식 각도조절 높이조절 유아독서 캠핑 테이블,33000,4896518998,False,17,4.5,63.0,False,,0,64.0,"가로 70cm, 세로 35cm, 높이 4.5cm",NULL,NULL,100% 자연 원목(대나무),원목,NULL
22,29,503219,"씨클라우드 다용도 좌식테이블, Royal Blue",22000,50460427,True,12,4.5,254.0,False,씨클라우드,0,58.0,55 x 35 x 25 cm,화이트,직사각형,NULL,플라스틱,NULL
23,30,503219,"포메리트 러버 원목 심플테이블 소, 브라운",22160,5156039,True,32,4.5,399.0,False,포메리트,0,49.0,470 x 320 x 210 mm,브라운,직사각형,NULL,원목,NULL
24,32,503219,"엘케이 다용도 접이식 테이블 베드 트레이, 서랍 컵홀더형 메이플우드",11900,4756939378,False,0,4.0,69.0,False,,0,70.0,NULL,우드,굴곡형/3D입체,NULL,"MDF,철제",접이식가능
25,33,503219,"서우홈 대나무 노트북 테이블 S, 네츄럴",26280,194071046,True,0,4.0,72.0,False,서우홈,0,26.0,NULL,NULL,NULL,NULL,NULL,NULL
26,34,503219,"그뤠잇라이프 높이조절 접이식 노트북 베드트레이, 블랙",13920,1807362972,True,19,4.0,29.0,False,,0,29.0,NULL,NULL,NULL,NULL,NULL,NULL
27,35,503219,"탑리빙 USB 노트북테이블 + 선풍기 + 라이트, 아카시아",17500,5238663882,True,12,5.0,2.0,False,,0,2.0,NULL,NULL,NULL,NULL,NULL,NULL
28,36,503219,"조은세상 고무나무 베드트레이, 내추럴",16130,1594221414,True,5,4.0,61.0,False,조은세상,0,34.0,NULL,NULL,NULL,NULL,NULL,NULL
29,39,503219,"[빠른배송+사은품증정] 접이식 미니 좌식테이블 책상 1인용테이블, 스카이블루, LT-601",17700,5077640654,False,34,4.0,59.0,False,,0,59.0,NULL,NULL,NULL,NULL,NULL,NULL
30,41,503219,"이케아 KLIPSK 침대트레이 102.890.86, 화이트",19000,59417739,False,0,4.0,86.0,False,이케아,착불배송,5.0,NULL,NULL,NULL,NULL,NULL,NULL
31,42,503219,"홈앤하우스 너도밤나무 프리미엄 베드트레이, 1개",25020,1002526,True,45,4.0,42.0,False,,0,8.0,NULL,브라운,직사각형,NULL,NULL,접이식가능
32,44,503219,"재미월드 접이식 더블 베드트레이, 블랙",43560,2085655069,True,4,5.0,3.0,False,재미월드,0,3.0,NULL,NULL,NULL,NULL,NULL,NULL
33,45,503219,히키스 내츄럴 리빙 베드트레이 H70,23500,62730960,False,0,5.0,796.0,False,히키스,"3,000",185.0,700 x 360 x 270 mm,베이지,직사각형,NULL,본상품선택,NULL
34,46,503219,"21세기트랜드 각도조절 베드 테이블, 혼합색상",22400,1593602996,True,0,4.5,5.0,False,21세기트랜드,0,5.0,NULL,NULL,NULL,NULL,NULL,NULL
35,47,503219,"스틸리 다용도 베드테이블 좌식책상 STEELIE-K7, 그레이",52500,2243313148,False,0,5.0,54.0,False,스틸리,0,48.0,NULL,NULL,NULL,NULL,NULL,NULL
36,49,503219,"퍼니라이 원목 침대 베드 트레이, 오크색(oak), 선반형(모데나)",12800,5158450919,False,35,4.5,6.0,False,,"3,000",6.0,52cm x 33cm x 24cm,NULL,NULL,모던/심플,원목,접이식가능
37,51,503219,"접이식 다용도 배드트레이, 그레이",13800,5233762225,False,0,5.0,1.0,False,디포앤,0,1.0,NULL,NULL,NULL,NULL,NULL,NULL
38,53,503219,소푸미야 원목 접이식 베드트레이 + 쿠션패드 4p,16440,1337642700,True,0,4.5,18.0,False,,0,15.0,NULL,NULL,NULL,NULL,NULL,NULL
