,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,색상,소재,재질,팔걸이,등받이,종류,인테리어
0,1,184634,"코시나 접이식 사각의자, 블랙",17900,4322666063,False,0,4.5,187.0,False,코시나,0,187.0,NULL,블랙,플라스틱,NULL,팔걸이없음,등받이있음,NULL,NULL
1,2,184634,"밴프 패브릭 프라임 체어, 그레이(OC079)",20500,1744427561,True,28,4.0,261.0,False,밴프,0,262.0,NULL,그레이,패브릭,NULL,팔걸이없음,등받이있음,NULL,NULL
2,3,184634,"코멧 5단 각도조절 인조가죽 좌식의자, 아이보리",32710,4544296151,True,37,4.5,202.0,False,코멧,0,202.0,NULL,NULL,인조/천연가죽,NULL,팔걸이없음,등받이있음,좌식의자,NULL
3,4,184634,"지퍼니처 사각 플라스틱 간이의자, 그레이, 1p",2590,4238882,False,0,4.5,1718.0,False,지퍼니처,"2,500",492.0,NULL,그레이,플라스틱,플라스틱,NULL,등받이없음,NULL,NULL
4,5,184634,"릿첼 베이비 소프트 의자 + 수리용 패치, 그레이",23710,305640979,True,0,5.0,1266.0,False,릿첼,0,822.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,6,184634,"팬물산 스너그 좌식의자, 블랙",15900,19113858,True,37,4.5,2388.0,False,팬물산,0,928.0,390 x 480 x 430 mm,블랙,NULL,PU,NULL,NULL,NULL,NULL
6,7,184634,"오에이데스크 폭신폭신 쿠션 의자 2p, 블랙",27660,179229600,True,33,4.5,250.0,False,,0,181.0,NULL,블랙,기타,NULL,NULL,등받이있음,접이식의자,NULL
7,8,184634,"지오리빙 플라스틱 라탄 의자, 사각(브라운)",4590,236997139,False,0,4.5,428.0,False,,0,302.0,NULL,브라운,플라스틱,NULL,NULL,등받이없음,야외/캠핑용의자,NULL
8,9,184634,"리빙도쿄 휴대용 접이식 다용도 의자 39cm, 퍼플",8830,67848799,True,1,4.5,1846.0,False,리빙도쿄,0,965.0,NULL,바이올렛/보라,NULL,NULL,팔걸이없음,등받이없음,야외용의자,NULL
9,10,184634,"일루일루 모아 에펠 엠보싱 체어 인테리어 의자, 아이보리",29900,47891792,False,0,4.5,2393.0,False,일루일루,0,660.0,53.5*47*85.5,NULL,NULL,PU,팔걸이없음,NULL,NULL,NULL
10,11,184634,"오에이데스크 나무 등받이 의자, 우드 OC007",13800,135145945,True,28,4.0,950.0,False,,0,402.0,31.5 x 44 x 73 cm,베이지,우드,합성목재,NULL,NULL,접이식의자,NULL
11,12,184634,"밴프 메티스 체어, 블랙(OC085)",17520,1744427577,True,6,4.5,222.0,False,밴프,0,222.0,NULL,블랙,플라스틱,NULL,NULL,등받이있음,NULL,모던/심플
12,13,184634,"에이블루 손연재 커블체어 와이더 [정품] 2+1 행사(3개) [한정수량], 레드+레드+레드",111270,4586555910,False,0,4.5,186.0,False,,0,186.0,NULL,NULL,NULL,NULL,팔걸이없음,등받이있음,자세교정형,NULL
13,14,184634,"베스트리빙 캘빈 원목 의자 2p, 엔틱 + 베이지",99900,46549485,False,0,4.0,1208.0,False,베스트리빙,0,512.0,460*450*840mm,베이지,우드,원목,NULL,NULL,NULL,내추럴
14,17,184634,"접이식 폴딩의자 - 아코디언의자-접이식의자 폴딩체어 여행용의자 캠핑의자 낚시의자 간이의자 의자, 검정색",14900,1689034168,False,0,4.0,88.0,False,,"2,500",90.0,NULL,NULL,플라스틱,NULL,NULL,등받이없음,야외/캠핑용의자,NULL
15,18,184634,"16피스 인테리어 카페 화장대 에펠 의자 멜 쿠션, 블랙",27900,4750103455,False,61,4.5,190.0,False,,0,192.0,NULL,블랙,플라스틱,NULL,팔걸이없음,등받이있음,NULL,NULL
16,19,184634,"서우홈 벤딩 스툴, 아이보리",16000,239191482,True,0,4.0,394.0,False,서우홈,0,255.0,NULL,베이지,우드,NULL,NULL,등받이없음,NULL,NULL
17,22,184634,"할메이드 플라스틱 접이식 의자 휴대용 캠핑의자 보조 스툴, 특대-블랙",10400,150719770,False,0,4.5,535.0,False,할메이드,"2,500",447.0,NULL,NULL,플라스틱,NULL,팔걸이없음,등받이없음,접이식의자,NULL
18,23,184634,"시디즈 T60시리즈 T603FW EGA 인테리어의자, 라이트그레이",176000,94690309,False,0,4.5,424.0,False,시디즈,0,244.0,655x540x755 mm,그레이,NULL,패브릭,NULL,NULL,NULL,NULL
19,24,184634,"에코상사 원목 사각 미니스툴, 내츄럴",14640,346670702,False,0,5.0,327.0,False,,0,314.0,NULL,NULL,우드,NULL,NULL,등받이없음,스툴/화장대의자,NULL
20,25,184634,"일한기획 휴대용 접이식 다용도 의자 22cm, 블랙",7090,67848801,True,0,4.5,916.0,False,,0,397.0,NULL,블랙,NULL,NULL,NULL,등받이없음,NULL,NULL
