,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,색상,재질,인테리어
0,1,184589,"엠에프매직하우스 윈도우 커버 이불장 + 고무망치, 라이트그레이",35800,1297841897,True,1,4.5,731.0,False,엠에프매직하우스,0,674.0,NULL,NULL,NULL,NULL
1,2,184589,"엔조이리빙 비키니옷장 75싱글, 그레이",24800,1196685804,False,30,4.5,316.0,False,,0,204.0,75 x 45 x 175 cm,그레이,패브릭,NULL
2,3,184589,"엔조이리빙 비키니옷장 150 프리미엄, 라이트그레이",110000,290778322,False,0,4.0,233.0,False,,0,159.0,NULL,NULL,NULL,NULL
3,4,184589,"엠에프매직하우스 윈도우 커버옷장 190 싱글 + 고무망치, 라이트그레이",35900,1349698949,False,0,4.5,285.0,False,엠에프매직하우스,0,274.0,NULL,NULL,NULL,NULL
4,5,184589,"엔조이리빙 비키니옷장 112 트리플, 라이트그레이",44900,290777557,False,0,4.0,136.0,False,텐바이텐,0,101.0,NULL,NULL,NULL,NULL
5,6,184589,"엔조이리빙 프리미엄 비키니옷장 150, 그레이",39900,208504201,False,20,4.0,216.0,False,,0,172.0,NULL,NULL,NULL,NULL
6,7,184589,"솜씨방가구 라온1600옷장세트 긴문장+투서랍장, 거울 이불장1+투서랍장1_화이트",170000,1282566197,False,28,4.5,148.0,False,솜씨방가구,착불배송,146.0,NULL,NULL,NULL,모던/심플
7,8,184589,"엔조이리빙 비키니옷장 90 더블, 라이트그레이",26500,290778682,False,33,4.0,313.0,False,텐바이텐,0,196.0,90 x 45 x 175cm,그레이,철제,NULL
8,9,184589,"엠에프매직하우스 윈도우 커버 2단행거 더블 + 고무망치, 그레이",37740,1297841964,True,4,4.5,161.0,False,엠에프매직하우스,0,154.0,NULL,NULL,NULL,NULL
9,11,184589,"가구의가치 분리형 개인 락카장 캐비넷 락커 사무실 미용실 옷장, 상부장, 무광LPM화이트",33000,5302206218,False,0,4.5,6.0,False,,0,6.0,NULL,NULL,NULL,NULL
10,12,184589,"엔조이리빙 비키니옷장 185 프리미엄, 그레이",48900,290778342,False,38,4.0,592.0,False,,0,344.0,NULL,NULL,NULL,NULL
11,13,184589,"케이컴퍼니 이음1600장롱세트CD(3서랍옷장+긴문장) 장롱세트, 화이트-3서랍옷장+옷장",150000,88907019,False,39,4.0,241.0,False,,착불배송,139.0,NULL,NULL,NULL,모던/심플
12,14,184589,"유니크가구 600 다용도수납장 일반형, 화이트",27900,892865,False,0,4.0,338.0,False,,"5,000",188.0,NULL,화이트,합성목재,내추럴
13,15,184589,"솜씨방가구 라온 800 이불장, 화이트",70000,2214353,False,22,4.5,422.0,False,솜씨방가구,착불배송,186.0,810 x 590 x 1900mm,NULL,PB + MDF,NULL
14,16,184589,"엠에프매직하우스 윈도우 커버옷장 190 트리플 + 고무망치, 라이트그레이",47900,1349698953,True,0,4.5,158.0,False,엠에프매직하우스,0,153.0,NULL,NULL,NULL,NULL
15,17,184589,"인홈즈 모던 드레스룸 시스템행거 옷장, C형(직접조립)",89900,2197800670,False,25,4.5,99.0,False,,0,99.0,NULL,NULL,NULL,NULL
16,18,184589,"동서가구 비쥬얼 4도어 3단서랍 1600 이불 옷장 YS211, 웜그레이",199000,1395474859,False,52,4.5,11.0,False,동서가구,착불배송,11.0,NULL,NULL,NULL,NULL
17,19,184589,"제이트레이드컴퍼니 조립식 비키니옷장 수납공간활용 수납이좋은 조립식행거 행거커버, 그레이L(180)",48900,1767299859,False,18,4.0,91.0,False,,0,91.0,NULL,NULL,NULL,NULL
18,20,184589,"대도갤러리 이느낌 800 투서랍 장롱, 워시화이트",79900,3834523,False,0,4.0,315.0,False,대도갤러리,착불배송,10.0,W810 x D580 x H1880,NULL,PB + MDF,NULL
19,21,184589,"휴센 골드 2000 드레스룸 옷장 + 서랍, 크림화이트",169900,28889929,False,31,4.5,213.0,False,휴센,0,37.0,2100 X 350 X 2100mm,화이트,철제,모던/심플
20,22,184589,"주식회사 와이디 철제캐비넷(대), 철제캐비넷(대)_그레이(YWD8008-GR)",126900,17647890,False,0,4.0,31.0,False,,착불배송,13.0,NULL,그레이,철제,NULL
21,23,184589,"솜씨방가구 비올라장롱 투서랍장, 화이트(물결)",89000,209843064,False,38,4.5,98.0,False,솜씨방가구,착불배송,97.0,W810 X D570 X H1860(mm),화이트,"MDF, PB, 데코시트 외",NULL
22,24,184589,"미노네 가벽 비키니 이불장 조립식 옷장 튼튼한 행거 이불 수납 프린팅 간이옷장, 노란소녀 2단",29900,2006208906,False,21,4.5,4.0,False,,"3,000",4.0,NULL,NULL,NULL,NULL
23,25,184589,"대도갤러리 이느낌 800 긴문장 장롱, 화이트",64900,6543880,False,7,4.0,131.0,False,대도갤러리,착불배송,33.0,NULL,화이트,합성목재,NULL
24,26,184589,"이안비즈 비키니옷장 서랍2형, 베이지",26560,145599870,True,7,4.0,204.0,False,이안비즈,0,53.0,75 x 50 x 160 cm,베이지,패브릭,NULL
25,27,184589,"MAME 조립식 비키니 옷장 L, 블랙(M0036)",49900,5345926708,False,28,5.0,2.0,False,,0,2.0,L,NULL,NULL,NULL
26,28,184589,"이안비즈 비키니옷장 심플B형 기본형 폭 75cm, 그레이",17860,145599848,True,5,3.5,82.0,False,이안비즈,0,26.0,NULL,NULL,NULL,NULL
27,29,184589,"[삼익가구]원더 3단 서랍형 키큰 옷장 800, 화이트",159000,4581493680,False,46,5.0,7.0,False,삼익가구,착불배송,7.0,NULL,NULL,NULL,NULL
28,30,184589,"이안비즈 비키니옷장 심플C형 기본형 폭 60cm, 네이비",16970,145599853,True,0,4.0,164.0,False,이안비즈,0,66.0,60 x 50 x 160cm,네이비,플라스틱,NULL
29,31,184589,"[삼익가구]원더 초대형 키큰 옷장 1000(행거형A타입), 화이트",149000,4581494489,False,50,4.5,13.0,False,삼익가구,착불배송,13.0,NULL,NULL,NULL,NULL
