,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,색상,재질,인테리어,행거 종류,행거 타입,거울
0,1,184600,"영일에이치비 넘버원 선반형 이동식 행거, 블랙+화이트",19800,5257527,True,41,4.5,8212.0,False,,0.0,1643.0,95 x 44 x 100~160 cm,화이트,철제,NULL,NULL,NULL,NULL
1,2,184600,"올리빙 나무 스탠드 옷걸이, 나무 화이트",10500,112040,True,56,4.0,10686.0,False,올리빙,0.0,2513.0,170 x 35 cm,화이트,철제,모던/심플,NULL,NULL,NULL
2,3,184600,"트레벨 그란데 더블스탠드 행거, 블랙",23600,261421309,True,8,4.5,2474.0,False,트레벨,0.0,1568.0,140 x 57 x 150cm,블랙,철제,NULL,NULL,NULL,NULL
3,4,184600,"코멧 홈 베이직 스탠드행거, 블랙",12220,1676362802,True,27,4.5,2263.0,False,코멧,0.0,2266.0,105 x 37 x 155 cm,블랙,NULL,모던/심플,스탠드/이동식,NULL,NULL
4,5,184600,"가화홈시스 기본형 3단 수납바구니 옷걸이 행거 N3LB3302, 기둥(아이보리) + 부품(검정)",37370,205424051,True,0,4.5,808.0,False,가화홈시스,0.0,709.0,NULL,NULL,NULL,NULL,설치형,NULL,NULL
5,6,184600,"실속형 튼튼 2단 행거, 블랙",14710,4698413208,True,11,4.0,146.0,False,,0.0,146.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,7,184600,"트레벨 수납 1단 사다리 고정행거 9009, 블랙",12900,13294220,True,4,4.0,9116.0,False,트레벨,0.0,1824.0,66 x 38 x 120 cm,블랙,철제,NULL,NULL,NULL,NULL
7,9,184600,"넘버원 와이드 2단 행거, 블랙",36800,1421638352,True,0,4.5,883.0,False,,0.0,877.0,NULL,NULL,NULL,NULL,설치형,NULL,NULL
8,10,184600,"가화홈시스 기본형 5단 수납바구니 옷걸이 행거 N3LB4502, 기둥(아이보리) + 부품(검정)",46870,205424035,True,3,4.5,874.0,False,가화홈시스,0.0,703.0,NULL,NULL,NULL,NULL,설치형,NULL,NULL
9,11,184600,"프라임행거 엘스옷걸이 TC-286, 화이트",27420,2114769,True,14,4.5,2485.0,False,,0.0,767.0,높이 175cm x 너비 45cm,화이트,철제,모던/심플,NULL,NULL,NULL
10,12,184600,"코멧 싱글 레일 높이조절 이동식 행거, 화이트",13900,1960906253,True,48,4.0,504.0,False,코멧,0.0,504.0,NULL,NULL,스테인리스,모던/심플,NULL,NULL,NULL
11,13,184600,"프라임행거 심플 2단 조절행거 28mm, 아이보리함마분체도장, 기타(블랙)",26640,175224832,True,13,4.0,908.0,False,,0.0,471.0,75~130 x 170~280 cm,화이트,철제,NULL,NULL,NULL,NULL
12,14,184600,"넘버원 폴 행거, 화이트",17800,1204547413,True,0,4.5,820.0,False,,0.0,775.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,15,184600,트레벨 38파이 2단 행거,27100,350833,True,2,4.5,1134.0,False,트레벨,0.0,503.0,120 x 260 cm,화이트,철제,NULL,NULL,NULL,NULL
14,16,184600,"정리인행거 심플리프 스탠드 행거 105, White",17310,224459998,True,4,4.5,539.0,False,,0.0,539.0,NULL,NULL,NULL,NULL,스탠드/이동식,NULL,NULL
15,17,184600,"룸인하우스 32mm 2단 행거, 화이트",17300,167220612,True,23,4.5,1341.0,False,텐바이텐,0.0,826.0,180~245 x 75~135 cm,화이트,철제,NULL,NULL,NULL,NULL
16,18,184600,"아이리스 프리미엄 모던 선반 스탠드 행거 PI-B3, 블랙",59900,22443536,True,6,4.5,2062.0,False,아이리스,0.0,709.0,101 x 40 x 150 cm,블랙,철제,NULL,NULL,NULL,NULL
17,20,184600,"이지 멀티 행거 2단 38mm, 혼합색상",26020,1581653119,True,4,4.0,277.0,False,,0.0,277.0,NULL,NULL,NULL,NULL,설치형,NULL,NULL
18,21,184600,"네이쳐리빙 논슬립 2단 바지걸이 카트형 행거, 혼합색상",28900,68162916,True,17,4.5,1073.0,False,네이쳐리빙,0.0,294.0,76 x 36 x 79 cm,그레이,스틸 + PVC + PP,NULL,NULL,NULL,NULL
