,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,색상,재질,형태,바퀴
0,1,184625,"오에이데스크 사각 테이블 소, 블랙",19410,51410182,True,23,4.5,2314.0,False,,0,1142.0,60 x 40 x 71 cm,블랙,합성목재,직사각형,NULL
1,2,184625,올리빙 원목 다용도 협탁 미니 테이블,17900,1704138952,True,0,4.0,728.0,False,올리빙,0,729.0,NULL,NULL,NULL,NULL,NULL
2,3,184625,"픽차 다용도 접이식 테이블, 블랙",37400,1321996501,True,14,4.5,273.0,False,,0,230.0,NULL,NULL,NULL,NULL,NULL
3,4,184625,"오에이데스크 소프트 테이블, 블랙",12090,51410172,True,49,4.5,582.0,False,,0,330.0,52 x 37.5 x 66 cm,블랙,PVC,직사각형,NULL
4,5,184625,오에이데스크 접이식 사각 테이블 대 우드,18850,51410197,True,45,4.5,2248.0,False,,0,1038.0,80 x 50 x 71.5 cm,베이지,합성목재,직사각형,NULL
5,6,184625,"리빙힙 팬지 선반 테이블, 화이트",48200,180956877,True,33,4.5,1195.0,False,리빙힙,0,402.0,90cm x 53cm x 32cm,화이트,합성목재,타원형,NULL
6,7,184625,"오에이데스크 이동식 사이드테이블 소 OT211, 화이트우드",16970,88514401,True,40,3.5,862.0,False,몽돌,0,463.0,60 x 40 x 68~94 cm,베이지,MDF,직사각형,NULL
7,8,184625,"샤바스 스칸디나 좌식 테이블 1200, 블랙프레임",32900,2166607826,True,28,4.5,396.0,False,샤바스,0,396.0,NULL,NULL,NULL,NULL,NULL
8,9,184625,"원목 강화유리 협탁, 내츄럴",21000,1357025287,False,0,4.5,127.0,False,제이픽스,0,128.0,NULL,NULL,NULL,NULL,NULL
9,11,184625,"IYES 이동식 원목 사이드 테이블 IY-306, 블랙",20150,1179844013,True,0,4.5,281.0,False,,0,270.0,NULL,NULL,NULL,NULL,바퀴있음
10,12,184625,"제이디퍼니처 고급 2단 협탁 서랍형, 메이플화이트",23900,1010910,True,0,4.5,2070.0,False,제이디퍼니처,0,469.0,400 x 370 x 424 mm,베이지,합성목재,NULL,NULL
11,13,184625,"스토리퍼니쳐 스노우보드 테이블 LPM 대형, 화이트마블",35030,1628432460,True,9,4.5,375.0,False,,0,375.0,NULL,NULL,NULL,NULL,NULL
12,14,184625,"제이디퍼니처 로미 발통형 3단 협탁, 메이플 + 화이트",26000,1486599,True,0,4.0,985.0,False,제이디퍼니처,0,259.0,400 x 370 x 480 mm,화이트,합성목재,NULL,NULL
13,15,184625,"코멧 사이드 테이블, 블랙",14850,2145428909,True,30,4.0,121.0,False,코멧,0,121.0,NULL,NULL,NULL,NULL,NULL
14,16,184625,"오에이데스크 이동식 사이드테이블 소 OT128, 블랙",17120,331846155,True,2,3.5,483.0,False,,0,448.0,NULL,NULL,NULL,NULL,NULL
15,17,184625,"이케아 크나레비크 침대 협탁, 블랙",17500,1847029457,True,0,4.5,99.0,False,이케아,0,97.0,NULL,NULL,NULL,NULL,NULL
16,18,184625,"마켓비 DUGED 사이드테이블 KS1032TB, 화이트",16900,13707019,True,3,4.0,595.0,False,마켓비,0,284.0,48 x 37 x 60 cm,화이트,NULL,직사각형,바퀴없음
