,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,색상,재질,인테리어
0,1,184670,"테이블 아크릴 칸막이( 600x450 두께 3T ) 미끄럼방지 발판 빠른배송 투명 아크릴 가림막, 투명 미끄럼방지 실리콘 발판",14200,5024367285,False,52,5.0,105.0,False,,0,105.0,NULL,아크릴,모던/심플
1,2,184670,"까사마루 다용도 매직파티션 + 악세서리 7종 세트, 화이트",51980,151028945,True,10,4.5,1204.0,False,까사마루,0,406.0,화이트,철제,NULL
2,3,184670,"영오 개인위생 다용도 가림판 대형, 투명, 10개",23250,1609457084,True,0,4.5,196.0,False,,0,196.0,투명,NULL,NULL
3,4,184670,"[높이700*600두께 3T] 대형 테이블 아크릴 칸막이 탈부착이 자유로운 특허출원 가림막, 높이70cm두께3mm, 십자발판",26400,5170976583,False,47,4.5,29.0,False,,0,29.0,NULL,NULL,NULL
4,5,184670,[600 X 450 3T] 투명 아크릴 칸막이 가림막 식당 업소용 회의실 학교 일자형 비말차단,14200,5413348864,False,64,5.0,6.0,False,,0,6.0,NULL,NULL,NULL
5,6,184670,"영오 개인위생 다용도 가림판 소형, 투명, 10개",18160,1629936043,True,10,4.5,40.0,False,,0,40.0,투명,NULL,NULL
6,7,184670,"에코팩토리 인테리어 파티션 핸드메이드 라탄 칸막이 공간분리 가벽, [B-중형]120x150cm라탄올:화이트",54900,1274762940,False,28,4.5,260.0,False,에코팩토리,0,224.0,NULL,라탄,모던/심플
7,8,184670,"베스트리빙 격자원목 4단 파티션, 블랙",178000,29716987,False,0,4.5,188.0,False,베스트리빙,0,33.0,블랙,원목,NULL
8,9,184670,"까사마루 다용도 매직 파티션, 블랙",39800,47423608,True,43,4.5,779.0,False,까사마루,0,218.0,블랙,철제,NULL
9,10,184670,투명방탄아크릴 PC 칸막이 가림막 식당 병원 학교 파티션,15400,5244759013,False,0,5.0,12.0,False,,0,12.0,NULL,NULL,NULL
10,12,184670,"아크릴가림막 가림판 가림막 파티션 칸막이 (창구형 일반형), 창구형",11900,4759501259,False,0,5.0,66.0,False,,0,66.0,NULL,NULL,NULL
11,14,184670,"리빙엔터 인테리어파티션 라탄파티션 칸막이 가리개 가림막 병풍 공간분리 자바라칸막이, 2단(중형)80×150cm:브라운",28500,176849962,False,0,4.0,209.0,False,,0,113.0,NULL,특수목공예용지,NULL
12,15,184670,책상 가림막 가림막 식당 칸막이 독서실칸막이 테이블가림막 칸막이 책상 칸막이,18900,2256210148,False,10,4.5,96.0,False,,"3,500",96.0,NULL,NULL,NULL
13,16,184670,"테이블 크기별 가능한 식당가림막 구내식당 가림막 식당칸막이 비말 칸막이 코로나칸막이 음식점 전용 칸막이 상품, 수저통 개방 칸막이",27000,4511439789,False,18,4.5,37.0,False,,"3,500",37.0,NULL,NULL,NULL
14,17,184670,"까사마루 매직파티션 세트 대형, 화이트",69000,1702713767,True,1,5.0,75.0,False,까사마루,0,76.0,NULL,NULL,NULL
15,19,184670,"해피데이 4단 필라 중 파티션, 커피",38300,580091,False,0,4.0,200.0,False,해피데이,착불배송,45.0,브라운,원목,NULL
16,22,184670,"요고바라 라탄 4단 대형 파티션 원형, 커피",60720,2091482960,True,0,5.0,3.0,False,,0,3.0,NULL,NULL,NULL
17,23,184670,"제사용 6폭 병풍 반야 의제산수화 + 커버 랜덤발송, 1세트",103050,1312264235,True,3,4.5,45.0,False,,0,38.0,NULL,NULL,NULL
18,24,184670,"베스트리빙 클라우드 대나무 3단 파티션 XGB-1891-1, 내츄럴",125260,1609282698,True,1,4.5,16.0,False,베스트리빙,0,16.0,NULL,NULL,NULL
19,25,184670,"까사마루 매직파티션 세트 소형, 화이트",44900,1702713788,True,6,4.5,32.0,False,까사마루,0,32.0,NULL,NULL,NULL
20,26,184670,"더준 클래식 인테리어 원목 파티션 병풍 1칸, 40X180 1개",26000,1690310320,False,0,4.5,11.0,False,더준,0,11.0,원목,원목,클래식/엔틱
21,27,184670,"남원공방 6폭 추사 산수화 병풍 + 커버 랜덤발송 + 바닦 고정고무, 1세트",101370,2039517661,True,6,4.5,9.0,False,남원은행공방,0,8.0,NULL,NULL,NULL
22,28,184670,[600 X 450 3T] 반투명 아크릴 칸막이 가림막 식당 업소용 회의실 학교 일자형,14200,5503724310,False,76,5.0,1.0,False,,0,1.0,NULL,NULL,NULL
23,29,184670,"즐거운집 고급 양면 6폭 병풍 추사 + 사군자 세트, 1세트",119000,1397036481,True,0,4.5,12.0,False,즐거운집,0,12.0,NULL,NULL,NULL
24,30,184670,[700 X 600 3T] 반투명 아크릴 칸막이 가림막 식당 업소용 회의실 학교 일자형,26400,5503706308,False,56,5.0,5.0,False,,0,5.0,NULL,NULL,NULL
25,31,184670,"더준 수능칸막이 수능가림막 식당칸막이 책상가림막, 중형(40x30)",4800,2322914609,False,4,4.0,24.0,False,더준,"3,000",24.0,투명,철제,모던/심플
26,32,184670,"공간 분리 파티션 이동식 인테리어 낮은 칸막이 원룸, 공간파티션_2단(WWH3019)",34400,5360085288,False,0,1.0,1.0,False,,0,1.0,블랙,NULL,모던/심플
27,33,184670,"베스트리빙 대청원목 4단 파티션, 내츄럴",77360,29716979,True,3,4.5,81.0,False,베스트리빙,0,25.0,베이지,원목,NULL
28,34,184670,"가구야히메 원목 갤러리 패널파티션 파티션, 갤러리패널2단-화이트",77000,102260245,False,12,4.5,80.0,False,가구야히메,0,48.0,화이트,원목,NULL
29,35,184670,"남원목기 옥비단 산수화 반야심경 6폭 병풍, 1세트",126900,6419556,True,36,4.5,54.0,False,,0,14.0,NULL,비단(실크),NULL
30,38,184670,"[전국무료배송+수도권 5일 로켓배송] 포더홈 레인 인테리어 공간분리 가벽 파티션 셀프인테리어 인테리어가벽 원목파티션 줄무늬 이케아st, 화이트",69900,4854857540,False,67,5.0,21.0,False,포더홈,0,21.0,화이트,합성목재,모던/심플
31,39,184670,"데코지엔 공간분리 칸막이 미니 파티션, 미니4단파티션 화이트",137000,1229174271,False,0,4.5,57.0,False,,착불배송,33.0,NULL,NULL,NULL
32,40,184670,"홀딩도어 자바라 A타입, 01.홀딩 A-홀겹 화이트, 개폐방식-4.양중개",950,9517331,False,0,4.5,51.0,False,리빙텍스,0,19.0,NULL,PVC플라스틱,NULL
33,41,184670,"블라인드할인몰 칼라홀딩도어 14칼라, 02그레이, 배송요구사항에 기재(가로x세로 작동방식 나사)",600,8408900,False,25,4.5,245.0,False,,0,43.0,NULL,PVC,모던/심플
34,42,184670,"베스트리빙 애슐리 3단 파티션, 화이트크림",168000,29716992,False,0,3.5,93.0,False,,,40.0,NULL,NULL,NULL
35,43,184670,"[600*450 두께 3T] 투명아크릴가림막 식당용칸막이 실리콘패드미끄럼방지발판, 십자발판(실리콘발판), 600*450",14200,5444250255,False,52,5.0,45.0,False,,0,46.0,NULL,NULL,NULL
