,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,색상,재질,소재,인테리어,방식,각도조절
0,1,184624,"클레어마망 리클라이너 의자 + 바디쿠션 + 서브 테이블 + 헤드쿠션, 브라운",112000,222525503,False,0,4.5,1282.0,False,클레어마망,0,744.0,65.5 x 75.5 x 163cm,브라운,NULL,NULL,NULL,수동레버식,각도조절 가능
1,2,184624,"라꾸라꾸 리클라이너 체어 CBK-700, 블랙 + 실버 프레임",52210,108451175,True,5,4.5,527.0,False,라꾸라꾸,0,174.0,one size,블랙,철제,NULL,NULL,NULL,NULL
2,3,184624,"1인용 리클라이너 힐링의자 무중력 처럼 편안한 안락의자, 1. 리클라이너 힐링의자",39900,4774841094,False,0,4.5,24.0,False,,0,24.0,NULL,블랙,NULL,NULL,NULL,하중반응식,각도조절 가능
3,4,184624,"라꾸라꾸 리클라이너 프리미엄 의자 CBK-750, 블랙 + 그레이",75000,175262564,True,0,4.5,278.0,False,,0,101.0,670 x 810 x 1130 mm,블랙,철제,NULL,NULL,NULL,NULL
4,5,184624,"클렙튼 무중력 전동 1인 리클라이너 8005 방문설치, 라이트브라운",310300,2005443388,True,7,4.0,45.0,False,클렙튼,0,45.0,NULL,NULL,NULL,인조/천연가죽,모던/심플,방문설치,NULL
5,6,184624,"삼익가구 릴링 USB 4인용 전동 리클라이너 양방향 가죽소파 방문설치, 머드그레이",858030,1829493731,True,1,4.5,130.0,False,삼익가구,0,87.0,NULL,NULL,NULL,인조/천연가죽,모던/심플,방문설치,NULL
6,7,184624,"[동서가구]LV 사무용 리클라이너 침대형의자 3종, 선택2_아레스 1인 침대사무의자[908119]-블랙",115900,44587761,False,20,4.0,27.0,False,동서가구,0,11.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,8,184624,"한샘 휴 조이 회전 틸팅형 좌식 리클라이너, 그레이",62800,1929276601,True,19,4.5,32.0,False,한샘,0,32.0,NULL,NULL,NULL,패브릭,모던/심플,NULL,NULL
8,9,184624,"클렙튼 무중력 전동 1인 리클라이너 8002 방문설치, 브라운",292800,2005443442,True,0,5.0,23.0,False,클렙튼,0,23.0,NULL,NULL,NULL,인조/천연가죽,모던/심플,방문설치,NULL
9,10,184624,"블루밍홈 패브릭 접이식 슈프림 좌식의자, 브라운",61900,1097232,True,18,4.0,97.0,False,블루밍홈,0,27.0,W 670mm x D 460mm x H 600mm,브라운,패브릭,NULL,NULL,NULL,각도조절 가능
10,11,184624,"썬퍼니처 가구 1인용 전동 리클라이너 소파 7104 가죽 USB 독립스프링 컵홀더, 7104 버튼식_라이트베이지(5월중순 순차배송)",229000,189833544,False,43,4.0,188.0,False,,착불배송,52.0,840X940X1050,베이지,인조가죽,NULL,NULL,NULL,각도조절 가능
11,12,184624,"[삼익가구]크루즈 USB 4인용 전동 리클라이너 가죽소파 쇼파(양방향), 라이트그레이",749000,95407498,False,52,4.5,370.0,False,삼익가구,착불배송,190.0,2700x760x1000,그레이,"PU가죽, PVC가죽",NULL,NULL,NULL,각도조절 가능
12,13,184624,"에보니아 파브 컵홀더 리클라이너 1인소파의자 기본 컵홀더형, 브라운_기본형",153300,224619105,False,40,5.0,8.0,False,에보니아,착불배송,7.0,NULL,NULL,NULL,인조/천연가죽,내추럴,NULL,NULL
13,14,184624,"리빙엠 접이식 1인용 좌식 팔걸이 리클라이너, 팔걸이 좌식 리클라이너세트 블루그레이",94800,200341229,False,0,4.5,18.0,False,리빙엠,0,13.0,NULL,NULL,NULL,인조/천연가죽,로맨틱,NULL,NULL
14,15,184624,"썬퍼니처 전동 리클라이너 소파 3인 4인 6인 독립스프링 오리털 USB 초생피/PU, 7104_3인용_PU베이지(5월하순 순차배송)",555000,226180268,False,40,4.5,95.0,False,썬퍼니처,착불배송,62.0,NULL,NULL,NULL,NULL,NULL,전자동식,각도조절 가능
15,16,184624,"[삼익가구]네트 1인용 리클라이너 가죽소파, 카멜",159900,4589838683,False,59,4.5,5.0,False,삼익가구,착불배송,5.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,17,184624,"썬퍼니처 전동 리클라이너 소파 3인 4인 6인 독립스프링 오리털 USB 초생피/PU, 7108_4인용_라이트그레이",759000,180353792,False,38,4.5,114.0,False,썬퍼니처,착불배송,96.0,2700X770X1000,그레이,초생피,NULL,NULL,NULL,각도조절 가능
17,18,184624,"[삼익가구]알파인 1인용 리클라이너 가죽소파, 베이지",199900,1684820529,False,59,4.0,8.0,False,삼익가구,착불배송,8.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,20,184624,"썬퍼니처 3인용 4인용 6인용 체이스 리클라이너 소파 수납형 카우치, 착석시 우형카우치_4인용_아이보리(6월하순 순차배송)",769000,324237909,False,3,4.5,162.0,False,썬퍼니처,착불배송,125.0,NULL,NULL,NULL,NULL,모던/심플,전자동식,각도조절 가능
19,21,184624,"풍원 1인용 안락의자 42단조절 리클라이너 등받이좌식의자 좌식의자, 제로(ZERO) 좌식리클라이너/네이비",89000,229417501,False,0,4.0,26.0,False,풍원,0,17.0,NULL,NULL,NULL,패브릭,모던/심플,NULL,NULL
20,22,184624,"에보니아 리클라이너 회전의자 140 + 스툴, 카푸치노",272420,1825009459,True,13,4.0,10.0,False,에보니아,0,10.0,NULL,NULL,NULL,인조/천연가죽,모던/심플,NULL,NULL
21,23,184624,"댄디 리클라이너 게이밍의자, 댄디리클라이너_블루",69500,2210838090,False,53,4.0,15.0,False,브노오,"20,000",15.0,NULL,NULL,NULL,패브릭,북유럽,NULL,NULL
22,24,184624,"[한샘] 휴 회전형 좌식 리클라이너 (2종/택1), 그레이(A)",119000,4695923133,False,23,5.0,3.0,False,한샘,0,3.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
