,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,단,재질,형태
0,1,434960,"리빙톡 조립식 신발정리함 10개입, 크림화이트 10개",19400,4952275105,True,24,4.0,186.0,False,,0,188.0,NULL,NULL,NULL
1,2,434960,"디자인룸즈 심플 와이드 다용도 신발수납장 12족, 1개",10070,2575204,True,7,4.5,4841.0,False,,0,852.0,5~6단,폴리프로필렌(PP),일자형
2,3,434960,"해피홈 룸트 슬림 신발정리대 10단 블랙, 1개",12470,44853835,True,16,4.5,498.0,False,,0,294.0,10단,폴리프로필렌(PP),일자형
3,4,434960,"까사마루 린다 신발장, 1개",11900,1710997697,True,45,4.5,145.0,False,까사마루,0,145.0,NULL,NULL,NULL
4,5,434960,"데코 더블 신발정리대, 10개",9300,99640,False,0,4.0,1324.0,False,,0,343.0,1단,폴리프로필렌(PP),일자형
5,6,434960,"아이홈 싱글 6단 신발정리대, 1개",9500,48683560,False,31,4.5,1250.0,False,,0,516.0,6단,폴리프로필렌(PP),일자형
6,7,434960,"접이식 실내화정리대 4단 화이트, 1개",7900,504923,True,10,4.5,1674.0,False,,0,392.0,3~4단,강철/철제,일자형
7,8,434960,"조립식 투명 신발정리함 10개 1세트 신발정리대, 기본형 신발정리함 블랙 1세트(10개)",11900,4517059807,False,29,3.0,47.0,False,,0,23.0,NULL,폴리프로필렌(PP),박스형
8,9,434960,"페어프랜즈 2단 원목 벤치 겸 신발정리대 중, 1개",34000,2575592,False,0,4.5,392.0,False,,0,114.0,2단,원목/우드,일자형
9,10,434960,"드림 1+1 슬리퍼 걸이 II 욕실화 실내화 신발 거치대 현관 정리 용품 홀더 슈즈랙 꽂이, 1개",5300,300200729,False,0,4.5,87.0,False,드림,0,79.0,NULL,NULL,NULL
10,11,434960,"다용도 5단 신발 수납장 블랙, 1개",11310,1463810006,False,43,4.5,131.0,False,,0,129.0,NULL,NULL,NULL
11,12,434960,"노바리빙 모던 심플 신발정리대 블랙, 1개",31900,1448720120,True,0,4.5,267.0,False,노바리빙,0,260.0,NULL,NULL,NULL
12,13,434960,"홈앤하우스 너도밤나무 벤치 겸 신발정리대, 1개",33900,1807007852,True,15,5.0,77.0,False,홈앤하우스,0,77.0,3단,강철/철제,일자형
13,14,434960,"THE클래스 6단 와이드 신발장, 1개",9630,170076262,True,49,5.0,161.0,False,,0,127.0,NULL,NULL,NULL
14,15,434960,"DIY 신발정리대 5단 최대18켤레, 1개",11900,1377010336,True,14,4.5,75.0,False,,0,71.0,NULL,NULL,NULL
15,16,434960,"아이홈 싱글 10단 신발정리대, 1개",11460,48683564,True,42,4.5,574.0,False,,0,198.0,10단,폴리프로필렌(PP),일자형
16,17,434960,"아이리스 투명 플라스틱 신발 정리함 NSB-M340, 4개",22120,290762385,True,0,4.5,274.0,False,아이리스,0,188.0,NULL,NULL,NULL
17,18,434960,"부자오빠 조립식 투명신발정리함 신발상자, 1개",880,1826419196,False,26,4.0,30.0,False,부자오빠,"2,500",30.0,1개,플라스틱,일자형
18,19,434960,"룸트 슬림 신발정리대 10단 차콜그레이, 1개",18900,1680304462,False,0,4.5,10.0,False,,0,10.0,NULL,NULL,NULL
19,20,434960,"더리빙 9단 조립식 신발장 그레이, 1개",7600,212247516,False,62,4.0,489.0,False,,0,159.0,9단,부직포,일자형
20,21,434960,"리빙톡 조립식 플라스틱 투명 신발정리함 10개 1세트 화이트 신발정리대, 10개입",19800,1621164217,False,23,4.0,315.0,False,,0,315.0,NULL,NULL,NULL
21,22,434960,"리츠 신발 정리 보관함, 투명 6개",63000,2348231671,False,16,4.5,36.0,False,,0,33.0,NULL,NULL,NULL
22,23,434960,"네이쳐리빙 심플 와이어 실내화 정리대 블랙, 1개",6500,144909173,True,26,4.5,98.0,False,네이쳐리빙,0,34.0,NULL,강철/철제,NULL
23,24,434960,"해피홈 룸트 슬림 신발 정리대 6단 블랙, 1개",13900,44853834,False,0,4.5,512.0,False,,0,95.0,6단,폴리프로필렌(PP),일자형
24,25,434960,"DIY 신발정리대 4단 최대15켤레, 1개",9900,1377010333,True,0,4.5,123.0,False,,0,118.0,NULL,NULL,NULL
25,26,434960,"키즈 슈즈렉 신발정리 보관함 좁은현관 신발장, 팬더",9900,267848831,False,16,4.5,26.0,False,더에르고,0,24.0,NULL,NULL,NULL
26,27,434960,"리빙톡 조립식 투명 신발정리함 12개 1세트 화이트 대 33x23x14.5cm 신발정리대, 12개입",20700,5302345480,False,13,4.0,1706.0,False,,0,1283.0,NULL,NULL,NULL
27,28,434960,"[1+1] 현관을 깔끔하게 벽부착 슬리퍼 거치대, 연그레이, 연그레이",4500,5151657754,False,33,5.0,31.0,False,,0,32.0,NULL,NULL,NULL
28,29,434960,"페어프렌즈 슬리퍼걸이 3단 화이트, 1개",7710,4315984561,True,13,5.0,18.0,False,,0,18.0,NULL,NULL,NULL
29,30,434960,"룸트 슬림 신발정리대 6단 화이트, 1개",17520,1680304288,False,11,5.0,38.0,False,,0,38.0,NULL,NULL,NULL
30,31,434960,"룸트 슬림 신발정리대 10단 화이트, 1개",25440,1680304284,False,11,4.0,33.0,False,,0,33.0,NULL,NULL,NULL
31,32,434960,올댓세일 현관 신발거치대 신발정리대 3개,10500,180532115,False,0,4.5,249.0,False,,0,96.0,NULL,플라스틱,NULL
32,33,434960,"네이처리빙 접이식 3단 실내화정리대 화이트, 1개",5550,4847523519,True,30,4.5,195.0,False,네이쳐리빙,0,32.0,3단,강철/철제,일자형
33,34,434960,"리빙톡 조립식 투명 신발정리함 5개, 화이트5개",9900,5464629102,False,28,4.5,16.0,False,,0,16.0,NULL,플라스틱,NULL
34,35,434960,"벽부착 2단 슬리퍼거치대, 블랙",4490,184554596,False,58,4.5,117.0,False,,0,86.0,0없음,별도표기,별도표기
35,36,434960,"네이처리빙 접이식 3단 실내화정리대 블랙, 1개",5550,212518,True,30,4.5,639.0,False,네이쳐리빙,0,137.0,3~4단,강철/철제,일자형
36,37,434960,"네이쳐리빙 심플 와이어 실내화 정리대 화이트, 1개",8400,144909174,False,20,4.0,72.0,False,네이쳐리빙,0,25.0,NULL,강철/철제,NULL
37,38,434960,"[투빌] 플라스틱 신발장 프리미엄 고급 신발보관함 신발케이스 슈케이스 슈즈와이드 슈박스 김신영신발장 이상민신발장, 화이트",5900,4397781277,False,50,4.5,24.0,False,더리빙,"2,500",24.0,NULL,NULL,NULL
38,39,434960,"룸트 슬림 신발정리대 6단 차콜그레이, 1개",13900,1680304277,False,0,4.5,16.0,False,,0,16.0,NULL,NULL,NULL
39,40,434960,"THE클래스 심플 6단 신발장, 1개",7690,170023845,True,48,4.5,215.0,False,,0,132.0,NULL,NULL,NULL
40,41,434960,"스토피아 간편조립 10단 신발수납장, 1개",14160,1364202,True,0,4.5,307.0,False,스토피아,0,83.0,5단 이상,폴리프로필렌(PP),일자형
41,42,434960,"유니엘 분리형 10단 신발장, 1개",19060,1683791866,True,12,4.0,174.0,False,유니엘,0,43.0,NULL,NULL,NULL
42,43,434960,"1+1 리츠 신발 정리 보관함, 1번",21500,2129422810,False,8,4.5,75.0,False,리츠,0,70.0,NULL,NULL,NULL
43,44,434960,"DIY 신발정리대 3단 최대12켤레, 1개",8900,1377010397,True,0,4.5,92.0,False,,0,88.0,NULL,NULL,NULL
44,45,434960,"룸트 지그재그 신발정리대 11단 화이트, 1개",14900,1680304658,True,0,4.5,15.0,False,,0,15.0,NULL,NULL,NULL
45,46,434960,"힐로 다용도 만능 벽걸이 슬리퍼 수납 냄비 신발 걸이 x 3개, 스카이 x 3개",9900,2107670812,False,0,4.5,199.0,False,,0,200.0,NULL,NULL,NULL
46,47,434960,"인터바겐 좁은 아파트 현관 간이 미니 철제 신발장 신발 거치대 정리대 슈즈렉 슈즈랙, 1개",6900,290647838,False,54,4.5,29.0,False,,0,24.0,NULL,NULL,NULL
47,48,434960,"네이쳐리빙 스틸 접이식 실내화걸이(3단), 화이트",7900,104782520,False,11,4.5,64.0,False,네이쳐리빙,0,20.0,NULL,NULL,NULL
48,49,434960,"또사자 다용도 수납선반 브라운, 1개",7570,265780644,True,4,4.0,24.0,False,,0,15.0,NULL,NULL,NULL
