,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,색상,재질,인테리어
0,1,184615,올리빙 원목 다용도 협탁 미니 테이블,17900,1704138952,True,0,4.0,728.0,False,올리빙,0,729.0,NULL,NULL,NULL,NULL
1,2,184615,"원목 강화유리 협탁, 내츄럴",21000,1357025287,False,0,4.5,127.0,False,제이픽스,0,127.0,NULL,NULL,NULL,NULL
2,3,184615,"제이디퍼니처 고급 2단 협탁 서랍형, 메이플화이트",23900,1010910,True,0,4.5,2070.0,False,제이디퍼니처,0,469.0,400 x 370 x 424 mm,베이지,합성목재,NULL
3,4,184615,원목 협탁 테이블,16900,1744876464,True,0,4.5,223.0,False,,0,223.0,NULL,NULL,NULL,NULL
4,5,184615,"제이디퍼니처 로미 발통형 3단 협탁, 메이플 + 화이트",26000,1486599,True,0,4.0,985.0,False,제이디퍼니처,0,259.0,400 x 370 x 480 mm,화이트,합성목재,NULL
5,6,184615,"이케아 크나레비크 침대 협탁, 블랙",17500,1847029457,True,0,4.5,99.0,False,이케아,0,97.0,NULL,NULL,NULL,NULL
6,7,184615,"제이디퍼니처 로미 3단 서랍형 협탁, 아카시아화이트",22900,1486595,True,0,4.0,3054.0,False,제이디퍼니처,0,718.0,400 x 370 x 445mm,멀티(혼합)컬러,합성목재,NULL
7,8,184615,"핸즈퍼니쳐 리치 2단 협탁, 화이트",17700,9646663,True,0,4.0,768.0,False,핸즈퍼니쳐,0,296.0,400 x 400 x 300 mm,화이트,합성목재,NULL
8,9,184615,"비오니 사이드테이블 미니탁자 침대협탁 간이테이블 인테리어 집꾸미기 수납탁자, 화이트",13800,4947567765,False,1,4.0,23.0,False,,"3,000",23.0,NULL,NULL,NULL,NULL
9,10,184615,"코시나 데일리 원목 미니 협탁, 네추럴우드",23900,1795680583,False,0,4.5,128.0,False,코시나,0,128.0,NULL,NULL,NULL,NULL
10,11,184615,"제이디퍼니처 로미 2단 서랍형 협탁, 아카시아화이트",17500,1486594,True,0,4.5,1184.0,False,제이디퍼니처,0,277.0,400 x 370 x 305 mm,브라운,합성목재,NULL
11,12,184615,올리빙 원목 서랍 테이블,29900,4671166196,True,0,4.0,58.0,False,올리빙,0,58.0,NULL,NULL,NULL,NULL
12,13,184615,"모노먼트 화이트우드 2단 다용도 선반 소 500, 혼합색상",15530,1741133203,True,8,4.0,138.0,False,모노먼트,0,138.0,NULL,NULL,NULL,NULL
13,14,184615,"AND 강화유리 원목 침대협탁 JL7001, 내추럴",25410,1299017069,True,20,4.5,201.0,False,,0,197.0,NULL,NULL,NULL,NULL
14,15,184615,"제이디퍼니처 로미 발통형 2단 협탁, 매플화이트",19800,1486598,True,12,4.5,1001.0,False,제이디퍼니처,0,162.0,400 x 370 x 340 mm,베이지,합성목재,NULL
15,16,184615,"비니원목협탁 + 라탄바구니, 그레이",33630,1203754912,True,0,4.5,82.0,False,,0,79.0,NULL,NULL,NULL,NULL
16,17,184615,"핸즈퍼니쳐 리치3단 협탁, 화이트",25000,9646664,True,0,4.0,497.0,False,핸즈퍼니쳐,0,162.0,470 x 400 x 400 mm,화이트,합성목재,NULL
17,18,184615,"제우스 DIY 오픈협탁수납장, 매플화이트",17430,164487841,True,11,4.0,532.0,False,제우스,0,194.0,400 x 340 x 430 mm,화이트,NULL,모던/심플
18,21,184615,"마켓비 MILKAM 슬라이딩 수납함 SHM3434, 캄포어베니어",31000,285529358,False,0,4.5,161.0,False,마켓비,0,140.0,NULL,NULL,NULL,NULL
19,22,184615,"핸즈퍼니쳐 리치 높은 3단 협탁, 화이트",27100,9646669,True,0,4.0,797.0,False,핸즈퍼니쳐,0,198.0,400 x 400 x 510 mm,화이트,합성목재,NULL
20,23,184615,"에스엔가구 공간협탁 C타입 침대협탁 2단서랍장, 화이트",37900,1322715368,False,0,4.5,85.0,False,,0,75.0,NULL,NULL,NULL,NULL
21,25,184615,제이에스리빙 쇼파 베드 침실 거실 보조 간이 선반 미니 서랍장 수납장 사이드 테이블 거실 침실 엔틱 원목 우드 침대 협탁 침대옆 다용도 이동식 2단 3단 J6988 32x70x24,39500,1950792946,False,31,2.5,20.0,False,,0,20.0,NULL,우드,MDF,내추럴
22,26,184615,"홈앤미 포미 협탁, 혼합색상",33000,1379472834,True,0,5.0,143.0,False,홈앤미,0,139.0,NULL,NULL,NULL,NULL
23,29,184615,"제우스가구 심플 미니 협탁, 화이트네이비",17900,4841483255,True,0,4.0,11.0,False,,0,11.0,400 x 340 x 362 mm,NULL,NULL,NULL
24,31,184615,"보네르퍼니처 원목협탁, 네츄럴",48890,2152650,True,12,4.5,244.0,False,,0,77.0,400 x 300 x 545 mm,베이지,원목,NULL
25,34,184615,"하이앤드리 디아망 미니 좁은공간 원룸 자취생 2단 북유럽 미니멀 침대옆협탁 거실 침대 협탁, 화이트",18900,2299728465,False,63,4.5,30.0,False,,착불배송,30.0,NULL,화이트,NULL,모던/심플
26,35,184615,"블루밍홈 에셈 협탁, 오크",29900,2353650791,True,0,4.0,4.0,False,블루밍홈,0,4.0,NULL,NULL,NULL,NULL
27,39,184615,"노아가구 화이엔틱 협탁, 화이트",46540,108695892,True,12,3.5,72.0,False,노아가구,0,37.0,NULL,NULL,NULL,모던/심플
28,40,184615,"앳홈 원형 미니 테이블 겸 협탁 400, 내츄럴화이트",26500,1086051413,False,41,4.5,76.0,False,앳홈,0,60.0,NULL,NULL,NULL,NULL
29,41,184615,제이에스리빙 열쇠 잠금장치 협탁 침대 옆 미니 원목 엔틱 침실 거실 우드 선반 사이드테이블 수납장 인테리어 전면 서랍장 1단 2단 이오넬,29600,1949990402,False,0,2.5,3.0,False,,0,3.0,NULL,NULL,NULL,NULL
30,42,184615,"쇼신 템푸스 협탁 1793, A월넷",28000,1251809154,True,0,4.0,33.0,False,,0,32.0,NULL,NULL,NULL,NULL
31,44,184615,"제우스 DIY 스택 A형 협탁수납장, 올블랙",20950,164487842,True,11,4.0,299.0,False,,0,146.0,NULL,NULL,NULL,모던/심플
32,46,184615,"제이디퍼니처 고급 2단 서랍형 협탁, 화이트",23900,1486602,True,0,4.5,629.0,False,제이디퍼니처,0,92.0,400 x 370 x 424mm,화이트,합성목재,NULL
