,from selenium import webdriver ,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,색상,재질,소재,스툴,사용인원,설치,인테리어
0,from selenium.webdriver.common.desired_capabilities import DesiredCapabilities,,,,,,,,,,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,,1.0,184623.0,"인텍스 정품 에어소파 + 스툴 1인용 소파, 그레이",24600.0,63259200.0,True,0.0,4.0,2273.0,False,인텍스,0,540.0,"소파(99 x 130 x 76 cm), 스툴(64 x 28 cm)",그레이,PVC,NULL,,NULL,NULL,NULL
2,,2.0,184623.0,"[삼익가구]베르아 3인용 컵홀더 접이식 소파베드, 오트밀",129000.0,1796888337.0,False,27.0,5.0,165.0,False,삼익가구,착불배송,165.0,NULL,NULL,NULL,인조/천연가죽,NULL,3인용,NULL,모던/심플
3,,3.0,184623.0,"에보니아 [15조한정 추가할인]맥심 컵홀더 3인용쇼파베드 쇼파침대 PU가죽 3인용쇼파 각도조절, PU그레이",146200.0,1205128839.0,False,22.0,4.5,135.0,False,에보니아,착불배송,132.0,NULL,NULL,NULL,인조/천연가죽,NULL,3인용,NULL,모던/심플
4,,4.0,184623.0,"로티에 마일로 무빙헤드 3인용 가죽 소파 +스툴 /헤드틸팅 쇼파, 마일로 무빙헤드 3인용 소파 스툴포함 초코브라운",199000.0,5010458993.0,False,33.0,5.0,98.0,False,,착불배송,98.0,NULL,NULL,NULL,NULL,스툴 있음,NULL,NULL,NULL
5,,5.0,184623.0,"수오 루틴 2인용 수납 소파, 블랙",86540.0,102388536.0,True,12.0,4.0,217.0,False,수오,0,98.0,NULL,블랙,인조가죽,NULL,NULL,2인용,NULL,NULL
6,,6.0,184623.0,"웰퍼니쳐 에이든 아쿠아텍스 패브릭 3인용 소파 방문설치, 스카이블루",343000.0,1909328422.0,True,6.0,5.0,255.0,False,웰퍼니쳐,0,255.0,3인용(194 x 100 x 92 cm),블루,NULL,NULL,NULL,3인용,방문설치,로맨틱
7,,7.0,184623.0,"데코라인 링크 라텍스폼 구스다운 2인 가죽소파+스툴, 머드그레이",119000.0,1204404666.0,False,59.0,4.5,68.0,False,데코라인,착불배송,60.0,NULL,NULL,NULL,NULL,스툴 있음,2인용,NULL,모던/심플
8,,9.0,184623.0,"레브가구 헤라 3인용 가죽소파 + 쿠션 세트 방문설치, 머드그레이",328000.0,5107742562.0,True,0.0,5.0,23.0,False,,0,23.0,NULL,NULL,NULL,NULL,NULL,NULL,방문설치,NULL
9,,10.0,184623.0,"에보니아 포니 2인용 소파의자 패브릭, 브라운",96000.0,205440261.0,True,9.0,4.0,345.0,False,에보니아,0,129.0,NULL,NULL,NULL,패브릭,NULL,2인용,NULL,모던/심플
