,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,색상,재질,인테리어,바퀴,단
0,1,184614,"하우스레시피 모리노키 뱀부 2단 수납장, 내츄럴",37900,232939267,True,11,4.5,434.0,False,하우스레시피,0,349.0,41.5 x 25 x 74.5 cm,브라운,원목,NULL,NULL,2단
1,2,184614,"아이리스 2단 컬러 책장 수납장 CX-2, 프렌치오크",13900,2110017,True,0,4.0,938.0,False,아이리스,0,344.0,41.5 x 29 x 59.5 cm,베이지,합성목재,NULL,NULL,2단
2,3,184614,"룸앤홈 데일리 책장 2단 4칸, 내추럴",24860,1447586163,True,13,4.5,59.0,False,룸앤홈,0,55.0,NULL,NULL,NULL,NULL,NULL,NULL
3,4,184614,"[왕자행거] 왕자 더블기둥4단조절선반_조임식_385-1, 상세 설명 참조",57760,322903152,False,6,5.0,126.0,False,왕자행거,0,92.0,NULL,NULL,NULL,NULL,NULL,NULL
4,5,184614,"동서가구 애니 800 주방수납장 DF637955, 그레이",59900,77888313,False,49,4.5,215.0,False,동서가구,착불배송,128.0,NULL,NULL,NULL,모던/심플,NULL,NULL
5,6,184614,"SK플라스틱 플라스틱바구니 운반상자 모음 다양한 바구니, 36.우유1호 녹색",5500,345241277,False,0,4.0,19.0,False,,착불배송,17.0,NULL,NULL,NULL,NULL,NULL,NULL
6,7,184614,"아이리스 3단 책장 수납장 MDB-3K, 화이트",16900,63494375,True,10,4.0,269.0,False,아이리스,0,106.0,36.6 x 29 x 73.2 cm,화이트,합성목재,NULL,NULL,3단
7,9,184614,"유니크가구 600 수납장 다리형, 화이트",29900,78421024,False,0,4.0,158.0,False,,"5,000",94.0,NULL,NULL,NULL,모던/심플,NULL,NULL
8,10,184614,"홈퍼니 수납박스 확장형, 혼합 색상",45900,110847133,True,0,4.0,92.0,False,,0,58.0,NULL,NULL,NULL,내추럴,NULL,NULL
9,11,184614,"제우스가구 심플 미니 수납장, 올화이트",27900,4841483108,True,0,5.0,1.0,False,,0,1.0,400 x 340 x 602 mm,NULL,NULL,NULL,NULL,NULL
10,12,184614,"룸앤홈 데일리 책장 3단, 화이트",21970,1447585591,True,9,4.0,29.0,False,룸앤홈,0,29.0,NULL,NULL,NULL,NULL,NULL,NULL
11,13,184614,"마켓비 FILMON 미니수납장 4문 4242 NFM4242, 캄포어베니어",43960,1858716706,True,0,5.0,27.0,False,마켓비,0,27.0,NULL,NULL,NULL,NULL,NULL,NULL
12,14,184614,"동서가구 애니 1200 3도어 주방수납장 DF637952, 그레이",99900,77888751,False,47,4.5,122.0,False,동서가구,착불배송,54.0,NULL,NULL,NULL,모던/심플,NULL,NULL
13,15,184614,"[왕자행거] 왕자 130벌고정행거, 상세 설명 참조",40900,163729895,False,0,4.5,51.0,False,왕자행거,0,35.0,NULL,NULL,NULL,NULL,NULL,NULL
