,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,색상,재질,인테리어,가로길이,형태
0,1,184674,"아이캔컴퍼니 유러피안 LPM 라운드테이블 대 + 보호캡, 블랙",22460,152167496,True,7,4.5,3126.0,False,아이캔컴퍼니,0,1656.0,790 x 590 x 305 mm,블랙,합성목재,NULL,790mm,직사각형
1,2,184674,"그뤠잇라이프 다용도 접이식 라운딩 테이블 베드트레이, 우드",6000,141135461,False,0,4.0,3577.0,False,지음,0,3102.0,NULL,NULL,합성목재,NULL,60cm,굴곡형/3D입체
2,3,184674,"아이캔컴퍼니 LPM 4단 높이조절 베이직테이블 900, 마블",25740,152167524,True,7,4.5,2032.0,False,아이캔컴퍼니,0,1229.0,NULL,NULL,NULL,NULL,NULL,NULL
3,4,184674,"서우 네츄럴 다용도상 특대 90 x 60 cm, 오크",18250,2570336,True,20,4.5,8508.0,False,서우,0,2299.0,90 x 60 x 27.5 cm,브라운,합성목재,NULL,90cm,직사각형
4,6,184674,"스토리퍼니쳐 러블리 키높이 LPM 테이블 L 790 x 55 x 300 mm, 화이트",20320,1708921246,True,10,5.0,585.0,False,,0,588.0,NULL,NULL,NULL,NULL,NULL,NULL
5,7,184674,"룸앤홈 스마트 조립식 렌지대 4단, 오크화이트",51420,18446751,True,2,4.5,2801.0,False,룸앤홈,0,1230.0,NULL,NULL,NULL,NULL,NULL,NULL
6,8,184674,"벨라홈 LPM 샤르망 라운드 접이식테이블 1200 x 600 mm, 마블링",39900,100212276,True,1,4.5,2046.0,False,벨라홈,0,908.0,1200 x 600 x 295 mm,화이트,합성목재,NULL,1200mm,직사각형
7,9,184674,"아임홈 MESA 다용도 접이식 미니 테이블, 핑크",10900,150583557,True,42,4.5,2547.0,False,,0,873.0,550 x 355 x 255 mm,핑크,PP,NULL,550mm,직사각형
8,10,184674,"서우 네츄럴 다용도상 특대 80 x 60cm, 오크",18250,2570337,True,13,4.5,3216.0,False,서우,0,1006.0,80 x 60 x 27.5 cm,브라운,합성목재,NULL,80cm,직사각형
9,11,184674,"서우 네츄럴 직교자상 120 x 75cm, 오크",29900,2568555,True,49,4.5,3846.0,False,서우,0,1247.0,120 x 75 x 29 cm,베이지,합성목재,NULL,120cm,직사각형
10,12,184674,"코멧 모던스타일 테이블 79*59cm, 블랙",19470,2354065065,True,25,4.5,80.0,False,코멧,0,80.0,NULL,NULL,NULL,NULL,NULL,NULL
11,14,184674,네츄럴 라인 다용도상 소형,8870,2568423,True,55,4.5,1292.0,False,,0,612.0,600 x 400 x 250 mm,베이지,합성목재,NULL,600mm,직사각형
12,16,184674,"아이캔컴퍼니 황토 다용도 테이블 중, 화이트, 1개",12900,3320781,True,0,4.5,11774.0,False,아이캔컴퍼니,0,875.0,중 (595 x 495 x 260 mm),화이트,합성목재,NULL,595mm,직사각형
13,17,184674,"레몬트리 LPM 심플 타원형 접이식 테이블, 화이트",24800,1879387784,True,0,5.0,286.0,False,,0,287.0,800 x 600 mm,화이트,NULL,NULL,NULL,타원형
14,18,184674,"아이캔컴퍼니 LPM 4단 높이조절 라운드 테이블 대, 마블",21450,152167568,True,7,4.5,3435.0,False,아이캔컴퍼니,0,1228.0,790 × 590 x 285~315 mm,화이트,LPM,NULL,790mm,직사각형
15,19,184674,"스토리퍼니쳐 키높이 액자테이블 깃털 대, 블랙",17520,95846904,True,48,4.5,1007.0,False,스토리퍼니쳐,0,430.0,780 x 570 x 300 mm,블랙,합성목재,NULL,780mm,직사각형
16,20,184674,"비트 분말 세탁세제 일반용, 4kg, 1개",8100,1863776768,True,50,4.5,2244.0,False,비트,0,391.0,NULL,NULL,NULL,NULL,NULL,NULL
17,21,184674,"서우 양은 밥상 왕대2호, 혼합 색상",17600,161694571,True,23,4.5,331.0,False,서우,0,137.0,51 x 20.5 cm,멀티(혼합)컬러,알루미늄,NULL,51cm,원형
18,22,184674,페어프랜즈 고무나무 홈바 의자 중형,17720,5673796,True,7,4.0,1943.0,False,,0,439.0,320 x 320 x 600 mm,베이지,원목,NULL,320mm,NULL
19,23,184674,"스토리퍼니쳐 키높이 레터링테이블 발렌타인 중 720, 화이트",48880,70352602,False,0,4.5,309.0,False,,0,190.0,NULL,NULL,NULL,NULL,NULL,NULL
20,24,184674,"서우 높이조절 LPM 롱테이블L 120 x 80 cm, 화이트",43000,327951466,True,0,4.5,716.0,False,서우,0,491.0,120 x 80 x 28~31 cm,화이트,LPM,NULL,120cm,직사각형
21,25,184674,"서우 네츄럴 다용도상 중 60 x 48 cm, 집성목",10350,6238238,True,13,4.5,1505.0,False,서우,0,1052.0,60 x 48 x 27.5 cm,브라운,합성목재,NULL,60cm,직사각형
22,26,184674,"트리팜 LPM 4단 높이조절형 하모니 테이블 특대형900, 메탈실버",28590,285980333,True,4,4.5,808.0,False,,0,682.0,NULL,NULL,NULL,NULL,NULL,NULL
