product_id,also_viewed_item_prouduct_id
10755024,"['295552610', '60659732', '218912675', '327985427', '1370896429', '4830312158', '2358790214', '46172654', '110925026', '1105311096', '1401559740', '1096195704', '2627325', '1129835', '2083440667', '2240204468', '1472027989', '1801552884', '1829493113', '1555433138', '32023744', '5471866788', '1914536362', '51417867', '57063884', '2627331', '1829493909', '1670223623', '145323302', '5335598611', '1911251180', '4354081837', '5410866415', '1119670850', '78757060', '4513411171', '1579676541', '5125772618', '1713348', '1539425008', '5320324198', '5526939920', '4604849960', '286156541', '5359524617', '133484986', '1790298133', '5417255169', '2035043294', '5125849391', '1816492647', '5347898691', '169613853', '1141993983', '5369381450', '133097891', '1358436262', '1458760', '313670425', '1336182884', '1194148073', '1315500107', '90440244', '5301820049', '2087915123', '51860502', '60951423', '5009754884', '1984949332', '30267111', '12372816', '29865253', '4362832164', '115130948', '1758838803', '5339561980', '2287140789', '285454538', '1960868118', '2035043478', '341306883', '1357872956', '5072181289', '49300701', '41068685', '2354751719', '174679218', '2082645126', '2196909053', '129157588', '4356581421', '1713311', '2044209949', '136081082', '3226430', '4526702040', '97627864', '120008773', '255068544']"
4899755280,"['1518441205', '4911466542', '1689450873', '1430679804', '1138972718', '1291494197', '204391387', '1430679753', '1766942241', '2044209949', '1066927530', '2261399264', '5348062131', '1254973639', '4528995926', '1096195704', '1758838803', '1176812218', '4760853740', '1829493113', '1911251180', '1279827691', '2012074301', '2035043294', '1914536362', '1829493909', '2035043478', '1138972742', '2012073789', '1336182884', '205944348', '1683514409', '5197082834', '1182744839', '4925678102', '2057387282', '2305514682', '1349537850', '2029098583', '1812252998', '1790298133', '2034869278', '1138972775', '97627940', '4533466448', '1960868118', '322744802', '5002577869', '207073974', '83965193', '4339701361', '4395803127', '141595143', '1141993983', '90440244', '2035043539', '1105311096', '207608509', '4528995234', '2086389955', '2321794721', '4522860405', '1772662977', '2012074918', '1826430249', '37164941', '10755024', '185844201', '1917141290', '1502554750', '39056215', '1767793928', '282800040', '4515835453', '1331608127', '1360497345', '2035042888', '1494959863', '200268725', '1741544729', '267034634', '38907860', '1984949332', '1954556037', '1464395351', '1914536182', '298473981', '4866561357', '3436115', '1891733252', '4831583546', '319972513', '1291494178', '50613189', '1430679737', '181882888', '4528995534', '5485238463', '1242275378', '1182047891']"
1430679804,"['1430679753', '1138972742', '1138972718', '2261399264', '204391387', '1766942241', '4911466542', '1279827691', '1914536362', '1254973639', '1518441205', '4522860405', '1138972775', '4528995234', '4528995534', '1096195704', '1829493113', '1829493909', '1689450873', '4528995926', '1430679737', '2044209949', '1291494197', '2035043294', '2035043539', '1911251180', '90440244', '2035043478', '1758838803', '1790298133', '2321794721', '4515835453', '1176812218', '1360497345', '4339701361', '2035042888', '1960868118', '4533466448', '1954556037', '141595143', '1182744839', '2012074301', '2029098583', '97627940', '2012074918', '4760853740', '1105311096', '4528995185', '200268725', '1291494178', '1336182884', '32023744', '207073974', '1315500107', '1891733252', '255068544', '1812252998', '317779771', '5002577869', '38907860', '185844201', '3436115', '181882888', '4925678102', '1772662977', '2034869278', '4506833219', '10755024', '257451083', '1683514409', '313689156', '267034634', '282800040', '1917141290', '85591394', '1279825201', '1508666749', '1194143240', '207608509', '322744802', '227087590', '1767793928', '341306883', '1741544729', '202868495', '295552610', '50613189', '1141993983', '202252461', '23755842', '205944348', '1826430249', '1968666029', '327985427', '1502554750', '1610964169', '1984949332', '1629016296', '18342378']"
37164941,"['1096195704', '144896234', '68271760', '83965193', '1105311096', '2044209949', '2434283', '10607696', '1984949332', '1301183620', '1758838803', '97627940', '68271779', '185844201', '1829493113', '5002577869', '4339701361', '1914536362', '295552610', '1683514409', '1829493909', '1911251180', '1138972742', '327985427', '4528995926', '90440244', '2035043294', '257451083', '4522860405', '1790298133', '1960868118', '2012073789', '1807030329', '2305514682', '1254973639', '141595143', '4506833219', '1812252998', '341306883', '1141993983', '1464395351', '2261399264', '5063570146', '231606029', '4361438684', '1631103477', '4533466448', '53095533', '129138546', '1968834574', '4866561357', '1689450873', '10755024', '322744802', '175256591', '255068544', '294257688', '200268725', '1336182884', '5064351084', '169719526', '1954556037', '3436115', '1772662977', '23755853', '1315500107', '1182744839', '4911466542', '2086389955', '1891733252', '1353282051', '18342378', '338415121', '2006516327', '2316339901', '1410491', '2012074301', '44831973', '120008773', '141594475', '1279827691', '4760853740', '2321794721', '207073974', '227087590', '1766942241', '5155530', '1430679753', '1176812218', '284393542', '205944348', '1968666029', '2174514239', '51417867', '44831856', '3355277', '1741544729', '181882888', '4528995234', '5163831345']"
1096195704,"['1758838803', '37164941', '2044209949', '327985427', '1105311096', '152249473', '257451083', '2261399264', '1930040199', '1914536362', '2046507060', '215119177', '1217720142', '1683514409', '2046506380', '152054558', '1984949332', '1681111995', '1829493909', '1829493113', '68271760', '207073974', '2035043294', '2012074301', '1960868118', '1911251180', '51417867', '10755024', '2046506192', '2012073789', '2035042888', '1790298133', '2035043478', '2057060659', '4533466448', '23755842', '1141993983', '1315500107', '2305514682', '345174782', '5002577869', '4395803127', '4866561357', '1677112620', '90440244', '1807030329', '181882888', '267034634', '207147861', '38907860', '2627331', '141595143', '4506833219', '341306883', '285335542', '129138546', '4322659955', '4528995926', '4528995234', '1464395351', '1336182884', '1766942241', '1504536593', '4841297815', '4760853740', '97627864', '1891733252', '4339701361', '1954556037', '175256591', '4776588094', '339149191', '2029098583', '1981482270', '1349653597', '313689156', '1518441205', '1279827691', '1968666029', '336756699', '2240204468', '1621103313', '295552610', '1968834574', '1772662977', '4528995534', '185844201', '284393542', '285335553', '255068544', '1968665155', '205944348', '23755853', '338415121', '1812252998', '1179820220', '4522860405', '1914536182', '2235277925']"
1141993983,"['1315500107', '44831973', '1829493113', '97627864', '1336182884', '1829493909', '1911251180', '18342378', '1968666029', '98281421', '2035043294', '43055848', '2012073789', '4528995234', '2305514682', '1914536362', '2035043478', '291783797', '1960868118', '341306883', '284397881', '2035043539', '1410491', '4349355352', '2012074301', '4690012705', '267034634', '2316339901', '1156975784', '255068544', '338474141', '2035042888', '338415121', '1315498278', '1148758930', '1566993131', '2245139455', '1315487598', '4841297815', '112186944', '202909467', '228528012', '62120704', '38907860', '18192010', '120008773', '23165006', '4328233135', '4648389106', '1683514409', '297609244', '4776588094', '4533466448', '5155530', '5185713877', '3436115', '1430985602', '1930040199', '216663922', '1924120780', '340150007', '1790298133', '121855169', '101222103', '2086389955', '18507433', '85593023', '4562388626', '4328272445', '1914536182', '85590634', '338427421', '101326698', '20208228', '90440244', '1954556037', '4648389192', '4790664806', '1767368463', '14071752', '1113758983', '97183507', '284393542', '119580120', '81513636', '207073974', '322744802', '1797464928', '245149949', '4361438684', '39109118', '2086361746', '2010087477', '1968834574', '1430679753', '1772662977', '1194143240', '165416498', '313689156']"
1911251180,"['2035043294', '1829493909', '2012073789', '4349355352', '43055848', '1829493113', '2035043478', '2035043539', '1914536362', '2035042888', '1960868118', '2336333658', '4528995534', '1829493556', '1885576158', '2012304837', '1960868041', '2035043387', '1914536182', '228528012', '230839949', '4528995926', '18192010', '2035044070', '1141993983', '112473630', '2012074301', '127362143', '18342378', '291783797', '2046335788', '2045728977', '1566993131', '4361438684', '85593023', '340150007', '1790298133', '4648389192', '200268725', '297609244', '4776588094', '4533466448', '2010087477', '1767368463', '1315500107', '2086389955', '2086361746', '53095533', '4562388626', '1419043188', '4648389106', '2305514682', '284397881', '34481171', '2012074918', '218025334', '109272524', '4690012705', '1683514409', '202909467', '2316339901', '1893494217', '1315498278', '322744802', '4841297815', '338415121', '4790664806', '338427421', '97183507', '1631103477', '174667559', '4987928', '4328272445', '133623856', '5185713877', '1148758930', '1968834574', '85591394', '313689156', '216663922', '2035043537', '1336182884', '61731797', '1772662977', '23165006', '44831973', '51417867', '72552085', '1156975784', '1930040199', '255068544', '81513636', '2245139455', '32023744', '90440244', '341306883', '112186944', '5155530', '4557683266']"
295552610,"['10755024', '218912675', '1129835', '1401559740', '327985427', '110925026', '1472027989', '133484986', '60659732', '1370896429', '2627325', '1105311096', '57063884', '1829493909', '2358790214', '2627331', '92488197', '5359524617', '1458760', '32023744', '1984949332', '78757060', '5526939920', '2083440667', '1217720142', '5471866788', '286156541', '1539425008', '46172654', '2245897091', '4830312158', '5301820049', '1801628951', '5410866415', '5339561980', '5125849391', '5320324198', '4604849960', '1914536362', '2287140789', '145323302', '21101591', '5125772618', '1713348', '90440244', '285454538', '1194148073', '49300701', '2240204468', '1960868118', '1829493113', '41068685', '5335598611', '1365379922', '1194143240', '274477824', '1315500107', '2082645126', '133097891', '1758838803', '2044209949', '169613853', '5369381450', '9859206', '1930040199', '1141993983', '5320287184', '284209670', '5470117935', '1096195704', '1336182884', '12372816', '5284690331', '119456619', '2021630451', '255068544', '160133810', '2196909053', '110262619', '29865253', '1816492647', '15698471', '1915564112', '2174514239', '1790298133', '1987141999', '5009754884', '341306883', '51417867', '97627864', '234208101', '1713311', '2087915123', '56587417', '1954556037', '4356581421', '1801552884', '120008773']"
1138972742,"['1430679753', '1138972718', '2261399264', '1138972775', '1502554750', '1430679804', '1430679737', '1518441205', '4528995234', '4528995926', '1829493909', '2035043294', '1336182884', '1096195704', '1279827691', '1829493113', '1689450873', '4528995534', '4528995185', '1683514409', '2035043539', '215119177', '1911251180', '5002577869', '1766942241', '322744802', '2012073789', '2012074301', '1790298133', '1960868118', '4528995630', '2035043478', '18507433', '97627940', '3436115', '1360497345', '4339701361', '207073974', '1772662977', '4911466542', '181882888', '1141993983', '141595143', '1176812218', '2034869278', '2029098583', '4361438684', '2091558146', '84001726', '1508666749', '1968665155', '1519043674', '85591394', '1254973639', '1758838803', '1539864251', '4522860405', '4533466448', '2321794721', '1812252998', '1182744839', '202868495', '1105311096', '23755842', '53095533', '1954556037', '10755024', '1968666029', '90440244', '101326698', '1494959863', '1315500107', '4760853740', '38907860', '200268725', '1968834636', '4506833219', '267034634', '341306883', '119073365', '2044209949', '4528995773', '1279825201', '317779771', '9669322', '1826430249', '4515835453', '185844201', '50613189', '205944348', '228528012', '226902892', '202252461', '1891733252', '207608509', '1291494178', '68271760', '4866561357', '1741544729', '182030371']"
1791763477,"['3439006', '3439007', '194071062', '2016636833', '1329544852', '194071046', '150583557', '1253953956', '188180044', '208482074', '3439000', '1756629', '3439002', '4823628062', '1708372', '2022069224', '1002525', '1593602823', '1925620681', '343218440', '5156039', '4805610543', '208482070', '2044365304', '1827150419', '1762446696', '1464083772', '1731842967', '4736439902', '88514456', '290781981', '245352117', '1593820051', '5393502029', '2010777173', '4325836726', '1807362972', '1681010107', '1566245881', '4584244807', '1419552462', '319929269', '324246576', '4896518998', '4922989837', '1465183208', '1587176722', '88514424', '1844219861', '294224267', '239269943', '1583395774', '4567910121', '1368159959', '331846155', '2117719030', '306571172', '4875857631', '1567061755', '293062900', '1702772648', '2570336', '4831587248', '179229062', '25502366', '227600539', '5133784091', '1552973920', '227601377', '131991111', '177226673', '1895308813', '288870205', '1985196485', '15219352', '1708921246', '5512825', '152167496', '2243313148', '16374109', '1318182810', '1465059038', '1330065385', '1748746936', '1597728939', '172647743', '88514401', '2166607826', '212568579', '96828438', '4864979686', '5077640654', '1956497215', '1593603145', '7057753', '1337642700', '152167523', '216143135', '1681430114', '50460427']"
